Elapsed time,192.168.5.50 CPU,192.168.5.50 Memory
20:04:56.0,10.027,21.371
20:04:57.0,21.227,21.382
20:04:58.0,26.546,21.382
20:04:59.0,24.479,21.392
20:05:00.0,30.379,21.394
20:05:01.0,20.512,21.403
20:05:02.0,29.411,21.415
20:05:03.0,28.992,21.42
20:05:04.0,27.109,21.402
20:05:05.0,20.663,21.401
20:05:06.0,28.35,21.4
20:05:07.0,28.277,21.402
20:05:08.0,27.339,21.408
20:05:09.0,23.772,21.412
20:05:10.0,25.0,21.455
20:05:11.0,27.226,21.449
20:05:12.0,25.848,21.449
20:05:13.0,15.641,21.478
20:05:14.0,29.639,21.488
20:05:15.0,12.694,21.494
20:05:16.0,29.923,21.485
20:05:17.0,22.137,21.484
20:05:18.0,27.415,21.504
20:05:19.0,30.769,21.504
20:05:20.0,33.676,21.534
20:05:21.0,23.664,21.511
20:05:22.0,29.305,21.517
20:05:23.0,23.65,21.522
20:05:24.0,29.743,21.509
20:05:25.0,19.788,21.506
20:05:26.0,33.417,21.51
20:05:27.0,30.829,21.518
20:05:28.0,15.012,21.517
20:05:29.0,32.089,21.508
20:05:30.0,30.075,21.511
20:05:31.0,24.935,21.499
20:05:32.0,29.35,21.51
20:05:33.0,19.181,21.514
20:05:34.0,33.942,21.526
20:05:35.0,27.901,21.523
20:05:36.0,25.628,21.525
20:05:37.0,23.453,21.53
20:05:38.0,29.323,21.544
20:05:39.0,24.303,21.535
20:05:40.0,31.645,21.548
20:05:41.0,23.65,21.548
20:05:42.0,25.19,21.547
20:05:43.0,28.132,21.545
20:05:44.0,23.195,21.542
20:05:45.0,26.13,21.544
20:05:46.0,25.773,21.549
20:05:47.0,39.34,21.551
20:05:48.0,84.536,21.759
20:05:49.0,98.232,22.211
20:05:50.0,98.75,22.488
20:05:51.0,98.746,22.788
20:05:52.0,98.004,22.991
20:05:53.0,98.992,23.528
20:05:54.0,98.503,24.371
20:05:55.0,93.434,23.801
20:05:56.0,97.229,24.442
20:05:57.0,96.491,24.567
20:05:58.0,98.25,25.229
20:05:59.0,98.004,26.019
20:06:00.0,98.25,26.4
20:06:01.0,98.245,26.645
20:06:02.0,98.236,26.14
20:06:03.0,97.493,25.652
20:06:04.0,96.482,25.755
20:06:05.0,97.487,26.06
20:06:06.0,98.241,26.723
20:06:07.0,98.245,26.985
20:06:08.0,98.245,27.678
20:06:09.0,98.75,27.553
20:06:10.0,97.989,27.639
20:06:11.0,98.5,27.962
20:06:12.0,93.58,28.056
20:06:13.0,96.984,28.214
20:06:14.0,98.0,28.392
20:06:15.0,99.244,28.511
20:06:16.0,98.0,28.541
20:06:17.0,97.461,28.556
20:06:18.0,98.746,28.692
20:06:19.0,98.997,28.703
20:06:20.0,99.498,28.284
20:06:21.0,99.251,28.238
20:06:22.0,99.0,27.754
20:06:23.0,98.496,27.117
20:06:24.0,98.496,27.238
20:06:25.0,98.75,27.506
20:06:26.0,97.964,26.793
20:06:27.0,97.481,26.88
