Elapsed time,192.168.5.50 Disks I/O,192.168.5.50 Network I/O
20:04:56.0,-0.999,0.0
20:04:57.0,-0.984,5345228.0
20:04:58.0,-1.0,40779.0
20:04:59.0,-0.984,1.2561019E7
20:05:00.0,-1.0,40800.0
20:05:01.0,-0.992,1.3958399E7
20:05:02.0,-1.0,43902.0
20:05:03.0,-0.96,1195531.0
20:05:04.0,-1.0,4967581.0
20:05:05.0,-1.0,43035.0
20:05:06.0,-0.984,146266.0
20:05:07.0,-0.984,384818.0
20:05:08.0,-0.992,2695816.0
20:05:09.0,-1.0,2917697.0
20:05:10.0,-0.992,7793265.0
20:05:11.0,-0.984,1721774.0
20:05:12.0,-1.0,35977.0
20:05:13.0,-0.984,8547190.0
20:05:14.0,-1.0,44043.0
20:05:15.0,-1.0,6054433.0
20:05:16.0,-1.0,1.079222E7
20:05:17.0,-1.0,23520.0
20:05:18.0,-0.984,1.6219769E7
20:05:19.0,-1.0,40330.0
20:05:20.0,-1.0,7595885.0
20:05:21.0,-1.0,3250547.0
20:05:22.0,-0.984,5071890.0
20:05:23.0,-1.0,1.1826997E7
20:05:24.0,-1.0,875271.0
20:05:25.0,-1.0,8308411.0
20:05:26.0,-0.984,7798197.0
20:05:27.0,-1.0,43181.0
20:05:28.0,-1.0,8758.0
20:05:29.0,-0.936,1.6568888E7
20:05:30.0,-1.0,43412.0
20:05:31.0,-1.0,9086448.0
20:05:32.0,-1.0,50625.0
20:05:33.0,-1.0,1.1239689E7
20:05:34.0,-0.552,5257485.0
20:05:35.0,-1.0,111562.0
20:05:36.0,-0.992,5282775.0
20:05:37.0,-0.976,1.25634E7
20:05:38.0,-1.0,43729.0
20:05:39.0,-1.0,1.3998248E7
20:05:40.0,-0.984,44462.0
20:05:41.0,-0.984,1200166.0
20:05:42.0,-0.984,4974326.0
20:05:43.0,-0.96,148584.0
20:05:44.0,-1.0,353529.0
20:05:45.0,-0.872,66400.0
20:05:46.0,-0.984,2684881.0
20:05:47.0,-0.984,9614988.0
20:05:48.0,-0.944,1696373.0
20:05:49.0,-0.976,2001207.0
20:05:50.0,-0.504,197605.0
20:05:51.0,-0.504,264002.0
20:05:52.0,-0.888,8185327.0
20:05:53.0,-0.679,841351.0
20:05:54.0,-0.96,477019.0
20:05:55.0,-0.488,1.7470612E7
20:05:56.0,-0.344,660229.0
20:05:57.0,-0.968,1.688094E7
20:05:58.0,-0.968,681606.0
20:05:59.0,-0.968,8279010.0
20:06:00.0,-0.88,8994206.0
20:06:01.0,-0.944,757620.0
20:06:02.0,-0.968,1.3283826E7
20:06:03.0,-1.0,847025.0
20:06:04.0,-0.904,1.6941071E7
20:06:05.0,-0.584,777550.0
20:06:06.0,-0.984,1.2976512E7
20:06:07.0,-0.944,4980355.0
20:06:08.0,-0.792,9489810.0
20:06:09.0,-1.0,530325.0
20:06:10.0,-0.976,1.704736E7
20:06:11.0,0.096,6079114.0
20:06:12.0,0.256,418346.0
20:06:13.0,-1.0,3586922.0
20:06:14.0,-0.968,9707930.0
20:06:15.0,-0.936,417730.0
20:06:16.0,-0.344,4583283.0
20:06:17.0,-0.976,1.0042937E7
20:06:18.0,-1.0,383812.0
20:06:19.0,-0.976,1504138.0
20:06:20.0,-0.992,5332029.0
20:06:21.0,-0.679,561393.0
20:06:22.0,-0.447,727736.0
20:06:23.0,-0.984,981555.0
20:06:24.0,-0.984,3361777.0
20:06:25.0,-0.776,1.1372258E7
20:06:26.0,-0.88,2419860.0
20:06:27.0,-1.0,9220950.0
20:06:28.0,-1.0,769726.0
20:06:29.0,-1.0,1.7868231E7
20:06:31.0,-0.904,1.1044808E7
20:06:32.0,63.976,6879150.0
20:06:33.0,13.44,497183.0
20:06:34.0,-1.0,8136240.0
20:06:35.0,-1.0,9036637.0
20:06:36.0,-1.0,515688.0
20:06:37.0,-0.976,1.3129111E7
20:06:38.0,-1.0,469999.0
20:06:39.0,-1.0,7736448.0
20:06:40.0,-0.984,9939578.0
20:06:41.0,-0.992,1.7435743E7
20:06:42.0,-1.0,722764.0
20:06:43.0,-1.0,9884227.0
20:06:44.0,-1.0,770543.0
20:06:45.0,-1.0,1.7122911E7
20:06:46.0,-1.0,2819284.0
20:06:47.0,-1.0,3814892.0
20:06:48.0,-1.0,1.3168383E7
20:06:49.0,-1.0,753873.0
20:06:50.0,-1.0,1.0667572E7
20:06:51.0,-0.984,4556354.0
20:06:52.0,-1.0,1963183.0
20:06:53.0,-1.0,5636310.0
20:06:54.0,-0.984,853966.0
20:06:55.0,-1.0,1263869.0
20:06:56.0,-1.0,3577975.0
20:06:57.0,-1.0,872411.0
20:06:58.0,-0.976,1.1677375E7
20:06:59.0,-0.912,2773028.0
20:07:00.0,-0.96,9262012.0
20:07:01.0,-0.968,640238.0
20:07:02.0,-0.96,9154414.0
20:07:03.0,-0.944,9562703.0
20:07:04.0,-0.424,6005986.0
20:07:05.0,-1.0,1.0968255E7
20:07:06.0,-1.0,709768.0
20:07:07.0,-1.0,8222210.0
20:07:08.0,-1.0,777415.0
20:07:09.0,-0.944,8987243.0
20:07:10.0,-1.0,1.0146876E7
20:07:11.0,-0.984,3626943.0
20:07:12.0,-1.0,765429.0
20:07:13.0,-0.984,1.646808E7
20:07:14.0,-0.84,526446.0
20:07:15.0,-1.0,7168738.0
20:07:16.0,-1.0,1.1124422E7
20:07:17.0,-1.0,9901253.0
20:07:18.0,-1.0,782756.0
20:07:19.0,-0.92,1.1729497E7
20:07:20.0,-0.528,5567135.0
20:07:21.0,-1.0,552609.0
20:07:22.0,-0.984,5843687.0
20:07:23.0,-1.0,3674210.0
20:07:24.0,-0.984,1.0886701E7
20:07:25.0,-0.656,9661592.0
20:07:26.0,-0.984,6308652.0
20:07:27.0,-0.671,1891954.0
20:07:28.0,-0.704,5556585.0
20:07:29.0,-0.103,401754.0
20:07:30.0,-0.864,769383.0
