Elapsed time,192.168.5.50 Disks I/O,192.168.5.50 Network I/O
19:14:41.0,-0.357,0.0
19:14:42.0,-0.357,0.0
19:14:43.0,-0.968,5367761.0
19:14:44.0,-1.0,32428.0
19:14:45.0,-1.0,1.1198638E7
19:14:46.0,-0.912,1440141.0
19:14:47.0,-1.0,9672.0
19:14:48.0,-1.0,1.4135626E7
19:14:49.0,-1.0,39902.0
19:14:50.0,-1.0,1167660.0
19:14:51.0,-1.0,40941.0
19:14:52.0,-0.984,4996586.0
19:14:53.0,-1.0,154542.0
19:14:54.0,-1.0,351154.0
19:14:55.0,-1.0,2674372.0
19:14:56.0,-1.0,41539.0
19:14:57.0,-1.0,1.0675462E7
19:14:58.0,-1.0,42412.0
19:14:59.0,-1.0,1739782.0
19:15:00.0,-1.0,108012.0
19:15:01.0,-1.0,7572190.0
19:15:02.0,-0.968,934250.0
19:15:03.0,-1.0,13718.0
19:15:04.0,-1.0,1.6853395E7
19:15:05.0,-0.688,42984.0
19:15:06.0,-1.0,7482567.0
19:15:07.0,-1.0,43906.0
19:15:08.0,-0.984,6583059.0
19:15:09.0,2.184,1808615.0
19:15:10.0,-1.0,11972.0
19:15:11.0,-1.0,1.6252862E7
19:15:13.0,-0.768,116386.0
19:15:14.0,-1.0,2847394.0
19:15:15.0,-1.0,9863626.0
19:15:16.0,-1.0,23944.0
19:15:17.0,-0.96,1.6100822E7
19:15:18.0,-0.984,43417.0
19:15:19.0,-1.0,90115.0
19:15:20.0,-1.0,1.6541812E7
19:15:21.0,-1.0,40870.0
19:15:22.0,-0.704,9113828.0
19:15:23.0,-1.0,24336.0
19:15:24.0,-1.0,1.6555495E7
19:15:25.0,-1.0,78930.0
19:15:26.0,-0.968,44317.0
19:15:27.0,-0.76,5371430.0
19:15:28.0,-0.952,391827.0
19:15:29.0,-0.8,1.2969785E7
19:15:30.0,-0.856,239264.0
19:15:31.0,-0.28,204031.0
19:15:32.0,-0.215,257067.0
19:15:33.0,0.207,4790765.0
19:15:34.0,24.136,4928684.0
19:15:35.0,35.16,4854122.0
19:15:36.0,-0.087,153312.0
19:15:37.0,1.751,258665.0
19:15:38.0,1.287,314078.0
19:15:39.0,0.135,1406845.0
19:15:40.0,-0.872,276782.0
19:15:41.0,-1.0,249872.0
19:15:42.0,-0.207,1195242.0
19:15:43.0,2.38,910435.0
19:15:44.0,1.295,2655099.0
19:15:45.0,-0.28,730402.0
19:15:46.0,-0.184,162587.0
19:15:47.0,0.927,215319.0
19:15:48.0,7.784,397628.0
19:15:49.0,2.104,207875.0
19:15:50.0,2.424,84763.0
19:15:51.0,3.808,448417.0
19:15:52.0,0.552,188113.0
19:15:53.0,0.167,214223.0
19:15:54.0,-0.176,232665.0
19:15:55.0,0.72,1413511.0
19:15:56.0,-0.928,1598639.0
19:15:57.0,1.016,151082.0
19:15:58.0,0.952,178035.0
19:15:59.0,1.616,239479.0
19:16:00.0,3.631,2536114.0
19:16:01.0,13.288,1440429.0
19:16:02.0,12.216,1939820.0
19:16:03.0,64.843,1590033.0
19:16:04.0,14.4,3441381.0
19:16:05.0,28.68,542942.0
19:16:06.0,8.792,146218.0
19:16:07.0,0.0,189305.0
19:16:08.0,1.319,106447.0
19:16:09.0,-0.528,1162796.0
19:16:10.0,0.288,939726.0
19:16:11.0,-1.0,966539.0
19:16:12.0,-0.84,8675499.0
19:16:13.0,-0.455,329917.0
19:16:14.0,3.496,277579.0
19:16:15.0,4.096,1774702.0
19:16:16.0,1.448,927933.0
19:16:17.0,10.504,1805491.0
19:16:18.0,2.816,2852824.0
19:16:19.0,5.792,1113095.0
19:16:20.0,1.888,688908.0
19:16:21.0,0.112,8054911.0
19:16:22.0,5.224,1607577.0
19:16:23.0,0.183,188277.0
19:16:24.0,25.656,214231.0
19:16:25.0,32.072,295179.0
19:16:26.0,18.808,156796.0
19:16:27.0,20.056,2508570.0
19:16:28.0,174.008,1915484.0
19:16:29.0,3.808,1.3102483E7
19:16:30.0,-0.199,202683.0
19:16:31.0,-0.776,429976.0
19:16:32.0,1.592,980071.0
19:16:33.0,0.231,7242811.0
19:16:34.0,0.463,521891.0
19:16:35.0,-0.679,1620475.0
19:16:36.0,2.816,1833568.0
19:16:37.0,2.4,5156513.0
19:16:38.0,5.448,1890078.0
19:16:39.0,1.584,3314657.0
19:16:40.0,-0.8,211449.0
19:16:41.0,-0.48,210499.0
19:16:42.0,-0.728,323773.0
19:16:43.0,-0.56,8502124.0
19:16:44.0,1.408,143430.0
19:16:45.0,0.36,315059.0
19:16:46.0,-0.976,1941604.0
