Elapsed time,192.168.5.50 CPU,192.168.5.50 Memory
19:14:41.0,26.368,30.932
19:14:42.0,13.131,30.932
19:14:43.0,10.379,30.948
19:14:44.0,19.597,30.954
19:14:45.0,13.624,30.964
19:14:46.0,24.81,30.961
19:14:47.0,15.617,30.96
19:14:48.0,19.263,30.978
19:14:49.0,21.356,30.978
19:14:50.0,19.796,30.975
19:14:51.0,20.854,30.976
19:14:52.0,17.811,30.978
19:14:53.0,19.298,30.976
19:14:54.0,20.0,30.98
19:14:55.0,19.746,30.979
19:14:56.0,19.289,30.979
19:14:57.0,11.508,30.996
19:14:58.0,27.0,31.022
19:14:59.0,16.161,31.026
19:15:00.0,17.171,31.025
19:15:01.0,18.639,31.022
19:15:02.0,18.481,30.956
19:15:03.0,18.295,30.954
19:15:04.0,15.681,30.954
19:15:05.0,29.113,30.958
19:15:06.0,18.393,30.956
19:15:07.0,22.885,30.958
19:15:08.0,39.646,30.97
19:15:09.0,39.598,30.954
19:15:10.0,16.962,30.954
19:15:11.0,23.453,30.95
19:15:12.0,40.5,30.959
19:15:13.0,17.456,30.953
19:15:14.0,25.063,30.955
19:15:15.0,17.721,30.955
19:15:16.0,15.384,30.953
19:15:17.0,24.937,30.966
19:15:18.0,11.363,30.964
19:15:19.0,27.411,30.976
19:15:20.0,22.166,30.976
19:15:21.0,19.543,30.969
19:15:22.0,16.331,30.966
19:15:23.0,19.109,30.978
19:15:24.0,33.501,30.968
19:15:25.0,20.506,30.987
19:15:26.0,13.953,30.984
19:15:27.0,70.984,30.984
19:15:28.0,88.071,31.144
19:15:29.0,98.989,31.252
19:15:30.0,97.777,31.347
19:15:31.0,99.244,31.425
19:15:32.0,98.499,31.652
19:15:33.0,97.721,31.804
19:15:34.0,91.708,31.83
19:15:35.0,99.521,32.042
19:15:37.0,99.491,32.127
19:15:38.0,97.493,32.418
19:15:39.0,96.7,32.806
19:15:40.0,96.733,33.149
19:15:41.0,99.248,33.279
19:15:42.0,99.295,33.365
19:15:43.0,99.567,33.359
19:15:44.0,95.852,33.343
19:15:45.0,97.493,33.375
19:15:46.0,99.25,33.488
19:15:47.0,99.547,33.658
19:15:48.0,99.25,33.741
19:15:49.0,99.007,33.913
19:15:50.0,99.497,33.95
19:15:51.0,94.805,34.152
19:15:52.0,98.737,34.377
19:15:53.0,98.743,34.364
19:15:54.0,99.496,34.512
19:15:55.0,99.287,34.554
19:15:56.0,97.229,34.644
19:15:57.0,98.921,34.715
19:15:58.0,99.238,34.793
19:15:59.0,99.25,34.933
19:16:00.0,90.442,34.99
19:16:01.0,88.043,35.039
19:16:02.0,90.685,34.932
19:16:03.0,90.714,34.998
19:16:04.0,88.281,34.929
19:16:05.0,99.29,35.07
19:16:06.0,100.0,35.248
19:16:07.0,98.994,35.51
19:16:08.0,99.004,35.618
19:16:09.0,99.748,35.822
19:16:10.0,97.493,36.064
19:16:11.0,99.501,36.496
19:16:12.0,94.486,36.541
19:16:13.0,98.997,37.021
19:16:14.0,99.519,37.021
19:16:15.0,84.422,37.181
19:16:16.0,64.651,37.229
19:16:17.0,91.97,37.255
19:16:18.0,91.293,37.289
19:16:19.0,96.962,37.28
19:16:20.0,99.753,37.324
19:16:21.0,86.716,37.037
19:16:22.0,99.246,37.0
19:16:23.0,99.757,37.283
19:16:24.0,99.002,36.967
19:16:25.0,99.497,36.953
19:16:26.0,100.0,36.805
19:16:27.0,97.101,36.762
19:16:28.0,84.039,36.786
19:16:29.0,91.435,36.829
19:16:30.0,99.498,36.324
19:16:31.0,98.746,35.744
19:16:32.0,98.044,36.004
19:16:33.0,88.528,36.279
19:16:34.0,99.012,36.505
19:16:35.0,79.101,36.521
19:16:36.0,99.526,36.561
