Elapsed time,192.168.5.50 CPU,192.168.5.50 Memory
39:15.0,66.47,38.691
39:16.0,98.662,38.663
39:17.0,96.488,38.686
39:18.0,97.152,39.148
39:19.0,94.435,39.515
39:20.0,93.423,40.047
39:21.0,77.853,40.418
39:22.0,84.04,36.612
39:23.0,89.057,36.754
39:24.0,81.034,37.048
39:25.0,80.612,37.268
39:26.0,75.216,37.549
39:27.0,76.559,37.685
39:28.0,88.067,37.894
39:29.0,91.75,37.889
39:30.0,89.285,38.097
39:31.0,73.883,38.122
39:32.0,72.913,38.36
39:33.0,87.226,38.448
39:34.0,92.229,38.457
39:35.0,79.045,38.722
39:36.0,65.261,38.735
39:37.0,73.838,38.831
39:38.0,81.818,39.069
39:39.0,80.879,39.28
39:40.0,81.663,39.29
39:41.0,72.136,38.938
39:42.0,75.042,38.986
39:43.0,89.948,39.356
39:44.0,86.247,39.324
39:45.0,73.657,39.729
39:46.0,73.935,39.749
39:47.0,69.881,39.79
39:48.0,84.38,39.861
39:49.0,83.221,40.304
39:50.0,81.049,40.476
39:51.0,71.006,40.57
39:52.0,83.304,40.831
39:53.0,86.409,40.667
39:54.0,77.027,40.534
39:55.0,64,40.615
39:56.0,59.322,40.979
39:57.0,74.874,41.203
39:58.0,83.389,41.296
39:59.0,75.762,41.157
40:00.0,71.621,41.16
40:01.0,68.12,41.19
40:02.0,87.331,41.965
40:03.0,71.959,43.266
40:04.0,58.754,43.375
40:05.0,61.139,43.483
40:06.0,58.135,43.732
40:07.0,96.984,42.033
40:08.0,87.925,35.3
40:09.0,95.798,36.486
40:10.0,87.648,37.124
40:11.0,95.659,38.364
40:12.0,83.529,39.998
40:13.0,93.602,38.618
40:14.0,79.727,38.634
40:15.0,94.789,38.621
40:16.0,72.941,38.054
40:17.0,54.745,38.062
40:18.0,57.167,38.056
40:19.0,55.183,38.062
40:20.0,58.843,38.057
40:21.0,55.723,38.052
40:23.0,75.042,38.08
40:24.0,81.001,38.094
40:25.0,79.526,38.11
40:26.0,77.123,38.112
40:27.0,67.692,38.112
40:28.0,67.517,38.107
40:29.0,67.128,38.114
