Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
登录,286,385,339,552,588,719,247,1553,0.00%,0.00651,0,0
登录事务,286,385,339,552,588,719,247,1553,0.00%,0.00651,0,0
获取所有列表,280,47,42,62,78,180,25,357,0.00%,0.38302,29.33,0.21
获取某个扫描任务报告详情,280,20,18,29,35,54,9,84,0.00%,0.38304,0.09,0.16
获取任务事务,280,68,61,89,102,198,36,372,0.00%,0.38285,29.41,0.36
创建扫描任务,280,155035,674,980,1203,1875,519,43200821,0.00%,0.00637,0,0
开始扫描任务,279,157,135,250,291,477,66,836,0.00%,0.38289,0.09,0.17
扫描任务事务,279,906,827,1187,1423,2087,619,3305,0.00%,0.38226,0.17,0.17
退出登录,279,29,26,38,44,68,14,372,0.00%,0.38296,0.08,0.15
调试取样器,279,0,0,0,1,1,0,1,0.00%,0.38297,0.37,0
总体,2808,15660,97,759,890,1405,0,43200821,0.00%,0.06391,1,0.03
