Elapsed time,192.168.5.50 CPU,192.168.5.50 Memory
10:39:34.0,93.398,83.054
10:39:35.0,89.646,83.114
10:39:36.0,92.211,83.116
10:39:37.0,91.457,83.128
10:39:38.0,93.969,83.086
10:39:39.0,89.795,83.037
10:39:40.0,95.511,83.162
10:39:41.0,91.939,83.09
10:39:42.0,88.19,83.082
10:39:43.0,91.37,83.086
10:39:44.0,91.878,83.153
10:39:45.0,95.443,83.156
10:39:46.0,90.404,83.134
10:39:47.0,88.753,83.106
10:39:48.0,93.193,83.26
10:39:49.0,90.656,83.233
10:39:50.0,92.346,83.124
10:39:51.0,89.62,83.145
10:39:52.0,91.071,83.144
10:39:53.0,98.241,83.34
10:39:54.0,94.416,83.277
10:39:55.0,95.979,83.394
10:39:56.0,96.221,83.191
10:39:57.0,93.702,83.404
10:39:58.0,97.222,83.32
10:39:59.0,95.238,83.273
10:40:00.0,93.984,83.318
10:40:01.0,97.208,83.368
10:40:02.0,89.924,83.272
10:40:03.0,96.962,83.319
10:40:04.0,92.191,83.227
10:40:05.0,95.419,83.238
10:40:06.0,92.346,83.333
10:40:07.0,92.75,83.251
10:40:08.0,91.161,83.198
10:40:09.0,89.567,83.337
10:40:10.0,95.969,83.468
10:40:11.0,88.131,83.38
10:40:12.0,93.112,83.297
10:40:13.0,91.687,83.313
10:40:14.0,93.333,83.26
10:40:15.0,92.658,83.251
10:40:16.0,90.5,83.264
10:40:17.0,90.816,83.28
10:40:18.0,93.129,83.391
10:40:20.0,92.151,83.424
10:40:21.0,94.91,83.328
10:40:22.0,91.414,83.281
10:40:23.0,93.654,83.371
10:40:24.0,94.962,83.429
10:40:25.0,94.962,83.412
10:40:26.0,94.249,83.453
10:40:27.0,94.416,83.468
10:40:28.0,93.939,83.382
10:40:29.0,96.717,83.661
10:40:30.0,95.488,83.827
10:40:31.0,96.683,83.709
10:40:32.0,97.481,83.66
10:40:33.0,89.795,83.38
10:40:34.0,90.656,83.388
10:40:35.0,89.593,83.503
10:40:36.0,93.908,83.463
10:40:37.0,89.203,83.607
10:40:38.0,90.225,83.378
10:40:39.0,93.434,83.422
10:40:40.0,92.639,83.481
10:40:41.0,97.974,84.676
10:40:42.0,97.215,85.706
10:40:43.0,97.989,85.97
10:40:44.0,98.724,86.314
10:40:45.0,97.243,86.413
10:40:46.0,98.223,84.353
10:40:47.0,97.229,86.207
10:40:48.0,98.488,87.805
10:40:49.0,97.969,87.893
10:40:50.0,95.533,87.904
10:40:51.0,97.721,87.978
10:40:52.0,97.208,88.273
10:40:53.0,93.969,88.14
10:40:54.0,91.857,88.109
10:40:55.0,94.147,88.158
10:40:56.0,93.094,88.183
10:40:57.0,93.654,88.136
10:40:58.0,90.076,88.176
10:40:59.0,93.417,88.271
10:41:00.0,95.249,88.27
10:41:01.0,91.919,88.358
10:41:02.0,98.218,88.783
10:41:03.0,98.746,86.616
10:41:04.0,97.755,87.79
10:41:05.0,97.53,88.076
10:41:06.0,99.498,88.289
10:41:07.0,98.0,89.042
10:41:08.0,99.25,88.718
10:41:09.0,98.0,88.697
10:41:10.0,99.248,88.663
10:41:11.0,97.0,88.75
10:41:12.0,99.25,88.887
10:41:13.0,97.014,88.97
10:41:14.0,99.248,88.798
10:41:15.0,96.992,88.78
10:41:16.0,98.997,89.161
10:41:17.0,97.0,88.995
10:41:18.0,98.997,89.06
10:41:19.0,97.994,89.31
10:41:20.0,98.581,89.37
10:41:21.0,97.333,89.316
10:41:22.0,98.004,89.351
10:41:23.0,96.725,89.94
10:41:24.0,97.994,89.989
10:41:25.0,98.75,90.155
10:41:26.0,98.588,88.761
10:41:27.0,98.118,88.024
10:41:28.0,98.5,88.036
10:41:29.0,98.25,88.352
10:41:30.0,98.245,88.506
10:41:31.0,98.0,88.425
10:41:32.0,98.25,88.628
10:41:33.0,99.75,88.244
10:41:34.0,96.5,88.082
10:41:35.0,98.737,88.195
10:41:37.0,97.994,88.095
10:41:38.0,98.004,88.256
10:41:39.0,97.75,88.508
10:41:40.0,98.746,88.433
10:41:41.0,97.783,88.746
10:41:42.0,99.24,88.517
10:41:43.0,97.732,88.867
10:41:44.0,97.755,88.585
10:41:45.0,96.482,88.173
10:41:46.0,99.25,88.48
10:41:47.0,96.009,88.716
10:41:48.0,99.248,89.131
10:41:49.0,96.741,89.084
10:41:50.0,98.5,89.354
10:41:51.0,98.0,89.223
10:41:52.0,99.004,89.354
10:41:53.0,97.493,89.2
10:41:54.0,99.251,89.475
10:41:55.0,97.738,89.579
10:41:56.0,97.5,89.492
10:41:57.0,98.994,89.409
10:41:58.0,97.263,89.458
10:41:59.0,98.992,89.485
10:42:00.0,97.518,89.715
10:42:01.0,98.743,89.709
10:42:02.0,97.249,89.729
10:42:03.0,99.246,89.919
10:42:04.0,97.007,89.796
10:42:05.0,97.27,89.971
10:42:06.0,98.484,89.66
10:42:07.0,96.992,89.36
10:42:08.0,98.75,89.362
10:42:09.0,97.5,89.371
10:42:10.0,98.241,89.328
10:42:11.0,97.727,89.788
10:42:12.0,97.755,89.386
10:42:13.0,97.5,89.567
10:42:14.0,98.25,89.541
10:42:15.0,97.493,89.706
10:42:16.0,97.506,89.391
10:42:17.0,98.25,89.649
10:42:18.0,97.984,89.488
10:42:19.0,97.243,89.789
10:42:20.0,98.746,89.637
10:42:21.0,97.512,89.715
10:42:22.0,98.25,89.77
10:42:23.0,98.5,89.626
10:42:24.0,97.984,89.94
10:42:25.0,99.5,89.795
10:42:26.0,96.508,89.615
10:42:27.0,98.994,89.735
10:42:28.0,97.0,89.582
10:42:29.0,97.989,89.764
10:42:30.0,99.5,89.741
10:42:31.0,98.004,89.749
10:42:32.0,99.5,89.728
10:42:33.0,97.738,90.014
10:42:34.0,97.755,89.655
10:42:35.0,99.25,89.766
10:42:36.0,98.25,89.777
10:42:37.0,98.992,89.675
10:42:38.0,98.25,89.769
10:42:39.0,98.0,89.732
10:42:40.0,99.5,89.724
10:42:41.0,98.004,89.817
10:42:42.0,98.492,89.783
10:42:43.0,98.753,89.827
10:42:44.0,98.0,89.757
10:42:45.0,98.004,89.796
10:42:46.0,100.0,90.084
10:42:47.0,97.948,90.547
10:42:48.0,99.244,90.276
10:42:49.0,98.004,90.56
10:42:50.0,98.245,90.725
10:42:52.0,99.251,90.577
10:42:53.0,97.732,90.82
10:42:54.0,99.502,90.992
10:42:55.0,99.497,90.901
10:42:56.0,97.761,90.873
10:42:57.0,98.997,90.999
10:42:58.0,96.977,91.017
10:42:59.0,99.494,91.04
10:43:00.0,99.0,91.155
10:43:01.0,98.25,91.191
10:43:02.0,98.014,91.601
10:43:03.0,99.748,91.763
10:43:04.0,98.753,92.292
10:43:05.0,97.732,92.787
10:43:06.0,99.253,92.446
10:43:07.0,97.208,92.642
10:43:08.0,98.5,93.148
10:43:09.0,98.25,93.4
10:43:10.0,99.497,93.937
10:43:11.0,98.0,93.971
10:43:12.0,99.246,94.305
10:43:13.0,98.034,94.608
10:43:14.0,99.494,94.649
10:43:15.0,99.514,94.619
10:43:16.0,97.738,94.707
10:43:17.0,99.25,94.859
10:43:18.0,99.498,95.038
10:43:19.0,98.254,94.889
10:43:20.0,99.25,94.824
10:43:21.0,99.0,94.927
10:43:22.0,97.905,94.83
10:43:23.0,97.905,94.83
10:43:24.0,98.812,94.85
10:43:25.0,99.262,94.927
10:43:26.0,98.416,95.075
10:43:27.0,97.493,95.391
10:43:28.0,99.273,95.819
10:43:29.0,99.27,95.825
10:43:30.0,98.71,96.192
10:43:36.0,99.143,96.206
10:43:38.0,99.609,95.38
10:43:39.0,97.826,95.38
10:43:40.0,98.914,95.421
10:43:41.0,98.706,95.427
10:43:42.0,96.204,95.818
10:43:43.0,98.117,95.793
10:43:44.0,98.984,95.38
10:44:02.0,97.975,95.856
10:44:03.0,97.442,92.436
10:44:04.0,98.191,92.242
10:44:05.0,99.242,91.946
10:44:06.0,97.243,92.07
10:44:07.0,97.704,92.325
10:44:08.0,98.469,92.699
10:44:09.0,97.704,94.285
10:44:10.0,98.223,95.26
10:44:11.0,97.442,95.627
10:44:12.0,98.027,93.273
10:44:13.0,98.153,92.733
10:44:14.0,98.746,92.818
10:44:15.0,97.222,93.169
10:44:16.0,98.987,92.761
10:44:17.0,97.744,92.799
10:44:18.0,98.992,92.895
10:44:19.0,96.464,93.075
