Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
登录,200,369,339,553,576,635,250,682,0.000%,.62948,0.26,0.26
登录事务,200,369,339,553,576,635,250,682,0.000%,.62889,0.26,0.26
获取所有列表,150,61,54,87,104,183,28,315,0.000%,.50593,67.75,0.27
获取某个扫描任务报告详情,150,22,20,33,41,57,11,66,0.667%,.50610,0.20,0.21
获取任务事务,150,83,75,117,134,215,44,340,0.667%,.50589,67.95,0.48
创建扫描任务,150,406,383,497,550,1135,301,1230,0.000%,.50421,0.11,0.00
开始扫描任务,150,176,162,263,283,388,86,524,0.000%,.50459,0.11,0.22
扫描任务事务,150,583,553,728,746,1316,409,1384,0.000%,.50285,0.23,0.22
退出登录,150,28,25,41,49,90,15,95,0.000%,.50492,0.11,0.19
调试取样器,150,0,0,0,1,2,0,2,0.000%,.50509,0.48,0.00
总体,1600,220,151,529,577,734,0,1384,0.125%,5.03110,128.19,2.00
