Elapsed time,192.168.5.50 CPU,192.168.5.50 Memory
02:34.0,100,37.205
04:38.0,100,48.725
02:05.0,99.749,36.459
05:14.0,99.502,54.305
02:18.0,99.501,38.184
01:46.0,99.5,34.432
03:22.0,99.5,41.787
05:50.0,99.5,61.671
02:43.0,99.498,38.189
04:21.0,99.498,45.897
03:37.0,99.497,44.675
04:04.0,99.255,47.05
02:24.0,99.253,35.899
02:26.0,99.253,34.506
03:35.0,99.251,43.786
04:12.0,99.251,46.11
05:23.0,99.251,60.774
05:33.0,99.251,73.024
02:50.0,99.25,36.181
02:56.0,99.25,35.862
04:23.0,99.25,47.012
04:25.0,99.25,47.49
04:54.0,99.25,56.549
05:51.0,99.25,61.961
02:16.0,99.248,37.764
03:07.0,99.248,40.03
03:13.0,99.248,39.215
03:15.0,99.248,39.418
03:39.0,99.248,45.4
04:10.0,99.248,46.34
04:17.0,99.248,46.382
05:06.0,99.248,45.067
02:30.0,99.246,34.418
04:46.0,99.246,55.828
05:12.0,99.246,51.292
05:20.0,99.244,57.533
04:02.0,99.007,47.083
04:00.0,99.002,46.298
04:32.0,99.002,46.64
04:56.0,99.002,57.513
05:25.0,99.002,62.394
05:49.0,99.002,61.618
01:29.0,99,32.79
02:07.0,99,34.894
03:17.0,99,40.332
03:19.0,99,40.287
03:24.0,99,43.722
03:50.0,99,46.644
03:58.0,99,45.559
04:08.0,99,46.176
04:44.0,99,54.501
04:48.0,99,56.152
01:34.0,98.997,34.808
02:13.0,98.997,37.15
03:26.0,98.997,44.689
03:31.0,98.997,44.653
05:27.0,98.997,63.605
03:05.0,98.994,39.295
04:01.0,98.992,46.87
02:44.0,98.756,37.059
03:04.0,98.753,38.369
03:16.0,98.753,39.764
03:21.0,98.753,40.697
03:28.0,98.753,44.962
04:18.0,98.753,46.337
05:07.0,98.753,45.324
05:47.0,98.753,61.63
03:18.0,98.75,39.875
03:27.0,98.75,44.837
03:54.0,98.75,47.378
03:56.0,98.75,45.67
04:26.0,98.75,47.715
05:05.0,98.75,44.012
05:37.0,98.75,61.404
01:45.0,98.746,34.303
02:48.0,98.746,35.28
02:49.0,98.746,35.944
03:33.0,98.746,42.855
04:33.0,98.746,47.615
05:52.0,98.746,61.96
04:34.0,98.743,48.121
04:59.0,98.743,55.002
05:03.0,98.74,42.523
03:30.0,98.507,45.204
03:32.0,98.507,43.553
03:38.0,98.503,45.128
04:22.0,98.503,46.661
04:27.0,98.503,47.494
01:13.0,98.5,29.718
01:48.0,98.5,34.742
02:32.0,98.5,36.779
02:40.0,98.5,37.5
02:41.0,98.5,38.127
03:11.0,98.5,38.634
03:52.0,98.5,47.272
04:11.0,98.5,46.598
04:28.0,98.5,46.514
05:44.0,98.5,61.601
05:45.0,98.5,61.608
01:44.0,98.499,34.536
01:12.0,98.496,29.595
01:33.0,98.492,33.728
03:20.0,98.492,40.785
01:43.0,98.484,34.397
05:31.0,98.481,71.494
04:35.0,98.267,48.624
02:04.0,98.258,36.221
04:20.0,98.258,46.353
01:35.0,98.254,35.267
02:35.0,98.254,36.606
04:37.0,98.254,48.708
02:12.0,98.25,36.179
02:57.0,98.25,35.856
03:06.0,98.25,40.029
03:29.0,98.25,45.012
05:04.0,98.25,43.516
05:21.0,98.25,59.227
02:39.0,98.245,36.409
02:55.0,98.245,35.366
03:25.0,98.245,44.29
03:51.0,98.245,47.094
04:36.0,98.245,48.842
05:46.0,98.245,61.636
01:38.0,98.241,33.858
02:03.0,98.241,35.732
02:23.0,98.241,40.063
03:00.0,98.241,36.88
04:29.0,98.241,45.93
