Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
登录,200,427,365,555,666,1010,246,2989,0.000%,.43039,0.17,0.12
登录事务,200,427,365,555,666,1010,246,2989,0.000%,.43030,0.17,0.12
获取所有列表,200,90,44,89,120,334,25,5102,0.000%,.43065,38.01,0.23
获取某个扫描任务报告详情,200,48,18,115,151,413,9,712,0.000%,.43075,0.11,0.18
获取任务事务,200,138,68,178,260,848,37,5287,0.000%,.43054,38.11,0.41
创建扫描任务,200,919,677,1079,1373,5842,417,22067,0.000%,.43008,0.10,0.00
开始扫描任务,200,392,209,557,668,3713,88,16692,0.000%,.42774,0.10,0.19
扫描任务事务,200,1312,898,1517,2156,9723,532,38759,0.000%,.42647,0.19,0.19
退出登录,200,30,24,47,58,118,12,357,0.000%,.42776,0.09,0.16
调试取样器,200,0,0,1,1,1,0,2,0.000%,.42779,0.41,0.00
总体,2000,378,149,821,1028,2333,0,38759,0.000%,4.25747,76.60,1.59
