Elapsed time,10.8.1.186 Disks I/O,10.8.1.186 Network I/O
19:29:37.0,0.141,0.0
19:29:38.0,0.141,0.0
19:29:39.0,4.246,8235669.0
19:29:40.0,0.016,1.0015883E7
19:29:41.0,0.092,3808087.0
19:29:43.0,0.058,7899560.0
19:29:44.0,0.0,9409963.0
19:29:45.0,2.778,9865042.0
19:29:46.0,0.0,9794381.0
19:29:47.0,0.074,1.5499581E7
19:29:48.0,0.2,4320046.0
19:29:49.0,0.0,1.4193456E7
19:29:50.0,0.0,1.1521962E7
19:29:51.0,1.298,8873860.0
19:29:52.0,0.032,1.9542771E7
19:29:53.0,0.082,78615.0
19:29:54.0,0.046,4795852.0
19:29:55.0,0.03,5167203.0
19:29:56.0,0.024,1.5470573E7
19:29:57.0,0.064,484415.0
19:29:58.0,0.072,56361.0
19:29:59.0,0.038,1293569.0
19:30:00.0,0.102,8304637.0
19:30:01.0,29.494,2773572.0
19:30:02.0,0.046,6771960.0
19:30:03.0,0.056,1.0126472E7
19:30:04.0,0.0,1.2273809E7
19:30:05.0,0.02,1.5389533E7
