Elapsed time,192.168.5.50 CPU,192.168.5.50 Memory
16:13:35.0,23.115,48.534
16:13:36.0,9.183,48.534
16:13:37.0,20.256,48.544
16:13:38.0,17.128,48.549
16:13:39.0,21.428,48.553
16:13:40.0,19.799,48.568
16:13:41.0,21.052,48.564
16:13:42.0,22.727,48.569
16:13:43.0,14.03,48.574
16:13:44.0,22.67,48.575
16:13:45.0,18.829,48.571
16:13:46.0,18.181,48.574
16:13:47.0,20.3,48.585
16:13:48.0,17.135,48.583
16:13:49.0,20.565,48.591
16:13:50.0,31.392,48.54
16:13:51.0,71.355,48.638
16:13:52.0,73.027,48.7
16:13:53.0,76.455,49.179
16:13:54.0,31.313,49.487
16:13:55.0,65.508,49.441
16:13:56.0,73.857,49.553
16:13:57.0,82.951,49.694
16:13:58.0,91.919,49.706
16:13:59.0,97.455,50.016
16:14:00.0,96.202,49.685
16:14:01.0,93.417,49.63
16:14:02.0,96.954,49.779
16:14:03.0,98.746,49.727
16:14:04.0,98.979,49.702
16:14:05.0,95.959,49.734
16:14:06.0,98.223,49.936
16:14:07.0,96.56,50.004
16:14:08.0,97.215,49.898
16:14:09.0,94.845,49.889
16:14:10.0,95.287,50.003
16:14:11.0,94.147,50.079
16:14:12.0,97.474,50.108
16:14:13.0,97.208,50.19
16:14:14.0,95.907,50.344
16:14:15.0,93.861,50.516
16:14:16.0,95.595,50.393
16:14:17.0,93.333,50.446
16:14:19.0,95.939,50.516
16:14:20.0,95.939,50.597
16:14:21.0,92.731,50.532
16:14:22.0,93.367,50.555
16:14:23.0,91.857,50.721
16:14:24.0,90.051,50.779
16:14:25.0,91.25,50.878
16:14:26.0,97.625,51.051
16:14:27.0,98.408,51.188
16:14:28.0,96.708,51.167
16:14:29.0,98.994,51.382
16:14:30.0,97.738,51.103
16:14:31.0,98.481,51.099
16:14:32.0,97.974,51.328
16:14:33.0,98.245,51.412
16:14:34.0,98.746,51.485
16:14:35.0,98.8,51.739
16:14:36.0,96.984,51.701
16:14:37.0,99.009,51.781
16:14:38.0,98.737,51.64
16:14:39.0,98.743,51.769
16:14:40.0,98.245,51.675
16:14:41.0,98.746,51.541
16:14:42.0,97.989,51.694
16:14:43.0,98.989,51.708
16:14:44.0,98.254,51.598
16:14:45.0,99.238,51.734
16:14:46.0,98.0,51.859
16:14:47.0,98.921,51.918
16:14:48.0,98.777,51.762
16:14:49.0,98.484,51.827
16:14:50.0,97.481,51.864
16:14:51.0,99.24,51.796
16:14:52.0,98.503,51.878
16:14:53.0,99.248,51.93
16:14:54.0,98.743,51.783
16:14:55.0,96.946,51.679
16:14:56.0,98.746,51.744
16:14:57.0,98.492,51.848
16:14:58.0,97.506,51.815
16:14:59.0,97.468,51.966
16:15:00.0,90.414,51.784
16:15:01.0,97.474,51.936
16:15:02.0,99.493,52.046
16:15:03.0,99.25,52.118
16:15:04.0,99.246,52.197
16:15:05.0,98.245,52.281
16:15:06.0,97.487,52.312
16:15:07.0,99.248,52.321
16:15:08.0,97.461,52.343
16:15:09.0,99.522,52.169
16:15:10.0,99.508,52.168
16:15:11.0,98.997,52.207
16:15:12.0,98.496,52.25
16:15:13.0,97.487,52.195
16:15:14.0,96.725,52.226
16:15:15.0,99.24,52.28
16:15:16.0,97.744,52.361
16:15:17.0,98.743,52.378
16:15:18.0,96.428,52.364
16:15:19.0,94.102,52.295
16:15:20.0,93.924,52.347
16:15:21.0,96.717,52.382
16:15:22.0,93.846,52.431
16:15:23.0,95.939,52.445
16:15:24.0,94.102,52.459
16:15:25.0,94.344,52.473
16:15:26.0,93.181,52.534
16:15:27.0,94.962,52.54
16:15:28.0,97.989,52.521
16:15:29.0,94.897,52.691
16:15:30.0,94.884,52.82
16:15:31.0,95.419,52.907
16:15:32.0,92.676,53.186
16:15:33.0,91.752,53.259
16:15:34.0,96.969,53.33
16:15:35.0,97.461,53.347
16:15:36.0,90.176,53.368
16:15:37.0,93.718,53.403
16:15:38.0,95.454,53.431
16:15:39.0,97.172,53.449
16:15:40.0,94.235,53.451
16:15:41.0,94.177,53.493
16:15:42.0,96.984,53.491
16:15:43.0,94.91,53.512
16:15:44.0,93.367,53.605
16:15:45.0,90.931,53.674
16:15:46.0,98.232,53.722
16:15:47.0,95.696,53.808
16:15:48.0,95.189,53.895
16:15:49.0,92.111,53.951
16:15:50.0,95.431,54.061
16:15:51.0,96.491,54.187
16:15:52.0,94.177,54.351
16:15:53.0,94.221,54.504
16:15:54.0,98.453,54.558
16:15:56.0,94.923,54.575
16:15:57.0,96.977,54.604
16:15:58.0,94.723,54.701
16:15:59.0,88.917,53.658
16:16:00.0,94.162,53.697
16:16:01.0,93.112,53.811
16:16:02.0,93.589,53.85
16:16:03.0,88.461,53.862
16:16:04.0,93.076,53.858
16:16:05.0,88.04,53.872
16:16:06.0,89.567,53.856
16:16:07.0,91.326,53.856
16:16:08.0,91.094,53.868
16:16:09.0,94.191,53.891
16:16:10.0,94.91,53.934
16:16:11.0,93.181,53.955
16:16:12.0,97.984,53.96
16:16:13.0,95.238,53.942
16:16:14.0,94.191,53.969
16:16:15.0,96.977,54.055
16:16:16.0,98.74,54.089
16:16:17.0,98.5,54.221
16:16:18.0,98.987,54.31
16:16:19.0,98.997,54.265
16:16:20.0,96.984,54.297
16:16:21.0,96.296,54.33
16:16:22.0,96.969,54.442
16:16:23.0,95.928,54.694
16:16:24.0,96.733,54.792
16:16:25.0,99.027,54.847
16:16:26.0,95.696,54.897
16:16:27.0,97.236,54.974
16:16:28.0,96.577,55.024
16:16:29.0,95.979,55.025
16:16:30.0,97.487,55.023
16:16:31.0,98.245,55.024
16:16:32.0,98.496,55.021
16:16:33.0,97.229,55.037
16:16:34.0,93.147,55.047
16:16:35.0,97.215,55.205
16:16:36.0,99.242,55.197
16:16:37.0,96.235,55.249
16:16:38.0,99.257,55.289
16:16:39.0,99.494,55.332
16:16:40.0,98.737,55.592
16:16:41.0,99.493,55.669
16:16:42.0,97.974,55.688
16:16:43.0,97.727,55.798
16:16:44.0,93.846,55.807
16:16:45.0,95.012,55.994
16:16:47.0,97.732,55.994
16:16:48.0,96.287,56.017
16:16:49.0,98.971,56.064
16:16:50.0,94.472,56.085
16:16:51.0,95.969,56.183
16:16:52.0,98.0,56.237
16:16:53.0,97.744,56.314
16:16:54.0,94.736,56.334
16:16:55.0,97.984,56.441
16:16:56.0,98.492,56.509
16:16:57.0,97.5,56.523
16:16:58.0,99.248,56.561
16:16:59.0,98.724,56.601
16:17:00.0,98.503,56.717
16:17:01.0,99.242,56.758
16:17:02.0,98.245,56.861
16:17:03.0,97.738,56.993
16:17:04.0,98.73,57.156
16:17:05.0,92.462,57.216
16:17:06.0,98.488,57.306
16:17:07.0,99.242,57.388
16:17:08.0,98.503,57.524
16:17:09.0,97.481,57.564
16:17:10.0,98.499,57.576
16:17:11.0,99.248,57.636
16:17:12.0,99.496,57.897
16:17:13.0,99.0,57.988
16:17:14.0,98.492,58.061
16:17:15.0,98.488,58.101
16:17:16.0,98.994,58.18
16:17:17.0,98.496,58.283
16:17:18.0,98.997,58.417
16:17:19.0,99.244,58.492
16:17:20.0,98.997,58.592
16:17:21.0,98.0,58.362
16:17:22.0,97.766,58.384
16:17:23.0,99.0,58.207
16:17:24.0,96.984,58.304
16:17:25.0,99.0,58.451
16:17:26.0,97.474,58.546
16:17:27.0,97.263,58.581
16:17:28.0,98.992,58.587
16:17:29.0,98.492,58.696
16:17:30.0,99.246,58.73
16:17:31.0,97.007,58.858
16:17:32.0,99.498,58.846
16:17:33.0,98.746,59.045
16:17:34.0,97.984,59.125
16:17:35.0,97.481,59.274
16:17:36.0,99.751,59.328
16:17:37.0,99.0,59.537
16:17:38.0,99.002,59.708
16:17:39.0,98.488,59.862
16:17:40.0,99.497,60.007
16:17:41.0,99.255,60.091
16:17:42.0,99.244,59.977
16:17:43.0,99.253,60.061
16:17:44.0,98.753,59.853
16:17:45.0,98.271,59.873
16:17:46.0,99.75,59.903
16:17:47.0,99.24,59.907
16:17:48.0,99.251,60.013
16:17:49.0,98.989,60.077
16:17:50.0,98.484,59.916
16:17:51.0,94.949,59.952
16:17:52.0,98.28,59.645
16:17:53.0,98.5,59.756
16:17:54.0,98.721,59.593
16:17:55.0,99.498,59.535
16:17:56.0,98.5,59.839
16:17:57.0,98.997,59.931
16:17:58.0,99.0,59.577
16:17:59.0,98.992,58.225
16:18:00.0,98.997,58.433
16:18:01.0,98.746,58.305
16:18:02.0,98.488,57.431
16:18:03.0,95.238,56.258
16:18:04.0,95.153,56.266
16:18:05.0,94.387,56.275
16:18:06.0,97.468,56.432
16:18:07.0,95.431,56.324
16:18:08.0,93.129,56.584
16:18:09.0,94.884,56.597
16:18:10.0,95.419,56.73
16:18:11.0,95.897,56.846
16:18:12.0,97.487,56.842
16:18:13.0,97.455,57.063
16:18:14.0,93.939,57.096
16:18:15.0,98.488,57.084
16:18:16.0,99.246,57.075
16:18:17.0,98.997,57.139
16:18:18.0,97.994,57.253
16:18:19.0,97.5,57.345
16:18:20.0,98.496,57.122
16:18:21.0,99.493,57.031
16:18:22.0,98.989,57.029
16:18:23.0,97.75,57.306
16:18:24.0,97.493,57.161
16:18:26.0,99.496,57.271
16:18:27.0,99.493,57.377
16:18:28.0,98.74,57.281
16:18:29.0,99.473,57.298
16:18:30.0,99.009,57.36
16:18:31.0,98.617,57.46
16:18:32.0,97.994,57.636
16:18:33.0,99.248,57.831
16:18:34.0,99.242,57.86
16:18:35.0,99.246,58.096
16:18:36.0,99.255,58.231
16:18:37.0,99.748,58.316
16:18:38.0,97.014,58.249
