Elapsed time,192.168.5.50 Disks I/O,192.168.5.50 Network I/O
16:13:35.0,-0.414,0.0
16:13:36.0,-0.414,0.0
16:13:37.0,-0.976,5446835.0
16:13:38.0,-1.0,7292687.0
16:13:39.0,-1.0,6757409.0
16:13:40.0,-1.0,1201556.0
16:13:41.0,-1.0,4971745.0
16:13:42.0,-1.0,43429.0
16:13:43.0,-1.0,1.2556821E7
16:13:44.0,-1.0,43175.0
16:13:45.0,-1.0,155390.0
16:13:46.0,-1.0,354103.0
16:13:47.0,-1.0,2678017.0
16:13:48.0,-1.0,29792.0
16:13:49.0,-1.0,1.0716609E7
16:13:50.0,-0.848,1830205.0
16:13:51.0,-0.904,330463.0
16:13:52.0,0.512,8891527.0
16:13:53.0,-0.223,285594.0
16:13:54.0,-0.816,247877.0
16:13:55.0,0.52,7782387.0
16:13:56.0,5.544,4417178.0
16:13:57.0,0.816,1344836.0
16:13:58.0,0.663,4037903.0
16:13:59.0,-0.312,313765.0
16:14:00.0,0.191,350923.0
16:14:01.0,0.344,5167141.0
16:14:02.0,3.368,1.0743661E7
16:14:03.0,6.152,1467174.0
16:14:04.0,2.8,394763.0
16:14:05.0,0.984,371045.0
16:14:06.0,-0.576,232343.0
16:14:07.0,-0.384,7733214.0
16:14:08.0,-0.12,423614.0
16:14:09.0,4.4,420786.0
16:14:10.0,0.36,2516798.0
16:14:11.0,3.232,6753352.0
16:14:12.0,1.319,482847.0
16:14:13.0,1.359,1095271.0
16:14:14.0,2.824,1.2722269E7
16:14:15.0,1.896,549114.0
16:14:16.0,1.807,558031.0
16:14:17.0,4.536,1.6618006E7
16:14:19.0,3.184,591170.0
16:14:20.0,1.831,485030.0
16:14:21.0,0.679,1.2782827E7
16:14:22.0,1.064,4928562.0
16:14:23.0,1.432,622323.0
16:14:24.0,0.808,2058136.0
16:14:25.0,1.432,8372871.0
16:14:26.0,0.528,268038.0
16:14:27.0,-0.424,370368.0
16:14:28.0,-0.463,1.6935893E7
16:14:29.0,0.12,432151.0
16:14:30.0,0.368,5877793.0
16:14:31.0,3.984,388987.0
16:14:32.0,1.744,8000969.0
16:14:33.0,0.463,5308670.0
16:14:34.0,-0.256,349294.0
16:14:35.0,0.624,4684032.0
16:14:36.0,0.584,1.0073946E7
16:14:37.0,-0.184,283917.0
16:14:38.0,1.944,1435929.0
16:14:39.0,0.496,374315.0
16:14:40.0,0.36,5321627.0
16:14:41.0,1.184,454117.0
16:14:42.0,0.472,491586.0
16:14:43.0,-0.048,232864.0
16:14:44.0,-0.768,652430.0
16:14:45.0,0.199,326350.0
16:14:46.0,1.192,3028685.0
16:14:47.0,28.664,214877.0
16:14:48.0,0.135,265173.0
16:14:49.0,0.24,2674347.0
16:14:50.0,0.919,8742650.0
16:14:51.0,0.016,266631.0
16:14:52.0,2.672,191972.0
16:14:53.0,0.528,298319.0
16:14:54.0,0.32,1893188.0
16:14:55.0,0.472,436218.0
16:14:56.0,-0.352,450705.0
16:14:57.0,-0.504,5356916.0
16:14:58.0,0.024,3728167.0
16:14:59.0,0.328,532668.0
16:15:00.0,0.992,1.1982719E7
16:15:01.0,-0.56,5599626.0
16:15:02.0,0.048,186415.0
16:15:03.0,-0.544,242321.0
16:15:04.0,-0.256,222614.0
16:15:05.0,-0.768,2788330.0
16:15:06.0,-0.584,7540526.0
16:15:07.0,-0.752,2159762.0
16:15:08.0,-0.136,4027782.0
16:15:09.0,-0.896,629435.0
16:15:10.0,-0.72,162085.0
16:15:11.0,-0.472,293697.0
16:15:12.0,-0.648,282809.0
16:15:13.0,-0.063,7755448.0
16:15:14.0,1.184,377011.0
16:15:15.0,-0.512,200562.0
16:15:16.0,-0.808,7970620.0
16:15:17.0,-0.304,734149.0
16:15:18.0,-0.184,429696.0
16:15:19.0,-0.111,472297.0
16:15:20.0,-0.736,1.3100546E7
16:15:21.0,-0.728,483754.0
16:15:22.0,-0.56,6587469.0
16:15:23.0,-0.824,7384237.0
16:15:24.0,-0.264,3731202.0
16:15:25.0,-0.824,432685.0
16:15:26.0,-0.72,6140423.0
16:15:27.0,-0.408,1.1641021E7
16:15:28.0,-0.56,390115.0
16:15:29.0,-0.992,565652.0
16:15:30.0,-0.928,6351090.0
16:15:31.0,-0.88,3585544.0
16:15:32.0,-0.976,486194.0
16:15:33.0,0.0,5210174.0
16:15:34.0,-0.84,1.2096086E7
16:15:35.0,-0.992,428532.0
16:15:36.0,-0.663,5958361.0
16:15:37.0,-0.888,596387.0
16:15:38.0,-0.632,8377713.0
16:15:39.0,-0.8,5043793.0
16:15:40.0,-0.792,507402.0
16:15:41.0,-1.0,5290735.0
16:15:42.0,-1.0,9808519.0
16:15:43.0,-1.0,556735.0
16:15:44.0,-0.856,495559.0
16:15:45.0,-0.992,1727100.0
16:15:46.0,-1.0,2789293.0
16:15:47.0,-0.976,3023957.0
16:15:48.0,-0.912,477474.0
16:15:49.0,-0.696,663572.0
16:15:50.0,-0.792,752790.0
16:15:51.0,-1.0,3072626.0
16:15:52.0,-0.92,456509.0
16:15:53.0,-0.912,1804985.0
16:15:54.0,-0.103,4961722.0
16:15:55.0,-0.207,5133017.0
16:15:56.0,-0.087,477992.0
16:15:57.0,-0.768,483627.0
16:15:58.0,-0.191,2287980.0
16:15:59.0,-0.84,481364.0
16:16:00.0,-1.0,9102948.0
16:16:01.0,-1.0,635602.0
16:16:02.0,-0.928,1.7630216E7
16:16:03.0,-0.92,668144.0
16:16:04.0,-0.976,1.1583818E7
16:16:05.0,-1.0,5942436.0
16:16:06.0,-1.0,763375.0
16:16:07.0,-0.976,8006626.0
16:16:08.0,-0.912,8832815.0
16:16:09.0,-0.327,432467.0
16:16:10.0,-1.0,1.172604E7
16:16:11.0,-1.0,2021849.0
16:16:13.0,-0.992,496682.0
16:16:14.0,-0.912,5349266.0
16:16:15.0,-0.087,1.0796833E7
16:16:16.0,0.624,1157341.0
16:16:17.0,-0.792,267993.0
16:16:18.0,-0.671,276780.0
16:16:19.0,-0.344,318836.0
16:16:20.0,-0.984,512025.0
16:16:21.0,-1.0,1.7082432E7
16:16:22.0,-1.0,452494.0
16:16:23.0,-1.0,363874.0
16:16:24.0,-1.0,3014801.0
16:16:25.0,-1.0,3333535.0
16:16:26.0,2.592,3870542.0
16:16:27.0,-1.0,374346.0
16:16:28.0,-1.0,741104.0
16:16:29.0,-1.0,9861373.0
16:16:30.0,-1.0,4137776.0
16:16:31.0,2.456,3623645.0
16:16:32.0,-1.0,307519.0
16:16:33.0,-0.816,452909.0
16:16:34.0,-0.984,6111970.0
16:16:35.0,-0.888,1770503.0
16:16:36.0,-0.992,2145433.0
16:16:37.0,-1.0,5502728.0
16:16:38.0,-1.0,2575370.0
16:16:39.0,2.064,1866515.0
16:16:40.0,-1.0,341245.0
16:16:41.0,-0.912,264957.0
16:16:42.0,-1.0,1302100.0
16:16:43.0,-1.0,9881626.0
16:16:44.0,-1.0,3739442.0
16:16:45.0,-0.984,1701615.0
16:16:46.0,-0.976,448832.0
16:16:47.0,-0.976,2214860.0
16:16:48.0,-0.584,3441687.0
16:16:49.0,-0.984,552122.0
16:16:50.0,-1.0,629722.0
16:16:51.0,-0.912,854809.0
16:16:52.0,-1.0,389376.0
16:16:53.0,-0.832,3281649.0
16:16:54.0,-0.968,526855.0
16:16:55.0,-1.0,5753673.0
16:16:56.0,1.032,5746887.0
16:16:57.0,-1.0,306130.0
16:16:58.0,-0.928,411521.0
16:16:59.0,-1.0,2173469.0
16:17:00.0,-1.0,470762.0
16:17:01.0,-1.0,8769617.0
16:17:02.0,-0.679,461969.0
16:17:03.0,-0.72,367436.0
16:17:04.0,-0.912,1.2417177E7
16:17:05.0,-0.904,5000393.0
16:17:06.0,-0.816,369850.0
16:17:07.0,-0.488,322577.0
16:17:08.0,-0.616,1.1996832E7
16:17:09.0,-0.728,4962792.0
16:17:10.0,-0.632,299513.0
16:17:11.0,-0.48,339498.0
16:17:12.0,-0.928,308814.0
16:17:13.0,-0.936,4570656.0
16:17:14.0,-1.0,3444465.0
16:17:15.0,-1.0,401722.0
16:17:16.0,-1.0,4582305.0
16:17:17.0,-0.736,4322105.0
16:17:18.0,-0.904,188970.0
16:17:19.0,-0.848,480784.0
16:17:20.0,-0.752,5473959.0
16:17:21.0,-0.96,7938004.0
16:17:22.0,-1.0,484731.0
16:17:23.0,-1.0,1.6745882E7
16:17:24.0,-0.24,678639.0
16:17:25.0,0.072,4583835.0
16:17:26.0,-0.16,1.2674748E7
16:17:27.0,-0.632,365170.0
16:17:28.0,0.655,437421.0
16:17:29.0,-0.64,265406.0
16:17:30.0,-0.504,9394892.0
16:17:31.0,-0.64,298377.0
16:17:32.0,-0.744,317596.0
16:17:33.0,-0.744,8242390.0
16:17:34.0,-0.856,8789179.0
16:17:35.0,-0.496,206032.0
16:17:36.0,-0.488,350639.0
16:17:37.0,-0.688,1098381.0
16:17:38.0,1.68,4625945.0
16:17:39.0,0.096,237204.0
16:17:40.0,-0.671,163642.0
16:17:41.0,-0.6,321752.0
16:17:42.0,0.12,633419.0
16:17:43.0,-0.704,4654923.0
16:17:44.0,-0.832,7869881.0
16:17:45.0,-0.439,170274.0
16:17:46.0,-0.632,163385.0
16:17:47.0,-0.88,108643.0
16:17:48.0,-0.656,168101.0
16:17:49.0,-0.16,219532.0
16:17:50.0,-0.36,1.4248151E7
16:17:51.0,-0.816,413615.0
16:17:52.0,-0.776,379995.0
16:17:53.0,-0.824,1278883.0
16:17:54.0,-0.688,396533.0
16:17:55.0,-0.504,4988054.0
16:17:56.0,-0.832,741357.0
16:17:57.0,-0.888,429725.0
16:17:58.0,-0.231,273981.0
16:17:59.0,-0.912,739936.0
16:18:00.0,-0.463,2268354.0
16:18:01.0,-0.463,1400240.0
16:18:02.0,-0.544,1.1231188E7
16:18:03.0,-0.904,571225.0
16:18:04.0,-0.96,2266168.0
16:18:05.0,-0.616,9232287.0
16:18:06.0,-1.0,660312.0
16:18:07.0,-1.0,1.7521471E7
16:18:08.0,-0.96,676640.0
16:18:09.0,0.167,7041632.0
16:18:10.0,2.344,1.0313201E7
16:18:11.0,0.568,439584.0
16:18:12.0,-0.552,7999586.0
16:18:13.0,-0.376,3717250.0
16:18:14.0,-0.24,5402233.0
16:18:15.0,-0.327,226057.0
16:18:16.0,-0.368,238806.0
16:18:17.0,-0.52,7624857.0
16:18:18.0,0.375,4263306.0
16:18:19.0,0.175,1341435.0
16:18:20.0,0.383,274078.0
16:18:21.0,-0.344,300771.0
16:18:22.0,-0.36,6673609.0
16:18:23.0,-0.752,9906296.0
16:18:26.0,-0.784,248019.0
16:18:27.0,0.072,245562.0
16:18:28.0,-0.207,182781.0
16:18:29.0,1.656,348563.0
16:18:30.0,0.824,230770.0
16:18:31.0,3.583,4035626.0
16:18:32.0,1.2,8121159.0
16:18:33.0,0.992,4699276.0
16:18:34.0,0.824,204096.0
16:18:35.0,-0.28,190056.0
16:18:36.0,-0.632,310036.0
16:18:37.0,-0.872,230353.0
16:18:38.0,-1.0,9348804.0
16:18:39.0,-1.0,267991.0
16:18:40.0,-1.0,196950.0
16:18:41.0,-1.0,1.6858214E7
16:18:42.0,-0.888,321105.0
16:18:43.0,-0.312,309060.0
16:18:44.0,-0.264,360884.0
16:18:45.0,-1.0,5718238.0
16:18:46.0,-1.0,5952501.0
16:18:47.0,-0.64,7480395.0
16:18:48.0,2.584,194110.0
16:18:49.0,-0.656,408822.0
16:18:50.0,-1.0,468139.0
16:18:51.0,0.423,1.3726842E7
