Elapsed time,192.168.50.57 CPU,192.168.50.57 Memory
19:28:00.0,5.5,62.12
19:28:01.0,5.05,62.12
19:28:02.0,4.424,62.133
19:28:03.0,5.044,62.141
19:28:04.0,5.911,62.148
19:28:05.0,5.632,62.154
19:28:06.0,6.163,62.163
19:28:07.0,4.528,62.166
19:28:08.0,5.243,62.168
19:28:09.0,5.527,62.174
19:28:10.0,7.338,62.177
19:28:11.0,5.867,62.185
19:28:12.0,4.671,62.192
19:28:13.0,5.037,62.197
19:28:14.0,3.879,62.191
19:28:15.0,5.653,62.199
19:28:16.0,4.642,62.187
19:28:17.0,5.125,62.194
19:28:18.0,5.131,62.188
19:28:19.0,5.183,62.196
19:28:20.0,5.506,62.202
19:28:21.0,4.539,62.204
19:28:22.0,6.218,62.204
19:28:23.0,5.506,62.204
19:28:24.0,5.513,62.21
19:28:25.0,5.137,62.214
19:28:26.0,5.031,62.216
19:28:27.0,5.402,62.213
19:28:28.0,5.388,62.217
19:28:29.0,5.125,62.217
19:28:30.0,5.256,62.214
19:28:31.0,4.767,62.216
19:28:32.0,5.375,62.218
19:28:33.0,6.991,62.224
19:28:34.0,6.234,62.225
19:28:35.0,5.289,62.227
19:28:36.0,26.0,62.274
19:28:37.0,30.25,62.419
19:28:38.0,85.18,63.74
19:28:39.0,88.046,64.185
19:28:40.0,97.992,64.514
19:28:41.0,98.496,64.781
19:28:42.0,98.496,64.906
19:28:43.0,98.496,65.054
19:28:44.0,99.374,65.267
19:28:45.0,99.373,65.349
19:28:46.0,98.751,65.486
19:28:47.0,96.582,65.448
19:28:48.0,94.556,65.598
19:28:49.0,96.859,65.57
19:28:50.0,90.33,65.642
19:28:51.0,92.376,65.51
19:28:52.0,97.474,65.596
19:28:53.0,90.379,65.557
19:28:54.0,83.908,65.475
19:28:55.0,69.604,65.632
19:28:56.0,72.657,65.82
19:28:57.0,76.538,66.055
19:28:58.0,76.365,66.14
19:28:59.0,89.254,66.105
19:29:00.0,84.903,66.112
19:29:01.0,86.438,66.266
19:29:02.0,96.207,66.784
