Elapsed time,192.168.50.57 Disks I/O,192.168.50.57 Network I/O
19:28:00.0,0.306,0.0
19:28:01.0,0.306,0.0
19:28:02.0,0.188,2.2784218E7
19:28:03.0,0.092,4.5204183E7
19:28:04.0,0.16,3.040586E7
19:28:05.0,0.154,8946570.0
19:28:06.0,0.12,3.2144575E7
19:28:07.0,0.146,5127097.0
19:28:08.0,0.102,3.1419605E7
19:28:09.0,0.102,5.2090776E7
19:28:10.0,5.134,5.2590413E7
19:28:11.0,0.15,3.6014083E7
19:28:12.0,0.112,3.7986695E7
19:28:13.0,0.098,4.8400078E7
19:28:14.0,0.082,1.6495551E7
19:28:15.0,0.142,6.0646642E7
19:28:16.0,0.084,4.9525353E7
19:28:17.0,0.15,1.6063562E7
19:28:18.0,0.084,3.7728683E7
19:28:19.0,0.112,4.2326608E7
19:28:20.0,0.21,1.8330936E7
19:28:21.0,0.208,442705.0
19:28:22.0,0.212,8945522.0
19:28:23.0,0.15,3.2055735E7
19:28:24.0,0.148,3.1059012E7
19:28:25.0,0.132,5.1236941E7
19:28:26.0,0.088,4.880015E7
19:28:27.0,0.132,2.2530647E7
19:28:28.0,0.108,2.4782697E7
19:28:29.0,0.088,4.3133482E7
19:28:30.0,0.106,5.118837E7
19:28:31.0,0.09,4.946303E7
19:28:32.0,0.192,3.6899656E7
19:28:33.0,0.134,4.8582328E7
19:28:34.0,0.114,3.7746405E7
19:28:35.0,0.11,4.1945868E7
19:28:36.0,0.204,3.7767429E7
19:28:37.0,0.44,1.3771163E7
19:28:38.0,2.322,3772578.0
19:28:39.0,1.272,1.6709725E7
19:28:40.0,0.636,2.234091E7
19:28:41.0,1.202,5578954.0
19:28:42.0,0.496,2.5970828E7
19:28:43.0,0.176,5.0936121E7
19:28:44.0,0.208,668911.0
19:28:45.0,0.236,490304.0
19:28:46.0,14.28,543286.0
19:28:47.0,0.348,658501.0
19:28:48.0,0.11,628955.0
19:28:49.0,18.4,320830.0
19:28:50.0,16.384,572137.0
19:28:51.0,0.16,405135.0
19:28:52.0,0.116,334055.0
