Elapsed time,192.168.5.50 CPU,192.168.5.50 Disks I/O,192.168.5.50 Memory,192.168.5.50 Network I/O
43:48.0,5.673,-1,74.583,0
43:49.0,26.19,-1,74.585,85245
43:50.0,99.75,-1,74.588,97240
43:51.0,99.25,-1,74.586,120445
43:52.0,98.746,-1,74.586,160733
43:53.0,99.498,-1,74.584,165987
43:54.0,99.25,-1,74.586,167925
43:55.0,99.999,-1,74.584,172453
43:56.0,98.25,-1,74.582,276777
43:57.0,77.777,-0.992,74.582,2.01E+07
43:58.0,97.215,-1,74.585,332260
43:59.0,98.994,-1,74.586,152332
44:00.0,98.254,-1,74.584,143125
44:01.0,99.75,-1,74.592,174852
44:02.0,99.498,-1,74.589,142924
44:03.0,99.75,-1,74.588,142539
44:04.0,98.994,-1,74.587,176032
44:05.0,77.525,-1,74.591,1.96E+07
44:06.0,92.424,-1,74.595,775489
44:07.0,98.997,-0.992,74.595,144076
44:08.0,99.75,-1,74.593,158604
44:09.0,99.246,-1,74.592,161986
44:10.0,99.002,-1,74.592,183362
44:11.0,99.497,-1,74.59,163153
44:12.0,99.749,-1,74.589,173137
44:13.0,79.746,-1,74.595,1.97E+07
44:14.0,94.75,-0.992,74.594,786127
44:15.0,99.5,-1,74.594,153123
44:16.0,98.75,-1,74.593,182333
44:17.0,98.997,-1,74.6,189661
44:18.0,99.497,-1,74.597,183391
44:19.0,99,-1,74.596,163120
44:20.0,88.22,-1,74.599,6231085
44:21.0,84.81,-1,74.598,1.42E+07
44:22.0,99.497,-1,74.6,141888
44:23.0,99.253,-0.992,74.598,145130
44:24.0,99.748,-1,74.597,169240
44:25.0,99.498,-1,74.595,173281
44:26.0,98.997,-1,74.595,174670
44:27.0,99,-1,74.594,174927
44:28.0,82.5,-1,74.595,1.96E+07
44:29.0,92.658,-0.976,74.596,929862
44:30.0,99.499,-1,74.596,170864
44:31.0,99.75,-1,74.594,153665
44:32.0,99.504,-1,74.593,163379
44:33.0,99.749,-1,74.592,171803
44:34.0,98.75,-1,74.594,160759
44:35.0,94.486,-1,74.592,189011
44:36.0,81.632,-0.48,74.597,2.00E+07
44:37.0,95.739,-1,74.6,489893
44:38.0,99.748,-1,74.601,156863
44:39.0,99.501,-1,74.604,151323
44:40.0,99.5,-1,74.602,175803
44:41.0,98.997,-1,74.601,180882
44:42.0,99.248,-1,74.601,168908
44:43.0,92.5,-1,74.599,165675
44:44.0,83.797,-1,74.604,2.03E+07
44:45.0,99.248,-1,74.605,141063
44:46.0,99.5,-1,74.604,152100
44:47.0,98.75,-1,74.605,167695
44:48.0,99.244,-1,74.603,171869
44:49.0,98.5,-1,74.603,163315
44:50.0,99.246,-1,74.603,171049
44:51.0,83.715,-1,74.613,1.78E+07
44:52.0,37.467,-1,74.613,2306953
44:53.0,94.71,-0.984,74.615,469747
44:54.0,98.753,-1,74.615,150825
44:55.0,99.749,-1,74.613,150916
44:56.0,99.749,-1,74.612,178804
44:57.0,99.75,-1,74.611,176294
44:58.0,99.253,-1,74.609,174683
44:59.0,92.5,-1,74.609,164976
45:00.0,80.71,-1,74.613,2.03E+07
45:01.0,98.511,-0.96,74.624,151350
45:02.0,99.248,-1,74.623,174113
45:03.0,99.749,-1,74.621,182013
45:04.0,99.501,-1,74.619,171676
45:05.0,100,-1,74.618,173398
45:06.0,99.502,-1,74.625,171616
45:07.0,75.939,-1,74.627,1.98E+07
45:08.0,94.444,-1,74.626,661188
45:09.0,99.004,-0.976,74.626,140475
45:10.0,99.5,-1,74.626,161639
45:11.0,99.749,-1,74.624,162987
45:12.0,99.248,-1,74.622,139843
45:13.0,99.251,-1,74.621,153544
45:15.0,98.75,-1,74.624,161257
45:16.0,79.899,-1,74.626,1.97E+07
45:17.0,93.734,-1,74.628,848151
45:18.0,99.502,-1,74.628,206155
45:19.0,99.747,-1,74.625,165535
45:20.0,99.75,-1,74.625,185729
45:21.0,99.25,-1,74.624,170513
45:22.0,99.501,-0.992,74.623,170276
45:23.0,85.427,-1,74.626,1.17E+07
45:24.0,82.914,-1,74.629,8805214
45:25.0,99.501,-0.992,74.629,163415
45:26.0,99.498,-1,74.628,172023
45:27.0,99.499,-1,74.626,171240
45:28.0,99.749,-1,74.624,173847
45:29.0,99,-1,74.624,173641
45:30.0,99.248,-1,74.622,174625
45:31.0,75.818,-1,74.628,1.99E+07
45:32.0,96.741,-1,74.628,499391
45:33.0,99.25,-1,74.631,135478
45:34.0,99.246,-1,74.63,149679
45:35.0,99.5,-1,74.629,172064
45:36.0,99.75,-1,74.629,165117
45:37.0,99.498,-0.656,74.72,156990
45:38.0,98.997,-0.952,74.631,161602
45:39.0,80.152,-1,74.64,2.01E+07
45:40.0,96.992,-0.984,74.642,420154
45:41.0,99.75,-1,74.64,119078
45:42.0,98.75,-1,74.642,139326
45:43.0,99.25,-1,74.641,162534
45:44.0,99.75,-1,74.64,172999
45:45.0,99.749,-1,74.639,173908
45:46.0,98.25,-1,74.637,172179
45:47.0,76.103,-1,74.639,1.99E+07
45:48.0,94.974,-1,74.641,568017
45:49.0,99.251,-1,74.639,155596
45:50.0,99.748,-1,74.641,153423
45:51.0,99.499,-1,74.639,179700
45:52.0,99.75,-1,74.638,177982
45:53.0,99.75,-1,74.638,176280
45:54.0,97,-1,74.639,221733
45:55.0,76.262,-1,74.642,1.99E+07
45:56.0,96,-1,74.642,542687
45:57.0,98.746,-1,74.642,156002
45:58.0,99,-1,74.64,176311
45:59.0,99.749,-1,74.639,206125
46:00.0,99.748,-1,74.638,176761
46:01.0,100,-1,74.637,174582
46:02.0,88.161,-1,74.655,9233943
46:03.0,87.373,-1,74.655,1.12E+07
46:04.0,99.501,-1,74.655,142784
46:05.0,98.5,-1,74.658,142721
46:06.0,99.497,-1,74.653,175064
46:07.0,99.75,-1,74.657,178926
46:08.0,99.749,-1,74.657,174569
46:09.0,99.501,-1,74.655,179577
46:10.0,80.71,-1,74.66,1.96E+07
46:11.0,90.999,-0.992,74.659,843558
46:12.0,99.248,-1,74.659,129076
46:13.0,99.25,-1,74.658,162739
46:14.0,99.501,-1,74.657,172941
46:15.0,99.496,-1,74.657,156708
46:16.0,99.502,-1,74.656,172633
46:17.0,99.748,-1,74.655,171807
46:18.0,83.797,-1,74.655,1.98E+07
46:19.0,94.763,-1,74.653,760974
46:20.0,99.999,-1,74.653,155811
46:21.0,99.5,-1,74.653,157404
46:22.0,99.498,-1,74.651,128621
46:23.0,99.004,-1,74.651,142686
46:24.0,99.748,-1,74.649,161334
46:25.0,99.501,-1,74.648,152758
46:26.0,83.585,-0.952,74.652,9650989
46:27.0,85.822,-1,74.648,1.08E+07
46:28.0,99.501,-1,74.652,129057
46:29.0,99.25,-1,74.652,141118
46:30.0,99.749,-1,74.65,167110
46:31.0,99.251,-1,74.667,177081
46:32.0,98.994,-1,74.667,171674
46:33.0,99.497,-1,74.667,175340
46:34.0,86.146,-1,74.673,1.33E+07
46:35.0,86.432,-1,74.677,7152642
46:36.0,99.748,-1,74.677,139638
46:37.0,98.241,-0.528,74.681,149859
46:38.0,99.497,-1,74.679,172079
46:39.0,99.75,-1,74.678,204854
46:40.0,99.253,-1,74.677,171632
46:41.0,99.248,-1,74.676,173362
46:42.0,81.749,-1,74.682,1.77E+07
46:43.0,89,-1,74.683,2672759
46:44.0,99.498,-1,74.685,147412
46:45.0,99.498,-1,74.684,173769
46:46.0,99.75,-1,74.683,162142
