Elapsed time,192.168.5.50 CPU,192.168.5.50 Memory
18:55:04.0,10.101,20.891
18:55:05.0,64.583,20.891
18:55:06.0,98.245,20.902
18:55:07.0,97.243,20.901
18:55:08.0,98.245,20.899
18:55:09.0,98.75,20.897
18:55:10.0,99.0,20.896
18:55:11.0,97.772,20.897
18:55:12.0,98.503,20.896
18:55:13.0,98.743,20.903
18:55:14.0,99.25,20.903
18:55:15.0,82.741,20.914
18:55:16.0,83.715,20.912
18:55:17.0,95.012,20.926
18:55:18.0,99.253,20.924
18:55:19.0,99.498,20.924
18:55:20.0,99.749,20.924
18:55:21.0,98.5,20.924
18:55:22.0,99.498,20.924
18:55:23.0,99.501,20.923
18:55:24.0,99.251,20.924
18:55:25.0,87.939,20.925
18:55:26.0,83.715,20.923
18:55:27.0,98.743,20.924
18:55:28.0,98.5,20.925
18:55:29.0,99.5,20.923
18:55:30.0,99.253,20.925
18:55:31.0,99.748,20.924
18:55:32.0,99.253,20.923
18:55:33.0,97.493,20.924
18:55:34.0,76.962,20.933
18:55:35.0,95.739,20.931
18:55:36.0,99.253,20.93
18:55:37.0,99.248,20.93
18:55:38.0,99.248,20.928
18:55:39.0,99.501,20.929
18:55:40.0,99.253,20.927
18:55:41.0,88.471,20.925
18:55:42.0,79.795,20.934
18:55:43.0,93.67,20.933
18:55:44.0,99.499,20.933
18:55:45.0,99.25,20.935
18:55:46.0,99.5,20.933
18:55:47.0,98.492,20.939
18:55:48.0,98.254,20.939
18:55:49.0,98.496,20.937
18:55:50.0,99.244,20.937
18:55:51.0,82.5,20.942
18:55:52.0,93.216,20.941
18:55:53.0,99.499,20.942
18:55:54.0,98.753,20.941
18:55:55.0,98.997,20.941
18:55:56.0,99.251,20.939
18:55:57.0,99.499,20.939
18:55:58.0,99.749,20.937
18:56:00.0,98.756,20.95
18:56:01.0,71.938,20.952
18:56:02.0,84.05,20.953
18:56:03.0,98.25,20.962
18:56:04.0,99.0,20.962
18:56:05.0,98.507,20.961
18:56:06.0,99.501,20.959
18:56:07.0,98.756,20.959
18:56:08.0,99.246,20.957
18:56:09.0,99.004,20.97
18:56:10.0,74.75,20.97
18:56:11.0,58.524,20.972
18:56:12.0,95.226,20.973
18:56:13.0,99.501,20.972
18:56:14.0,99.497,20.971
18:56:15.0,99.5,20.97
18:56:16.0,99.749,20.973
18:56:17.0,99.749,20.972
18:56:18.0,99.251,20.977
18:56:19.0,85.025,20.994
18:56:20.0,55.778,20.991
18:56:21.0,35.516,20.993
18:56:22.0,90.726,20.993
18:56:23.0,98.997,20.993
18:56:24.0,99.501,20.991
18:56:25.0,99.498,20.991
18:56:26.0,99.749,20.99
18:56:27.0,99.251,20.989
18:56:28.0,99.502,20.988
18:56:29.0,91.521,20.993
18:56:30.0,63.383,20.988
18:56:31.0,86.432,20.99
18:56:32.0,98.997,20.989
18:56:33.0,99.501,20.989
18:56:34.0,99.25,20.988
18:56:35.0,98.746,20.987
18:56:36.0,99.251,20.985
18:56:37.0,99.5,20.984
18:56:38.0,98.753,20.984
18:56:39.0,73.514,20.988
