Elapsed time,192.168.5.50 Disks I/O,192.168.5.50 Network I/O
18:55:04.0,-0.32,0.0
18:55:05.0,-0.32,0.0
18:55:06.0,-0.64,599342.0
18:55:07.0,-1.0,87022.0
18:55:08.0,-1.0,102636.0
18:55:09.0,-1.0,117422.0
18:55:10.0,-1.0,118558.0
18:55:11.0,-1.0,113064.0
18:55:12.0,-1.0,119839.0
18:55:13.0,-0.736,139264.0
18:55:14.0,-0.968,132231.0
18:55:15.0,-1.0,9339733.0
18:55:16.0,-1.0,1.6975552E7
18:55:17.0,-1.0,469967.0
18:55:18.0,-1.0,122655.0
18:55:19.0,-1.0,130006.0
18:55:20.0,-1.0,143183.0
18:55:21.0,-1.0,166005.0
18:55:22.0,-1.0,119605.0
18:55:23.0,-1.0,108519.0
18:55:24.0,-1.0,162983.0
18:55:25.0,-1.0,1.6427552E7
18:55:26.0,-1.0,1.0157109E7
18:55:27.0,-1.0,194907.0
18:55:28.0,-1.0,152548.0
18:55:29.0,-1.0,137505.0
18:55:30.0,-1.0,165637.0
18:55:31.0,-1.0,184928.0
18:55:32.0,-1.0,172332.0
18:55:33.0,-1.0,149622.0
18:55:34.0,-1.0,2.6163397E7
18:55:35.0,-1.0,574770.0
18:55:36.0,-1.0,164477.0
18:55:37.0,-0.976,161619.0
18:55:38.0,-1.0,196064.0
18:55:39.0,-0.992,149985.0
18:55:40.0,-1.0,162241.0
18:55:41.0,-1.0,168249.0
18:55:42.0,-0.992,2.618441E7
18:55:43.0,-1.0,594682.0
18:55:44.0,-1.0,140173.0
18:55:45.0,-1.0,157371.0
18:55:47.0,-1.0,155537.0
18:55:48.0,-0.992,119894.0
18:55:49.0,-1.0,128789.0
18:55:50.0,-1.0,125066.0
18:55:51.0,-1.0,135720.0
18:55:52.0,-1.0,2.6020076E7
18:55:53.0,-0.992,722649.0
18:55:54.0,-1.0,112224.0
18:55:55.0,-1.0,136833.0
18:55:56.0,-1.0,170593.0
18:55:57.0,-1.0,162268.0
18:55:58.0,-1.0,153535.0
18:55:59.0,-1.0,149458.0
18:56:00.0,-1.0,147949.0
18:56:01.0,-1.0,2.4336691E7
18:56:02.0,-1.0,2335125.0
18:56:03.0,-1.0,139299.0
18:56:04.0,-1.0,139854.0
18:56:05.0,-1.0,142193.0
18:56:06.0,-1.0,162008.0
18:56:07.0,-1.0,142685.0
18:56:08.0,-1.0,151508.0
18:56:09.0,-1.0,151290.0
18:56:10.0,-1.0,2.4682985E7
18:56:11.0,-1.0,1654474.0
18:56:12.0,-1.0,412546.0
18:56:13.0,-1.0,171698.0
18:56:14.0,-1.0,139587.0
18:56:15.0,-1.0,190757.0
18:56:16.0,-1.0,150418.0
18:56:17.0,-1.0,146459.0
18:56:18.0,-1.0,147898.0
18:56:19.0,-0.992,1.3416054E7
18:56:20.0,-1.0,1.2205565E7
18:56:21.0,-0.976,532601.0
18:56:22.0,-1.0,643318.0
18:56:23.0,-0.944,134747.0
18:56:24.0,-1.0,138647.0
18:56:25.0,-1.0,164286.0
18:56:26.0,-1.0,151687.0
18:56:27.0,-1.0,159332.0
18:56:28.0,-1.0,153890.0
18:56:29.0,-1.0,1258963.0
18:56:30.0,-1.0,2.4604287E7
18:56:31.0,-1.0,922948.0
18:56:32.0,-1.0,112986.0
18:56:33.0,-1.0,151440.0
18:56:34.0,-1.0,161592.0
18:56:35.0,-1.0,141315.0
18:56:36.0,-1.0,151373.0
18:56:37.0,-1.0,140078.0
18:56:38.0,-1.0,142196.0
18:56:39.0,-1.0,1.2766061E7
18:56:40.0,-1.0,1.3371745E7
18:56:41.0,-1.0,622848.0
18:56:42.0,-1.0,151273.0
18:56:43.0,-1.0,130131.0
18:56:44.0,-1.0,152905.0
18:56:45.0,-1.0,168113.0
18:56:46.0,-1.0,150802.0
18:56:47.0,-1.0,162368.0
18:56:48.0,-1.0,163908.0
18:56:49.0,-1.0,2.5885922E7
18:56:50.0,-0.992,833126.0
18:56:51.0,-1.0,112067.0
18:56:52.0,-1.0,153086.0
18:56:53.0,-1.0,118685.0
18:56:54.0,-1.0,151083.0
18:56:55.0,-1.0,134903.0
18:56:56.0,-0.984,151227.0
18:56:57.0,-1.0,129991.0
18:56:58.0,-1.0,143353.0
18:56:59.0,-1.0,2.6029186E7
18:57:00.0,-1.0,656586.0
18:57:01.0,-1.0,144984.0
18:57:02.0,-0.904,150256.0
18:57:03.0,-1.0,160064.0
18:57:04.0,-1.0,131192.0
18:57:05.0,-1.0,164268.0
18:57:06.0,-1.0,190226.0
18:57:07.0,-1.0,4926013.0
18:57:08.0,-1.0,2.1159178E7
18:57:09.0,-1.0,709235.0
18:57:10.0,-1.0,140264.0
18:57:11.0,-1.0,133591.0
18:57:12.0,-1.0,132974.0
18:57:13.0,-1.0,109938.0
18:57:14.0,-1.0,162257.0
18:57:15.0,-0.984,140145.0
18:57:16.0,-1.0,150594.0
18:57:17.0,-1.0,3546239.0
18:57:18.0,-1.0,2.2826832E7
18:57:19.0,-1.0,544709.0
18:57:20.0,-1.0,127627.0
18:57:21.0,-1.0,171988.0
18:57:22.0,-1.0,178190.0
18:57:23.0,-1.0,187548.0
18:57:24.0,-1.0,198260.0
18:57:25.0,-1.0,6908539.0
18:57:26.0,-1.0,1.9902361E7
18:57:27.0,-1.0,151088.0
18:57:28.0,-1.0,129565.0
