Elapsed time,192.168.5.50 CPU,192.168.5.50 Disks I/O,192.168.5.50 Memory,192.168.5.50 Network I/O
12:42:53.0,72.666,-0.98,83.8,0.0
12:42:54.0,95.419,-0.992,83.903,694847.0
12:42:55.0,99.497,-0.888,83.943,510261.0
12:42:56.0,99.0,-0.928,84.16,512185.0
12:42:57.0,99.5,-0.984,83.863,538041.0
12:42:58.0,99.75,-0.984,83.689,531162.0
12:42:59.0,99.002,-0.984,83.761,546889.0
12:43:00.0,99.748,-1.0,83.612,671970.0
12:43:01.0,99.25,-0.992,83.682,699779.0
12:43:02.0,98.245,-1.0,83.487,684078.0
12:43:03.0,97.249,-0.952,83.485,591044.0
12:43:04.0,98.746,-0.992,83.491,786976.0
12:43:05.0,97.979,-0.984,83.491,756263.0
12:43:06.0,99.248,-0.784,83.48,616234.0
12:43:07.0,98.009,-1.0,83.479,659557.0
12:43:08.0,96.725,-0.984,83.477,642521.0
12:43:09.0,95.897,-1.0,83.48,617336.0
12:43:10.0,90.201,-0.888,83.496,8630243.0
12:43:11.0,87.309,-1.0,83.485,2.2949355E7
12:43:12.0,91.494,-1.0,83.482,1211002.0
12:43:13.0,98.75,-1.0,83.474,532733.0
12:43:14.0,99.498,-0.984,83.485,593228.0
12:43:15.0,98.746,-1.0,83.479,575579.0
12:43:16.0,98.492,-1.0,83.479,602252.0
12:43:17.0,97.994,-1.0,83.477,649931.0
12:43:18.0,98.75,-1.0,83.48,675836.0
12:43:19.0,96.173,-1.0,83.479,646972.0
12:43:20.0,98.245,-1.0,83.477,649696.0
12:43:21.0,96.221,-1.0,83.481,617812.0
12:43:22.0,98.227,-1.0,83.475,575166.0
12:43:23.0,98.75,-1.0,83.473,471343.0
12:43:24.0,98.74,-1.0,83.481,601660.0
12:43:25.0,88.916,-1.0,83.495,1.7399776E7
12:43:26.0,87.185,-1.0,83.484,1.4944607E7
12:43:27.0,96.482,-1.0,83.485,902531.0
12:43:28.0,98.496,-1.0,83.48,612624.0
12:43:29.0,98.5,-1.0,83.474,556892.0
12:43:30.0,98.254,-1.0,83.474,558198.0
12:43:31.0,99.497,-1.0,83.475,526819.0
12:43:32.0,98.994,-1.0,83.464,430030.0
12:43:33.0,99.0,-1.0,83.461,548694.0
12:43:34.0,98.5,-0.896,83.475,670407.0
12:43:35.0,98.994,-1.0,83.47,600475.0
12:43:36.0,98.496,-1.0,83.464,621133.0
12:43:37.0,97.215,-1.0,83.47,604703.0
12:43:38.0,99.251,-1.0,83.462,577430.0
12:43:39.0,85.822,-1.0,83.462,2.1361348E7
12:43:40.0,86.868,-1.0,83.477,1.0642819E7
12:43:41.0,95.465,-0.992,83.481,905106.0
12:43:42.0,99.496,-1.0,83.479,657876.0
12:43:44.0,99.25,-1.0,83.47,533145.0
12:43:45.0,97.201,-1.0,83.47,586027.0
12:43:46.0,97.989,-1.0,83.476,589814.0
12:43:47.0,99.497,-1.0,83.481,675965.0
12:43:48.0,98.753,-1.0,83.475,590203.0
12:43:49.0,97.215,-1.0,83.472,578114.0
12:43:50.0,98.5,-1.0,83.474,573260.0
