Elapsed time,192.168.5.50 CPU,192.168.5.50 Disks I/O,192.168.5.50 Memory,192.168.5.50 Network I/O
09:41:54.0,0.502,-0.065,17.222,0.0
09:41:55.0,48.743,-0.065,17.222,0.0
09:41:56.0,98.496,-1.0,17.232,248027.0
09:41:57.0,98.997,-1.0,17.231,115625.0
09:41:58.0,99.248,-1.0,17.234,157479.0
09:41:59.0,98.511,-1.0,17.234,174268.0
09:42:00.0,99.501,-1.0,17.23,196154.0
09:42:01.0,98.997,-1.0,17.228,171190.0
09:42:02.0,99.5,-1.0,17.225,128417.0
09:42:03.0,99.004,-1.0,17.232,149945.0
09:42:04.0,99.748,-1.0,17.232,141621.0
09:42:05.0,99.25,-1.0,17.231,173963.0
09:42:06.0,99.498,-1.0,17.228,141122.0
09:42:07.0,99.25,-1.0,17.237,163325.0
09:42:08.0,99.498,-1.0,17.233,199742.0
09:42:09.0,94.014,-1.0,17.236,266519.0
09:42:10.0,74.683,-1.0,17.239,3.147765E7
09:42:11.0,80.0,-1.0,17.238,1.204046E7
09:42:12.0,83.756,-1.0,17.241,955318.0
09:42:13.0,99.5,-1.0,17.242,86115.0
09:42:14.0,99.5,-1.0,17.24,150944.0
09:42:15.0,99.25,-1.0,17.24,141112.0
09:42:16.0,99.502,-1.0,17.238,151431.0
09:42:17.0,99.497,-1.0,17.238,118794.0
09:42:18.0,99.251,-1.0,17.237,139385.0
09:42:19.0,99.251,-1.0,17.236,151555.0
09:42:20.0,99.5,-1.0,17.235,161212.0
09:42:21.0,99.497,-1.0,17.236,219126.0
09:42:22.0,99.251,-1.0,17.234,180997.0
09:42:23.0,99.5,-1.0,17.232,140772.0
09:42:24.0,99.751,-1.0,17.232,130916.0
09:42:25.0,99.498,-1.0,17.231,150511.0
09:42:26.0,99.75,-1.0,17.232,163091.0
09:42:27.0,86.683,-0.704,17.253,1.1202012E7
09:42:28.0,79.493,-0.968,17.284,3.3422697E7
09:42:29.0,84.318,-0.752,17.489,1.2396338E7
09:42:30.0,90.909,-0.984,17.469,1.9141663E7
09:42:31.0,99.5,-1.0,17.468,163788.0
09:42:32.0,99.248,-1.0,17.467,173378.0
09:42:33.0,99.501,-1.0,17.461,173019.0
09:42:34.0,99.002,-1.0,17.459,195360.0
09:42:35.0,99.25,-1.0,17.458,194450.0
09:42:36.0,99.248,-1.0,17.46,172623.0
09:42:37.0,99.002,-1.0,17.465,178419.0
09:42:38.0,98.753,-1.0,17.465,212420.0
09:42:39.0,99.25,-1.0,17.463,163083.0
09:42:40.0,98.753,-1.0,17.462,108145.0
09:42:41.0,99.748,-1.0,17.463,116403.0
09:42:42.0,99.255,-1.0,17.463,151470.0
09:42:44.0,82.957,-0.944,17.461,1.5364071E7
09:42:45.0,80.856,-1.0,17.463,2.9311038E7
09:42:46.0,83.585,-1.0,17.457,1277611.0
09:42:47.0,99.5,-1.0,17.462,97621.0
