Elapsed time,192.168.5.50 CPU,192.168.5.50 Disks I/O,192.168.5.50 Memory,192.168.5.50 Network I/O
17:49:06.0,15.422,0.032,48.796,0.0
17:49:07.0,7.106,0.032,48.796,0.0
17:49:08.0,16.12,-0.904,48.794,193009.0
17:49:09.0,3.778,-1.0,48.793,181217.0
17:49:10.0,15.617,-0.968,48.807,184075.0
17:49:11.0,12.373,-1.0,48.807,12962.0
17:49:12.0,3.037,-1.0,48.806,188957.0
17:49:13.0,15.037,-1.0,48.806,182761.0
17:49:14.0,11.111,-1.0,48.791,12869.0
17:49:15.0,7.36,-1.0,48.791,189938.0
17:49:16.0,14.72,-1.0,48.793,11924.0
17:49:17.0,8.75,-1.0,48.794,184627.0
17:49:18.0,9.823,-1.0,48.793,180109.0
17:49:19.0,16.08,-1.0,48.794,21144.0
17:49:20.0,3.258,-1.0,48.793,185164.0
17:49:21.0,15.25,-1.0,48.798,179523.0
17:49:22.0,14.285,-1.0,48.798,12884.0
17:49:23.0,7.73,-1.0,48.798,221612.0
17:49:24.0,15.404,-1.0,48.798,183810.0
17:49:25.0,11.027,-1.0,48.798,13543.0
17:49:26.0,7.035,-1.0,48.797,188474.0
17:49:27.0,15.365,-1.0,48.798,30332.0
17:49:28.0,7.323,-1.0,48.798,185994.0
17:49:29.0,12.06,-1.0,48.797,179996.0
17:49:30.0,23.809,-1.0,48.812,1.1851243E7
17:49:31.0,26.923,-0.984,48.826,3.1831382E7
17:49:32.0,18.5,-1.0,48.826,226957.0
17:49:33.0,12.626,-1.0,48.826,12538.0
17:49:34.0,4.545,-1.0,48.826,192235.0
17:49:35.0,15.365,-1.0,48.826,186404.0
17:49:36.0,10.126,-1.0,48.826,12939.0
17:49:37.0,5.837,-1.0,48.826,191265.0
17:49:38.0,14.646,-0.992,48.826,13106.0
17:49:39.0,7.999,-1.0,48.826,186749.0
17:49:40.0,10.776,-1.0,48.826,183743.0
17:49:41.0,15.617,-1.0,48.825,21409.0
17:49:42.0,5.05,-1.0,48.825,187131.0
17:49:43.0,12.28,-1.0,48.825,182524.0
17:49:44.0,14.503,-1.0,48.825,21592.0
17:49:45.0,3.022,-1.0,48.825,187262.0
17:49:46.0,16.216,-1.0,48.825,200421.0
17:49:47.0,13.853,-1.0,48.824,13279.0
17:49:48.0,4.06,-0.984,48.824,204678.0
17:49:49.0,15.326,-1.0,48.825,185771.0
17:49:50.0,18.274,-1.0,48.821,70312.0
17:49:51.0,8.27,-0.992,48.821,191440.0
17:49:52.0,14.572,-1.0,48.82,11654.0
17:49:53.0,15.211,-1.0,48.835,1.0469253E7
17:49:54.0,35.658,-1.0,48.844,5.3506753E7
17:49:55.0,34.586,-0.992,48.87,3.9899718E7
17:49:56.0,17.336,-1.0,48.853,228660.0
17:49:57.0,8.629,-0.976,48.853,194650.0
17:49:58.0,14.646,-0.984,48.852,12587.0
17:49:59.0,5.263,-1.0,48.852,189611.0
17:50:00.0,12.814,-1.0,48.851,185830.0
17:50:01.0,15.577,-1.0,48.85,48351.0
17:50:02.0,2.512,-1.0,48.851,188222.0
17:50:03.0,19.548,-0.96,48.853,218444.0
17:50:04.0,13.197,-1.0,48.853,18577.0
17:50:05.0,3.98,-1.0,48.852,189740.0
17:50:06.0,18.527,-1.0,48.845,241655.0
17:50:07.0,12.562,-1.0,48.844,13394.0
17:50:08.0,6.297,-0.936,48.844,196007.0
17:50:09.0,16.624,-1.0,48.844,27959.0
17:50:10.0,9.5,-1.0,48.851,191895.0
17:50:11.0,14.321,-1.0,48.863,7092274.0
17:50:12.0,34.17,-0.984,48.874,2.1538143E7
17:50:13.0,5.541,-1.0,48.873,192332.0
17:50:14.0,22.222,-1.0,48.872,256794.0
17:50:15.0,20.551,-1.0,48.873,95662.0
17:50:16.0,6.234,-1.0,48.861,220517.0
17:50:17.0,15.151,-1.0,48.86,197649.0
17:50:18.0,14.5,-1.0,48.86,13643.0
17:50:19.0,3.787,-1.0,48.859,203462.0
17:50:20.0,15.422,-1.0,48.859,191107.0
17:50:21.0,12.121,-1.0,48.859,12678.0
17:50:22.0,6.03,-1.0,48.858,196768.0
17:50:23.0,15.829,-0.984,48.858,12110.0
17:50:24.0,10.5,-1.0,48.857,192883.0
17:50:25.0,8.771,-1.0,48.857,198849.0
17:50:26.0,15.25,-1.0,48.856,12116.0
17:50:27.0,6.106,-1.0,48.856,192373.0
17:50:28.0,13.67,-0.888,48.856,188320.0
17:50:29.0,16.04,-1.0,48.856,20949.0
17:50:30.0,3.015,-1.0,48.856,188745.0
17:50:31.0,15.404,-1.0,48.856,191230.0
17:50:32.0,12.311,-1.0,48.855,12820.0
17:50:33.0,5.555,-1.0,48.855,196778.0
17:50:34.0,19.346,-1.0,48.854,224881.0
17:50:35.0,10.275,-1.0,48.854,15264.0
17:50:36.0,8.08,-1.0,48.854,197105.0
17:50:37.0,14.936,-1.0,48.853,12615.0
17:50:38.0,5.025,-1.0,48.853,192667.0
17:50:39.0,13.131,-1.0,48.852,187709.0
17:50:40.0,15.037,-1.0,48.852,20752.0
17:50:41.0,2.29,-1.0,48.852,188633.0
17:50:42.0,15.075,-1.0,48.854,191112.0
17:50:43.0,13.065,-1.0,48.854,12951.0
17:50:44.0,6.818,-0.984,48.853,196892.0
17:50:45.0,15.326,-1.0,48.853,13707.0
17:50:46.0,9.75,-1.0,48.852,192188.0
17:50:47.0,10.025,-1.0,48.851,197325.0
17:50:48.0,69.346,-0.984,50.553,233852.0
17:50:49.0,72.772,-0.968,51.234,321098.0
17:50:50.0,70.927,-1.0,50.732,246376.0
17:50:51.0,64.603,-1.0,50.796,200998.0
17:50:53.0,37.41,-1.0,50.811,12885.0
17:50:54.0,32.598,-1.0,50.811,197564.0
17:50:55.0,41.33,-1.0,51.097,12146.0
17:50:56.0,41.219,-1.0,50.878,192726.0
17:50:57.0,39.259,-1.0,51.232,197104.0
17:50:58.0,39.598,-1.0,51.231,11990.0
17:50:59.0,34.924,-1.0,51.231,200552.0
17:51:00.0,35.101,-1.0,51.23,196455.0
17:51:01.0,40.049,-1.0,51.231,13152.0
17:51:02.0,42.531,-1.0,52.205,219384.0
17:51:03.0,43.176,-1.0,53.207,187953.0
17:51:04.0,51.111,-1.0,51.27,17917.0
17:51:05.0,37.468,-1.0,52.245,192185.0
17:51:06.0,44.776,-1.0,52.24,212981.0
17:51:07.0,37.406,-1.0,52.24,66788.0
17:51:08.0,32.658,-1.0,52.24,196777.0
17:51:09.0,40.151,-1.0,52.24,14246.0
17:51:10.0,35.384,-1.0,52.24,192474.0
17:51:11.0,43.073,-0.744,52.259,196346.0
17:51:12.0,41.353,-1.0,52.259,13324.0
17:51:13.0,29.336,-1.0,52.259,192166.0
17:51:14.0,39.949,-1.0,52.259,187823.0
17:51:15.0,39.493,-1.0,52.26,16798.0
17:51:16.0,31.876,-1.0,52.26,223667.0
17:51:17.0,39.447,-1.0,52.26,191508.0
17:51:18.0,38.345,-1.0,52.259,12550.0
17:51:19.0,36.02,-0.984,52.358,199671.0
17:51:20.0,45.843,-0.968,52.093,38838.0
17:51:21.0,68.922,-0.352,52.335,264989.0
17:51:22.0,56.892,-1.0,52.335,196644.0
17:51:23.0,64.197,-1.0,52.084,62730.0
17:51:24.0,58.75,-1.0,52.088,192571.0
17:51:25.0,49.127,-1.0,52.109,197087.0
17:51:26.0,44.36,-0.872,52.112,48186.0
17:51:27.0,37.939,-1.0,52.113,216675.0
17:51:28.0,34.848,-1.0,52.111,197307.0
17:51:29.0,46.867,-1.0,52.124,12578.0
17:51:30.0,42.962,-1.0,52.177,192522.0
17:51:31.0,39.646,-0.784,52.114,188037.0
17:51:32.0,40.703,-1.0,52.114,20739.0
17:51:33.0,28.14,-1.0,52.114,191233.0
17:51:34.0,41.012,-1.0,52.113,189270.0
17:51:35.0,37.878,-1.0,52.113,12952.0
17:51:36.0,33.082,-0.768,52.113,198335.0
17:51:37.0,41.414,-1.0,52.114,12821.0
17:51:38.0,35.114,-1.0,52.116,192397.0
17:51:39.0,35.101,-1.0,52.116,191828.0
17:51:40.0,41.666,-1.0,52.116,18586.0
17:51:41.0,29.573,-1.0,52.126,192883.0
17:51:42.0,40.246,-1.0,52.127,188254.0
17:51:43.0,39.205,-1.0,51.727,12637.0
17:51:44.0,52.542,-1.0,51.964,293363.0
17:51:45.0,86.25,-1.0,52.163,17022.0
17:51:46.0,89.578,-1.0,52.171,191675.0
17:51:47.0,73.58,-1.0,51.769,234391.0
17:51:48.0,84.962,-1.0,51.957,218087.0
17:51:49.0,78.0,-1.0,51.952,60313.0
17:51:50.0,50.377,-1.0,52.372,311414.0
17:51:51.0,41.206,-0.992,52.372,235365.0
17:51:52.0,40.5,-0.84,52.372,37346.0
17:51:53.0,32.994,-1.0,52.372,232795.0
17:51:54.0,40.601,-1.0,52.372,191143.0
17:51:55.0,37.121,-1.0,52.372,13036.0
17:51:56.0,35.025,-1.0,52.372,217589.0
17:51:57.0,39.898,-1.0,52.373,11584.0
17:51:58.0,34.43,-1.0,52.372,192443.0
17:51:59.0,35.606,-1.0,52.372,194804.0
17:52:00.0,41.624,-0.992,52.371,15570.0
17:52:01.0,29.367,-1.0,52.371,194065.0
17:52:02.0,41.0,-1.0,52.372,216980.0
17:52:03.0,40.601,-1.0,52.372,21391.0
17:52:04.0,30.456,-1.0,52.368,188835.0
17:52:05.0,40.201,-1.0,52.368,191555.0
17:52:06.0,38.888,-1.0,52.37,15133.0
17:52:07.0,34.09,-1.0,52.373,273948.0
17:52:08.0,41.116,-1.0,52.374,11639.0
17:52:09.0,34.936,-1.0,52.373,192582.0
17:52:10.0,35.623,-1.0,52.374,188925.0
17:52:11.0,42.355,-1.0,52.378,22480.0
17:52:12.0,29.591,-1.0,52.378,193785.0
17:52:13.0,39.9,-1.0,52.379,188031.0
17:52:14.0,38.024,-1.0,52.379,13161.0
17:52:15.0,29.695,-1.0,52.378,196835.0
17:52:16.0,40.253,-1.0,52.378,191754.0
17:52:17.0,41.206,-0.92,52.378,43056.0
17:52:18.0,32.493,-1.0,52.378,197231.0
17:52:19.0,43.25,-1.0,52.4,12139.0
17:52:20.0,33.838,-1.0,52.402,193310.0
17:52:21.0,35.858,-1.0,52.403,188803.0
17:52:22.0,43.718,-0.856,52.403,22042.0
17:52:23.0,29.899,-1.0,52.403,192307.0
17:52:24.0,39.65,-1.0,52.403,188208.0
17:52:25.0,40.759,-1.0,52.402,14772.0
17:52:26.0,28.463,-1.0,52.403,195492.0
17:52:27.0,47.222,-1.0,52.403,218631.0
17:52:29.0,38.481,-1.0,52.403,12946.0
17:52:30.0,31.218,-1.0,52.404,197297.0
17:52:31.0,41.624,-1.0,52.404,192703.0
17:52:32.0,41.293,-1.0,52.494,14112.0
17:52:33.0,37.626,-1.0,52.505,198299.0
17:52:34.0,41.624,-1.0,52.505,11836.0
17:52:35.0,33.753,-1.0,52.505,192609.0
17:52:36.0,36.828,-1.0,52.504,188505.0
17:52:37.0,40.246,-1.0,52.504,21074.0
17:52:38.0,30.632,-1.0,52.503,194372.0
17:52:39.0,40.151,-1.0,52.504,188765.0
17:52:40.0,41.191,-1.0,52.504,17649.0
17:52:41.0,28.211,-1.0,52.504,192844.0
17:52:42.0,41.584,-1.0,52.503,198835.0
17:52:43.0,38.75,-1.0,52.503,13994.0
17:52:44.0,31.472,-1.0,52.506,196829.0
17:52:45.0,81.453,-0.992,52.282,441282.0
17:52:46.0,70.959,-1.0,52.531,586265.0
17:52:47.0,41.645,-0.984,52.448,229390.0
17:52:48.0,50.368,-1.0,52.453,315047.0
17:52:49.0,73.484,-1.0,52.142,405855.0
17:52:50.0,57.462,-1.0,52.159,473114.0
17:52:51.0,68.01,-1.0,52.191,486124.0
17:52:52.0,46.172,-1.0,52.17,63310.0
17:52:53.0,42.424,-1.0,52.222,311074.0
17:52:54.0,48.635,-0.992,52.163,291157.0
17:52:55.0,47.738,-1.0,51.67,51497.0
17:52:56.0,61.786,-1.0,52.307,192509.0
17:52:57.0,80.645,-1.0,51.93,288574.0
17:52:58.0,83.292,-1.0,52.266,21459.0
17:52:59.0,79.551,-1.0,52.23,199424.0
17:53:00.0,79.606,-1.0,52.218,188307.0
17:53:01.0,94.472,-1.0,52.507,22822.0
17:53:02.0,81.5,-0.976,52.213,220065.0
17:53:03.0,87.153,-0.992,52.264,730757.0
17:53:04.0,75.0,-1.0,51.232,272568.0
17:53:05.0,73.514,-0.679,51.309,292525.0
17:53:06.0,95.238,0.544,51.597,226149.0
17:53:07.0,76.13,-0.368,51.567,416744.0
17:53:08.0,63.224,-0.92,51.648,295018.0
17:53:09.0,52.784,-1.0,51.597,72858.0
17:53:10.0,68.051,-1.0,51.638,582016.0
17:53:11.0,37.25,-1.0,51.62,230040.0
17:53:12.0,48.984,-1.0,51.621,110513.0
17:53:13.0,41.935,-1.0,51.623,231652.0
17:53:14.0,53.924,-1.0,51.655,408237.0
17:53:15.0,59.045,-1.0,51.661,241293.0
17:53:16.0,42.753,-1.0,51.744,224847.0
17:53:17.0,71.249,-1.0,51.674,522948.0
17:53:18.0,49.118,-1.0,51.783,164416.0
17:53:19.0,56.521,-1.0,51.783,489415.0
17:53:20.0,53.164,-0.904,51.799,369837.0
17:53:21.0,41.878,-1.0,51.787,25081.0
17:53:22.0,39.849,-1.0,51.788,306214.0
17:53:23.0,42.716,-1.0,51.823,217293.0
17:53:24.0,56.565,-1.0,51.798,156149.0
17:53:25.0,35.323,-0.992,51.796,252568.0
17:53:26.0,48.888,-1.0,51.799,111082.0
17:53:27.0,37.064,-1.0,51.795,196287.0
17:53:28.0,47.088,-1.0,51.8,356133.0
17:53:29.0,51.724,-1.0,51.866,87106.0
17:53:30.0,52.109,-0.816,51.884,355543.0
17:53:31.0,43.107,-1.0,51.882,212227.0
17:53:32.0,40.203,-1.0,51.881,16235.0
17:53:33.0,33.582,-1.0,51.982,193592.0
17:53:34.0,44.794,-1.0,52.005,191688.0
17:53:35.0,67.581,-1.0,52.103,328217.0
17:53:36.0,63.275,-1.0,52.299,287896.0
17:53:37.0,72.222,-0.904,52.309,415492.0
17:53:38.0,80.1,-1.0,52.323,482319.0
17:53:39.0,55.61,-1.0,52.388,216644.0
17:53:40.0,69.62,-0.92,52.445,261326.0
17:53:41.0,63.25,-1.0,52.546,113112.0
17:53:42.0,71.674,-1.0,52.465,199988.0
17:53:43.0,59.756,-1.0,52.484,316829.0
17:53:44.0,50.366,-1.0,52.481,222143.0
17:53:45.0,60.74,-1.0,52.56,37891.0
17:53:46.0,56.39,-1.0,52.823,341094.0
17:53:47.0,50.995,-1.0,53.452,247529.0
17:53:48.0,46.059,-1.0,53.459,37588.0
17:53:49.0,33.668,-1.0,53.46,201549.0
17:53:50.0,44.67,-1.0,53.465,191004.0
17:53:51.0,47.222,-1.0,53.486,84271.0
17:53:52.0,65.151,-1.0,53.482,362673.0
17:53:53.0,36.09,-1.0,53.475,192246.0
17:53:54.0,36.658,-1.0,53.477,13276.0
17:53:55.0,36.318,-1.0,53.465,199982.0
17:53:56.0,45.728,-1.0,53.463,44233.0
17:53:57.0,32.5,-1.0,53.464,192092.0
17:53:58.0,44.887,-1.0,53.517,193044.0
17:53:59.0,44.059,-1.0,53.467,17438.0
17:54:00.0,35.411,-1.0,53.574,191954.0
17:54:01.0,53.071,-1.0,53.579,365930.0
17:54:02.0,38.861,-1.0,53.58,44391.0
17:54:04.0,37.25,-1.0,53.588,220684.0
17:54:05.0,40.669,-1.0,53.586,187544.0
17:54:06.0,48.387,-1.0,53.581,21163.0
17:54:07.0,29.75,-1.0,53.581,192243.0
17:54:08.0,38.329,-1.0,53.324,188217.0
17:54:09.0,47.911,-1.0,53.324,101090.0
17:54:10.0,55.445,-1.0,53.321,39739.0
17:54:11.0,51.851,-1.0,53.343,44041.0
17:54:12.0,68.038,-0.904,53.569,24703.0
17:54:13.0,50.249,-0.984,53.567,36791.0
17:54:14.0,49.754,-1.0,53.567,11565.0
17:54:15.0,50.0,-1.0,53.567,34992.0
17:54:16.0,48.78,-1.0,53.322,35408.0
17:54:17.0,50.368,-0.584,53.325,35217.0
17:54:18.0,49.502,-1.0,53.325,23171.0
17:54:19.0,58.476,-0.96,53.311,24092.0
17:54:20.0,50.847,-1.0,53.373,34309.0
17:54:21.0,54.074,-1.0,53.318,38581.0
