Elapsed time,192.168.5.50 CPU,192.168.5.50 Disks I/O,192.168.5.50 Memory,192.168.5.50 Network I/O
03:02.0,3.03,-0.319,19.974,0
03:03.0,4.081,-0.319,19.974,0
03:04.0,94.472,-0.92,19.983,167700
03:05.0,99.253,-1,19.98,153683
03:06.0,99,-1,19.98,168999
03:07.0,99.498,-1,19.975,173286
03:08.0,99.501,-1,19.972,154012
03:09.0,99.498,-1,19.968,138539
03:10.0,99.503,-0.992,19.964,157672
03:11.0,99.499,-1,19.968,155955
03:12.0,99,-0.992,19.964,153965
03:13.0,99.002,-1,19.964,128779
03:14.0,99.25,-1,19.96,164279
03:15.0,82.115,-1,19.975,2.24E+07
03:16.0,79.695,-1,19.971,1.57E+07
03:17.0,94.014,-1,19.97,486695
03:18.0,99.497,-1,19.972,161543
03:19.0,99.501,-0.984,19.97,150958
03:20.0,99.751,-1,19.97,194080
03:21.0,100,-1,19.968,175045
03:22.0,99.251,-1,19.966,185168
03:23.0,99.5,-1,19.964,172869
03:24.0,99.5,-1,19.963,184705
03:25.0,99.498,-1,19.964,184775
03:26.0,88.337,-1,19.97,8408316
03:27.0,77.551,-1,19.969,2.93E+07
03:28.0,91.959,-1,19.97,860088
03:29.0,99.5,-1,19.969,148214
03:30.0,99.498,-1,19.969,186980
03:31.0,99.251,-1,19.967,184693
03:32.0,99.749,-1,19.964,172805
03:33.0,99.5,-1,19.963,192726
03:34.0,99.25,-1,19.963,163850
03:35.0,99.501,-1,19.978,153253
03:36.0,99.251,-1,19.977,139898
03:37.0,99.246,-1,19.975,175113
03:38.0,72.04,-1,19.986,2.76E+07
03:39.0,82.025,-0.984,19.981,1.07E+07
03:40.0,97.014,-0.992,19.987,316943
03:42.0,98.997,-1,19.991,165807
03:43.0,99.25,-1,19.991,173662
03:44.0,99.502,-1,19.989,171033
03:45.0,99.498,-1,19.988,164100
03:46.0,99.25,-1,19.987,187940
03:47.0,99.248,-1,19.986,196234
03:48.0,99.002,-1,19.985,144264
03:49.0,99.25,-0.984,19.984,171613
03:50.0,90.322,-1,19.983,186081
03:51.0,79.743,-1,19.988,3.68E+07
03:52.0,77.306,-1,19.971,1681059
03:53.0,99.251,-1,19.974,141147
03:54.0,99,-1,19.972,189410
