Elapsed time,192.168.5.50 CPU,192.168.5.50 Disks I/O,192.168.5.50 Memory,192.168.5.50 Network I/O
43:59.0,2.204,-0.999,20.921,0
44:00.0,55.889,-1,20.925,115241
44:01.0,99.248,-1,20.925,131830
44:03.0,99.251,-1,20.928,108699
44:04.0,99.253,-1,20.927,152831
44:05.0,98.496,-1,20.926,169120
44:06.0,98.753,-1,20.926,131721
44:07.0,99.75,-1,20.925,145866
44:08.0,99.251,-1,20.924,97295
44:09.0,81.5,-1,20.925,9956974
44:10.0,85.175,-1,21.207,7.32E+07
44:11.0,82.188,-0.984,21.332,1.35E+08
44:12.0,77.581,-0.992,21.336,1.32E+08
44:13.0,34.615,-1,21.257,6.36E+07
44:14.0,70.603,-1,21.259,969932
44:15.0,99.251,-1,21.26,116036
44:16.0,99.498,-1,21.26,142140
44:17.0,99.499,-1,21.259,156451
44:18.0,99.25,-1,21.258,175011
44:19.0,99.498,-1,21.256,178673
44:20.0,98.762,-1,21.258,187581
44:21.0,98.994,-1,21.269,205381
44:22.0,79.691,-1,21.272,3.47E+07
44:23.0,81.565,-1,21.396,1.38E+08
44:24.0,82.115,-1,21.514,1.35E+08
44:25.0,76.649,-1,21.061,1.72E+08
44:26.0,55.979,-1,21.24,1.03E+08
44:27.0,82.089,-1,21.242,971402
44:28.0,99.25,-1,21.244,108675
44:29.0,98.997,-1,21.246,171917
44:30.0,99.499,-1,21.244,162290
44:31.0,99.5,-1,21.242,201812
44:32.0,99.248,-1,21.242,162768
44:33.0,98.756,-1,21.241,173095
44:34.0,81.704,-1,21.242,1.12E+07
44:35.0,84.263,-1,21.385,1.05E+08
44:36.0,82.784,-1,21.257,1.22E+08
44:37.0,46.173,-1,21.295,9.56E+07
44:38.0,90.75,-1,21.291,778013
44:39.0,99.25,-1,21.293,151651
44:40.0,99.246,-1,21.293,150629
44:41.0,98.756,-1,21.292,162995
44:42.0,98.994,-1,21.291,184610
44:43.0,99.25,-1,21.29,171902
44:44.0,99.502,-1,21.288,184990
44:45.0,78.426,-1,21.316,4.14E+07
44:46.0,80.612,-1,21.4,1.31E+08
44:47.0,78.934,-1,21.493,1.26E+08
44:48.0,82.16,-1,21.65,1.50E+08
44:49.0,53.865,-1,21.398,4.32E+07
44:50.0,92.731,-1,21.398,593616
44:51.0,99.501,-1,21.399,137591
44:52.0,99.25,-1,21.399,144541
44:53.0,99.5,-1,21.398,118663
44:54.0,99.498,-1,21.398,141783
44:55.0,99.248,-1,21.396,161594
44:56.0,99.498,-1,21.395,144549
44:57.0,96.5,-1,21.393,161985
44:58.0,78.061,-1,21.395,4.45E+07
44:59.0,81.25,-1,21.345,1.16E+08
45:00.0,84.871,-1,21.687,1.58E+08
45:01.0,77.329,-1,21.387,1.67E+08
45:02.0,49.614,-1,21.386,5.53E+07
45:03.0,93.467,-1,21.393,559727
45:04.0,99.748,-0.992,21.394,154174
45:05.0,99.002,-1,21.392,179801
45:06.0,99.25,-1,21.391,129460
45:07.0,99.002,-1,21.392,140516
45:08.0,98.997,-1,21.391,143777
45:09.0,99.497,-0.984,21.389,136188
45:10.0,99.255,-1,21.388,102104
45:11.0,78.426,-0.992,21.398,1.83E+07
45:12.0,89.447,-1,21.482,1.02E+08
45:13.0,79.899,-1,21.391,1.41E+08
45:14.0,78.75,-1,21.645,1.53E+08
45:15.0,84.09,-1,21.676,1.51E+08
45:16.0,37.692,-1,21.23,1.05E+08
45:17.0,89.526,-1,21.231,859966
45:18.0,99.75,-1,21.233,115052
45:19.0,98.014,-1,21.232,163151
45:20.0,99.494,-1,21.234,174407
45:21.0,99.501,-1,21.233,174723
45:22.0,99.501,-1,21.231,186329
45:23.0,99.002,-1,21.231,182570
45:24.0,84.693,-0.992,21.244,1.19E+07
45:25.0,83.756,-1,21.253,5.77E+07
45:26.0,76.02,-1,21.399,1.41E+08
45:27.0,85.894,-1,21.353,1.43E+08
45:28.0,81.933,-1,21.579,1.43E+08
45:29.0,47.448,-0.984,21.354,4.02E+07
45:30.0,93.216,-1,21.356,415169
45:31.0,99.499,-1,21.355,142672
45:32.0,99.5,-1,21.355,185227
45:33.0,99.5,-1,21.355,180284
45:34.0,99,-1,21.353,164070
45:35.0,99.25,-1,21.353,182995
45:36.0,99.748,-1,21.351,120840
45:37.0,81,-1,21.355,1.02E+07
45:38.0,85.532,-1,21.532,5.94E+07
45:39.0,78.787,-1,21.538,1.25E+08
45:40.0,79.441,-1,21.486,1.54E+08
45:41.0,85.785,-1,21.482,1.35E+08
45:42.0,60.101,-1,21.352,9.33E+07
45:43.0,65.336,-1,21.349,893431
45:44.0,98.746,-1,21.353,173797
45:46.0,98.997,-1,21.353,155386
45:47.0,99.25,-1,21.352,178102
45:48.0,99.002,-1,21.351,166351
45:49.0,98.994,-1,21.35,162239
45:50.0,99.253,-1,21.35,178804
45:51.0,77.581,-1,21.355,832192
45:52.0,82.697,-1,21.395,4.75E+07
45:53.0,76.081,-1,21.357,1.10E+08
45:54.0,81.565,-1,21.387,1.51E+08
45:55.0,83.458,-1,21.424,1.40E+08
45:56.0,80.1,-1,21.322,1.53E+08
45:57.0,43.765,-0.888,21.486,5.87E+07
45:58.0,89.724,-1,21.486,686323
45:59.0,99.248,-1,21.487,138316
46:00.0,99.002,-1,21.487,148277
46:01.0,98.999,-0.992,21.486,175801
46:02.0,99.248,-1,21.487,151333
46:03.0,99.002,-1,21.485,174242
46:04.0,99.002,-1,21.486,137072
46:05.0,95.511,-1,21.497,197934
46:06.0,76.767,-1,21.455,3.72E+07
46:07.0,80.808,-1,21.468,1.20E+08
46:08.0,82.619,-1,21.394,1.36E+08
46:09.0,84.771,-1,21.467,1.31E+08
46:10.0,83.709,-1,21.539,1.18E+08
46:11.0,78.426,-1,21.181,1.06E+08
46:12.0,21.938,-1,20.998,6.87E+07
46:13.0,84.05,-1,21.004,1010880
46:14.0,99.25,-1,21.008,96787
46:15.0,99.749,-1,21.007,109919
46:16.0,99.25,-1,21.009,150580
46:17.0,99.501,-1,21.008,141920
46:18.0,99.749,-1,21.007,164053
46:19.0,99.002,-1,21.006,193988
46:20.0,99.748,-1,21.004,183751
46:21.0,81.453,-1,21.006,2.27E+07
46:22.0,80.597,-1,21.381,1.04E+08
46:23.0,86.075,-1,21.4,1.05E+08
46:24.0,87.341,-1,21.569,1.26E+08
46:25.0,46.547,-1,21.464,7.88E+07
46:26.0,92.405,-1,21.466,683278
46:27.0,99.002,-1,21.466,120172
46:28.0,99.246,-1,21.465,99081
46:29.0,99.75,-1,21.464,151521
46:30.0,99.499,-1,21.463,151027
46:31.0,99.748,-1,21.463,151253
46:32.0,99.257,-0.984,21.461,173547
46:33.0,99.244,-1,21.46,161821
46:34.0,78.894,-1,21.476,3.51E+07
46:35.0,87,-1,21.334,1.29E+08
46:36.0,81.75,-1,21.489,1.48E+08
46:37.0,50.126,-1,21.306,6.48E+07
46:38.0,88.832,-1,21.309,578119
46:39.0,98.753,-1,21.31,157233
46:40.0,99.002,-1,21.312,131853
46:41.0,99.501,-1,21.31,179743
46:42.0,99.501,-1,21.309,173487
46:43.0,99.497,-1,21.309,184768
46:44.0,99.501,-1,21.308,171980
46:45.0,74.874,-1,21.326,2.06E+07
46:46.0,85.101,-1,21.52,1.02E+08
46:47.0,85.786,-1,21.527,1.12E+08
46:48.0,75.062,-1,21.639,1.32E+08
46:49.0,48.854,-1,21.447,4.11E+07
46:50.0,92.481,-1,21.45,507477
46:51.0,99.248,-1,21.446,129799
46:52.0,99.004,-1,21.446,174008
46:53.0,99.749,-1,21.445,162381
46:54.0,98.496,-1,21.444,190721
46:55.0,99.502,-1,21.443,162525
46:56.0,99.498,-1,21.443,184350
46:57.0,79.493,-1,21.449,4.01E+07
46:58.0,81.313,-1,21.632,1.63E+08
46:59.0,70.843,-1,21.666,1.71E+08
47:00.0,34.09,-1,21.653,6.05E+07
47:01.0,89.33,-1,21.656,714046
47:02.0,99.502,-1,21.656,174302
47:03.0,99.246,-1,21.657,150374
47:04.0,98.759,-1,21.656,173210
47:05.0,99.25,-1,21.655,161849
47:06.0,99,-1,21.655,204110
47:07.0,92.269,-1,21.661,2819338
47:08.0,80.927,-1,21.678,7.72E+07
47:09.0,78.14,-1,21.673,1.62E+08
47:10.0,82.115,-1,21.676,1.46E+08
47:11.0,59.644,-1,21.68,1.23E+08
47:12.0,52.551,-1,21.686,2.56E+07
47:13.0,96.741,-1,21.688,282813
47:14.0,99.25,-1,21.688,172181
47:15.0,99.002,-1,21.686,157796
47:17.0,99.497,-1,21.691,177755
47:18.0,99.253,-1,21.689,183546
47:19.0,99.5,-1,21.689,142951
47:20.0,99.498,-1,21.688,122690
47:21.0,81.704,-1,21.686,1.96E+07
47:22.0,81.979,-1,21.72,1.08E+08
47:23.0,80.352,-1,21.335,1.20E+08
47:24.0,86.075,-1,21.738,1.03E+08
47:25.0,17.098,-1,21.046,8.52E+07
47:26.0,86.284,-1,21.052,975512
47:27.0,99.501,-1,21.051,99163
47:28.0,99.251,-1,21.051,165391
47:29.0,99.25,-1,21.054,153872
47:30.0,99.5,-1,21.052,165402
47:31.0,99.502,-1,21.052,177575
47:32.0,98.994,-1,21.051,186822
47:33.0,74.874,-1,21.038,161850
47:34.0,76.691,-1,21.043,3.10E+07
47:35.0,86.716,-1,21.572,9.23E+07
47:36.0,80.952,-1,21.414,1.57E+08
47:37.0,76.515,-1,21.684,1.42E+08
47:38.0,39.898,-1,21.448,3.63E+07
47:39.0,94.723,-1,21.455,488635
47:40.0,99.501,-1,21.455,162233
47:41.0,99.498,-1,21.454,162054
47:42.0,99.253,-1,21.453,168551
47:43.0,99.251,-1,21.452,174339
47:44.0,99.498,-1,21.452,171122
47:45.0,99.251,-1,21.45,161990
47:46.0,72.773,-1,21.47,3.41E+07
47:47.0,84.517,-1,21.592,1.29E+08
47:48.0,80.352,-1,21.581,1.24E+08
47:49.0,51.776,-1,21.44,9.35E+07
47:50.0,90.201,-1,21.44,774065
47:51.0,99.002,-1,21.44,140805
47:52.0,99,-1,21.441,148115
47:53.0,99.248,-1,21.439,170639
