Elapsed time,192.168.5.50 Disks I/O,192.168.5.50 Network I/O
13:56:09.0,-1.0,0.0
13:56:10.0,-1.0,170439.0
13:56:11.0,-1.0,132854.0
13:56:12.0,-1.0,160026.0
13:56:13.0,-1.0,153838.0
13:56:14.0,-1.0,143716.0
13:56:15.0,-1.0,163361.0
13:56:16.0,-1.0,163277.0
13:56:17.0,-1.0,132859.0
13:56:18.0,-1.0,169080.0
13:56:19.0,-1.0,128805.0
13:56:20.0,-1.0,164016.0
13:56:21.0,-1.0,1.9349229E7
13:56:22.0,-1.0,1.05042828E8
13:56:23.0,-1.0,1.02773753E8
13:56:24.0,-1.0,1.42566953E8
13:56:25.0,-1.0,1.16415415E8
13:56:26.0,-1.0,1.46383955E8
13:56:27.0,-1.0,1.33321297E8
13:56:28.0,-1.0,3.3291244E7
13:56:29.0,-1.0,1028084.0
13:56:30.0,-1.0,145308.0
13:56:31.0,-1.0,165255.0
13:56:32.0,-1.0,174245.0
13:56:33.0,-1.0,183044.0
13:56:34.0,-1.0,161997.0
13:56:35.0,-1.0,182421.0
13:56:36.0,-0.984,193357.0
13:56:37.0,-1.0,180265.0
13:56:38.0,-1.0,155594.0
13:56:39.0,-1.0,1.649743E7
13:56:40.0,-1.0,4.430286E7
13:56:41.0,-1.0,1.20602366E8
13:56:42.0,-1.0,1.50415991E8
13:56:43.0,-1.0,1.25691435E8
13:56:44.0,-1.0,1.46203672E8
13:56:45.0,-1.0,4.0970778E7
13:56:46.0,-1.0,1184370.0
13:56:47.0,-1.0,155930.0
13:56:48.0,-1.0,149255.0
13:56:49.0,-1.0,165559.0
13:56:50.0,-1.0,138757.0
13:56:51.0,-1.0,176011.0
13:56:52.0,-1.0,184882.0
13:56:53.0,-1.0,161799.0
13:56:54.0,-1.0,151958.0
13:56:55.0,-1.0,201851.0
13:56:56.0,-1.0,172736.0
13:56:57.0,-1.0,1.7362108E7
13:56:58.0,-1.0,5.3975557E7
13:56:59.0,-1.0,1.39135668E8
13:57:00.0,-1.0,1.37717166E8
13:57:01.0,-1.0,1.45678695E8
13:57:02.0,-1.0,1.31695133E8
13:57:03.0,-1.0,3.9940769E7
13:57:04.0,-1.0,887959.0
13:57:05.0,-1.0,111813.0
13:57:06.0,-1.0,137136.0
13:57:07.0,-1.0,140593.0
13:57:08.0,-1.0,162208.0
13:57:09.0,-1.0,186683.0
13:57:10.0,-1.0,175842.0
13:57:11.0,-1.0,162348.0
13:57:12.0,-1.0,185727.0
13:57:13.0,-1.0,183853.0
13:57:14.0,-1.0,201867.0
13:57:15.0,-1.0,3.8143411E7
13:57:16.0,-1.0,1.18878182E8
13:57:17.0,-1.0,1.20055328E8
13:57:18.0,-1.0,1.34558485E8
13:57:19.0,-1.0,1.4485612E8
13:57:20.0,-1.0,4.7179738E7
13:57:21.0,-1.0,1065772.0
13:57:22.0,-1.0,442680.0
13:57:23.0,-1.0,171112.0
13:57:24.0,-1.0,142529.0
13:57:25.0,-1.0,149439.0
13:57:26.0,-1.0,151539.0
13:57:27.0,-1.0,160579.0
13:57:28.0,-1.0,195238.0
13:57:29.0,-1.0,176110.0
13:57:30.0,-1.0,178891.0
13:57:31.0,-1.0,191176.0
13:57:32.0,-1.0,3.4325991E7
13:57:33.0,-1.0,1.34201123E8
13:57:35.0,-1.0,1.64550684E8
13:57:36.0,-1.0,1.61938138E8
13:57:37.0,-1.0,1.56570593E8
13:57:38.0,-1.0,1.59797282E8
13:57:39.0,-1.0,1.012946E8
13:57:40.0,-1.0,809301.0
13:57:41.0,-0.984,660950.0
13:57:42.0,-1.0,166732.0
13:57:43.0,-1.0,143356.0
13:57:44.0,-1.0,170959.0
13:57:45.0,-1.0,160881.0
13:57:46.0,-1.0,165248.0
13:57:47.0,-1.0,170070.0
13:57:48.0,-1.0,171467.0
13:57:49.0,-1.0,152736.0
13:57:50.0,-1.0,162712.0
13:57:51.0,-1.0,3291282.0
13:57:52.0,-1.0,3.3591899E7
13:57:53.0,-1.0,7.0982967E7
13:57:54.0,-1.0,1.37629059E8
13:57:55.0,-1.0,1.5030757E8
13:57:56.0,-1.0,1.42298191E8
13:57:57.0,-1.0,1.474378E8
13:57:58.0,-1.0,4.078682E7
13:57:59.0,-1.0,1083661.0
13:58:00.0,-1.0,123241.0
13:58:01.0,-1.0,173356.0
13:58:02.0,-1.0,173930.0
13:58:03.0,-1.0,174386.0
13:58:04.0,-1.0,182629.0
13:58:05.0,-1.0,183187.0
13:58:06.0,-1.0,195052.0
13:58:07.0,-1.0,156153.0
13:58:08.0,-1.0,188643.0
13:58:09.0,-1.0,2.3292796E7
13:58:10.0,-1.0,7.5406717E7
13:58:11.0,-1.0,1.48061744E8
13:58:12.0,-1.0,1.59344405E8
13:58:13.0,-1.0,1.24861493E8
13:58:14.0,-1.0,1.28363275E8
13:58:15.0,-1.0,6.3347492E7
13:58:16.0,-1.0,1109837.0
13:58:17.0,-1.0,215677.0
13:58:18.0,-1.0,206307.0
13:58:19.0,-1.0,151714.0
13:58:20.0,-1.0,143450.0
13:58:21.0,-1.0,151309.0
13:58:22.0,-1.0,174922.0
13:58:23.0,-1.0,165781.0
13:58:24.0,-1.0,173211.0
13:58:25.0,-1.0,173675.0
13:58:26.0,-1.0,192498.0
13:58:27.0,-1.0,2.0549548E7
13:58:28.0,-1.0,7.0658956E7
13:58:29.0,-1.0,1.71804692E8
13:58:30.0,-1.0,1.97524304E8
13:58:31.0,-1.0,1.69456844E8
13:58:32.0,-1.0,1.36842173E8
13:58:33.0,-1.0,1.11623673E8
13:58:34.0,-0.976,1.4304378E7
13:58:35.0,-1.0,868036.0
13:58:36.0,-1.0,157682.0
13:58:37.0,-1.0,168021.0
13:58:38.0,-1.0,163311.0
13:58:39.0,-1.0,170010.0
13:58:40.0,-1.0,147244.0
13:58:41.0,-1.0,140948.0
13:58:42.0,-1.0,162381.0
13:58:43.0,-1.0,152706.0
13:58:44.0,-1.0,150572.0
13:58:45.0,-1.0,152265.0
13:58:46.0,-1.0,2.6362408E7
13:58:47.0,-1.0,8.3960363E7
13:58:48.0,-1.0,1.37643699E8
13:58:49.0,-1.0,1.61064429E8
13:58:50.0,-1.0,1.52121511E8
13:58:51.0,-1.0,1.22753517E8
13:58:52.0,-1.0,620544.0
13:58:53.0,-1.0,861947.0
13:58:54.0,-1.0,139920.0
13:58:55.0,-1.0,140731.0
13:58:56.0,-1.0,183579.0
13:58:57.0,-1.0,158109.0
13:58:58.0,-0.984,149924.0
13:58:59.0,-1.0,149320.0
13:59:00.0,-1.0,136020.0
13:59:01.0,-1.0,171581.0
13:59:02.0,-1.0,184334.0
13:59:03.0,-1.0,175370.0
13:59:04.0,-1.0,2.8547121E7
13:59:05.0,-1.0,7.1984483E7
13:59:06.0,-1.0,1.70923967E8
13:59:07.0,-1.0,1.26513677E8
13:59:08.0,-1.0,1.46900948E8
13:59:09.0,-1.0,7.0882798E7
13:59:10.0,-1.0,800918.0
13:59:11.0,-1.0,726093.0
13:59:12.0,-1.0,161205.0
13:59:13.0,-1.0,177021.0
13:59:14.0,-1.0,161463.0
13:59:15.0,-1.0,162651.0
13:59:16.0,-1.0,193219.0
13:59:17.0,-1.0,172653.0
13:59:18.0,-1.0,181653.0
13:59:19.0,-1.0,143020.0
13:59:20.0,-1.0,185725.0
13:59:21.0,-1.0,3.6251596E7
13:59:22.0,-1.0,1.39160501E8
13:59:23.0,-1.0,1.41077805E8
13:59:24.0,-1.0,1.5895723E8
13:59:25.0,-1.0,1.64097612E8
13:59:26.0,-1.0,1.88892145E8
13:59:27.0,-1.0,1.5428186E7
13:59:28.0,-1.0,1241967.0
13:59:29.0,-1.0,143314.0
13:59:30.0,-1.0,175083.0
13:59:31.0,-1.0,173796.0
13:59:32.0,-1.0,174285.0
