Elapsed time,192.168.5.50 CPU,192.168.5.50 Memory
13:56:09.0,48.459,24.224
13:56:10.0,67.249,24.231
13:56:11.0,99.497,24.231
13:56:12.0,99.497,24.23
13:56:13.0,99.246,24.231
13:56:14.0,99.251,24.23
13:56:15.0,99.497,24.228
13:56:16.0,99.0,24.234
13:56:17.0,99.25,24.231
13:56:18.0,99.251,24.231
13:56:19.0,99.501,24.231
13:56:20.0,99.004,24.231
13:56:21.0,91.939,24.221
13:56:22.0,77.581,24.084
13:56:23.0,79.134,24.083
13:56:24.0,81.265,24.061
13:56:25.0,84.924,24.353
13:56:26.0,74.111,24.27
13:56:27.0,72.405,24.28
13:56:28.0,36.455,24.28
13:56:29.0,87.405,24.28
13:56:30.0,99.5,24.284
13:56:31.0,99.5,24.283
13:56:32.0,99.501,24.282
13:56:33.0,99.251,24.28
13:56:34.0,99.501,24.28
13:56:35.0,99.748,24.28
13:56:36.0,99.251,24.281
13:56:37.0,99.497,24.28
13:56:38.0,99.501,24.278
13:56:39.0,83.165,24.285
13:56:40.0,83.12,24.277
13:56:41.0,81.979,24.311
13:56:42.0,76.708,24.32
13:56:43.0,86.466,24.327
13:56:44.0,77.329,23.688
13:56:45.0,10.539,23.618
13:56:46.0,86.802,23.623
13:56:47.0,98.746,23.628
13:56:48.0,99.251,23.63
13:56:49.0,99.501,23.63
13:56:50.0,98.997,23.629
13:56:51.0,99.253,23.629
13:56:52.0,99.251,23.627
13:56:53.0,99.25,23.626
13:56:54.0,99.251,23.635
13:56:55.0,99.5,23.637
13:56:56.0,99.004,23.635
13:56:57.0,75.888,23.632
13:56:58.0,82.828,23.651
13:56:59.0,84.732,24.144
13:57:00.0,78.68,24.122
13:57:01.0,82.914,24.198
13:57:02.0,72.335,24.286
13:57:03.0,47.328,24.078
13:57:04.0,88.972,24.078
13:57:05.0,99.251,24.082
13:57:06.0,99.25,24.082
13:57:07.0,99.0,24.081
13:57:08.0,99.248,24.08
13:57:09.0,99.501,24.088
13:57:10.0,99.749,24.086
13:57:11.0,99.501,24.086
13:57:12.0,99.5,24.084
13:57:13.0,99.75,24.084
13:57:14.0,93.718,24.082
13:57:15.0,75.634,24.075
13:57:16.0,82.741,24.007
13:57:17.0,80.462,24.306
13:57:18.0,85.5,24.108
13:57:19.0,82.089,24.331
13:57:20.0,22.938,24.154
13:57:21.0,77.272,24.159
13:57:22.0,94.206,24.165
13:57:23.0,98.75,24.165
13:57:24.0,98.997,24.166
13:57:25.0,99.5,24.165
13:57:26.0,99.501,24.163
13:57:27.0,98.75,24.163
13:57:28.0,99.749,24.162
13:57:29.0,99.497,24.161
13:57:30.0,99.75,24.159
13:57:31.0,99.251,24.158
13:57:32.0,74.747,24.154
13:57:33.0,70.454,24.315
13:57:35.0,82.025,24.106
13:57:36.0,77.078,24.389
13:57:37.0,81.818,24.389
13:57:38.0,79.145,24.426
13:57:39.0,38.52,24.374
13:57:40.0,57.178,24.383
13:57:41.0,90.428,24.387
13:57:42.0,99.5,24.388
13:57:43.0,99.251,24.39
13:57:44.0,98.743,24.389
13:57:45.0,99.75,24.387
13:57:46.0,99.004,24.386
13:57:47.0,99.248,24.386
13:57:48.0,99.501,24.384
13:57:49.0,99.749,24.384
13:57:50.0,99.749,24.383
13:57:51.0,83.456,24.389
13:57:52.0,80.808,24.399
13:57:53.0,84.848,24.409
13:57:54.0,80.71,23.986
13:57:55.0,81.518,24.325
13:57:56.0,82.367,24.119
13:57:57.0,83.123,24.332
13:57:58.0,28.03,24.142
13:57:59.0,82.994,24.14
13:58:00.0,99.75,24.145
13:58:01.0,99.749,24.142
13:58:02.0,99.75,24.142
13:58:03.0,99.75,24.148
13:58:04.0,99.5,24.147
13:58:05.0,99.502,24.145
13:58:06.0,99.748,24.144
13:58:07.0,99.749,24.143
13:58:08.0,99.499,24.142
13:58:09.0,82.63,24.145
13:58:10.0,81.313,24.266
13:58:11.0,73.35,24.438
13:58:12.0,75.252,24.378
13:58:13.0,85.569,24.451
13:58:14.0,80.1,24.247
13:58:15.0,35.368,24.218
13:58:16.0,85.5,24.215
13:58:17.0,98.743,24.222
13:58:18.0,98.753,24.225
13:58:19.0,99.501,24.224
13:58:20.0,99.246,24.223
13:58:21.0,99.251,24.222
13:58:22.0,99.25,24.222
13:58:23.0,99.498,24.22
13:58:24.0,99.5,24.219
13:58:25.0,99.004,24.222
13:58:26.0,99.497,24.221
13:58:27.0,77.078,24.225
13:58:28.0,79.695,24.376
13:58:29.0,81.203,24.423
13:58:30.0,74.055,24.436
13:58:31.0,81.155,24.211
13:58:32.0,81.592,24.333
13:58:33.0,57.25,24.339
13:58:34.0,41.624,24.335
13:58:35.0,90.75,24.334
13:58:36.0,99.253,24.337
13:58:37.0,99.0,24.335
13:58:38.0,99.5,24.334
13:58:39.0,99.749,24.336
13:58:40.0,99.251,24.341
13:58:41.0,99.499,24.339
13:58:42.0,99.5,24.339
13:58:43.0,99.498,24.338
13:58:44.0,99.503,24.336
13:58:45.0,99.498,24.336
13:58:46.0,82.871,24.339
13:58:47.0,83.756,24.372
13:58:48.0,82.619,24.2
13:58:49.0,82.25,24.335
13:58:50.0,80.612,24.376
13:58:51.0,46.683,24.417
13:58:52.0,39.898,24.424
13:58:53.0,88.383,24.426
13:58:54.0,99.004,24.424
13:58:55.0,99.5,24.423
13:58:56.0,99.246,24.423
13:58:57.0,99.002,24.421
13:58:58.0,99.5,24.421
13:58:59.0,99.498,24.421
13:59:00.0,99.002,24.42
13:59:01.0,99.244,24.42
13:59:02.0,99.004,24.418
13:59:03.0,99.248,24.417
13:59:04.0,78.109,24.416
13:59:05.0,84.987,24.45
13:59:06.0,76.081,24.347
13:59:07.0,80.562,24.348
13:59:08.0,87.341,24.155
13:59:09.0,26.952,24.149
13:59:10.0,56.14,24.154
13:59:11.0,91.729,24.158
13:59:12.0,98.994,24.157
13:59:13.0,99.251,24.157
13:59:14.0,99.248,24.183
13:59:15.0,99.75,24.183
13:59:16.0,99.253,24.181
13:59:17.0,99.748,24.18
13:59:18.0,99.498,24.179
13:59:19.0,99.253,24.178
13:59:20.0,97.755,24.176
13:59:21.0,73.182,24.195
13:59:22.0,77.135,24.373
13:59:23.0,81.772,24.359
13:59:24.0,80.303,24.315
13:59:25.0,83.333,24.311
13:59:26.0,75.703,24.168
13:59:27.0,10.178,24.168
13:59:28.0,87.786,24.162
13:59:29.0,99.253,24.168
13:59:30.0,99.248,24.169
13:59:31.0,99.5,24.17
13:59:32.0,99.749,24.173
13:59:33.0,99.75,24.171
13:59:34.0,98.753,24.17
13:59:35.0,99.999,24.172
13:59:37.0,99.246,24.17
13:59:38.0,99.501,24.17
13:59:39.0,85.249,24.167
13:59:40.0,77.918,24.157
13:59:41.0,77.04,24.419
13:59:42.0,83.037,24.45
13:59:43.0,79.448,24.236
13:59:44.0,79.345,24.203
13:59:45.0,81.565,24.215
13:59:46.0,23.409,24.18
13:59:47.0,76.262,24.183
13:59:48.0,92.982,24.189
13:59:49.0,99.002,24.187
13:59:50.0,99.251,24.186
13:59:51.0,99.0,24.184
13:59:52.0,99.501,24.184
13:59:53.0,99.253,24.184
13:59:54.0,99.496,24.183
13:59:55.0,99.501,24.181
13:59:56.0,99.25,24.18
13:59:57.0,99.749,24.179
13:59:58.0,94.044,24.178
13:59:59.0,70.0,24.178
14:00:00.0,77.918,24.313
14:00:01.0,78.316,24.116
14:00:02.0,83.25,24.362
14:00:03.0,79.389,24.35
14:00:04.0,35.264,24.181
14:00:05.0,72.11,24.187
14:00:06.0,91.979,24.19
14:00:07.0,99.503,24.19
14:00:08.0,99.248,24.19
14:00:09.0,99.251,24.189
14:00:10.0,99.501,24.187
14:00:11.0,98.994,24.186
14:00:12.0,99.25,24.185
14:00:13.0,99.25,24.185
14:00:14.0,98.994,24.184
14:00:15.0,98.514,24.178
14:00:16.0,77.5,24.187
14:00:17.0,82.188,24.359
14:00:18.0,76.962,24.412
14:00:19.0,71.761,24.233
14:00:20.0,82.07,24.396
14:00:21.0,82.397,24.254
14:00:22.0,13.705,24.241
14:00:23.0,85.496,24.239
14:00:24.0,95.261,24.245
14:00:25.0,99.749,24.232
14:00:26.0,99.251,24.231
14:00:27.0,99.499,24.23
14:00:28.0,99.5,24.229
14:00:29.0,99.501,24.228
14:00:30.0,99.5,24.225
14:00:31.0,100.0,24.224
14:00:32.0,99.502,24.222
14:00:33.0,86.215,24.224
14:00:34.0,79.8,24.338
14:00:35.0,73.214,24.401
14:00:36.0,83.502,24.4
14:00:37.0,76.903,24.011
14:00:38.0,80.701,24.28
14:00:39.0,43.324,24.256
14:00:40.0,87.0,24.256
14:00:41.0,99.5,24.266
14:00:42.0,99.498,24.266
14:00:43.0,99.251,24.266
14:00:44.0,99.251,24.265
