Elapsed time,192.168.5.50 CPU,192.168.5.50 Memory
15:06:16.0,2.372,24.277
15:06:17.0,52.911,24.287
15:06:18.0,98.507,24.286
15:06:19.0,98.511,24.286
15:06:20.0,99.501,24.285
15:06:21.0,99.75,24.284
15:06:22.0,99.25,24.283
15:06:23.0,99.004,24.282
15:06:24.0,99.5,24.281
15:06:25.0,99.498,24.281
15:06:26.0,99.251,24.279
15:06:27.0,99.5,24.278
15:06:28.0,99.501,24.278
15:06:29.0,99.5,24.277
15:06:30.0,90.977,24.285
15:06:31.0,83.418,24.305
15:06:32.0,82.025,24.162
15:06:33.0,78.894,24.657
15:06:34.0,80.661,24.538
15:06:35.0,82.278,24.54
15:06:36.0,79.396,24.331
15:06:37.0,81.679,24.557
15:06:38.0,68.03,24.505
15:06:39.0,63.157,24.5
15:06:40.0,88.86,24.5
15:06:41.0,99.244,24.501
15:06:42.0,99.5,24.501
15:06:43.0,99.501,24.501
15:06:44.0,98.994,24.5
15:06:45.0,99.248,24.499
15:06:46.0,99.002,24.497
15:06:47.0,99.248,24.497
15:06:48.0,99.501,24.496
15:06:49.0,99.498,24.494
15:06:50.0,99.499,24.493
15:06:51.0,99.246,24.492
15:06:52.0,99.498,24.491
15:06:53.0,87.468,24.501
15:06:54.0,82.367,24.514
15:06:55.0,79.596,24.597
15:06:56.0,77.329,24.388
15:06:57.0,75.703,24.23
15:06:58.0,81.313,24.576
15:06:59.0,80.604,24.634
15:07:00.0,77.468,24.269
15:07:01.0,68.939,24.554
15:07:02.0,14.615,24.558
15:07:03.0,87.25,24.552
15:07:04.0,95.989,24.555
15:07:05.0,99.248,24.56
15:07:06.0,99.502,24.563
15:07:07.0,99.5,24.562
15:07:08.0,99.75,24.562
15:07:09.0,99.503,24.56
15:07:10.0,99.748,24.559
15:07:11.0,99.25,24.558
15:07:12.0,99.251,24.557
15:07:13.0,98.753,24.556
15:07:14.0,99.251,24.555
15:07:15.0,99.25,24.554
15:07:16.0,99.251,24.555
15:07:17.0,98.746,24.558
15:07:18.0,81.472,24.556
15:07:19.0,81.909,24.629
15:07:20.0,80.604,24.641
15:07:21.0,86.716,24.632
15:07:22.0,77.918,24.731
15:07:23.0,82.793,24.32
15:07:24.0,79.691,24.424
15:07:25.0,65.482,24.354
15:07:26.0,30.05,24.404
15:07:27.0,83.291,24.397
15:07:28.0,89.593,24.403
15:07:29.0,99.498,24.403
15:07:30.0,99.255,24.404
15:07:31.0,99.246,24.403
15:07:32.0,99.0,24.401
15:07:33.0,99.248,24.404
15:07:34.0,99.248,24.402
15:07:35.0,98.75,24.401
15:07:36.0,99.248,24.401
15:07:37.0,99.0,24.399
15:07:38.0,99.25,24.397
15:07:39.0,99.498,24.397
15:07:40.0,99.002,24.396
15:07:42.0,85.964,24.419
15:07:43.0,82.908,24.42
15:07:44.0,73.433,24.461
15:07:45.0,78.826,24.509
15:07:46.0,79.797,24.691
15:07:47.0,86.25,24.707
15:07:48.0,85.964,24.687
15:07:49.0,77.889,24.214
15:07:50.0,26.153,24.477
15:07:51.0,66.583,24.238
15:07:52.0,87.0,24.245
15:07:53.0,99.25,24.247
15:07:54.0,98.258,24.247
15:07:55.0,98.997,24.246
15:07:56.0,99.007,24.246
15:07:57.0,100.0,24.244
15:07:58.0,99.251,24.244
15:07:59.0,99.5,24.242
15:08:00.0,99.498,24.242
15:08:01.0,99.502,24.241
15:08:02.0,99.749,24.24
15:08:03.0,99.004,24.246
15:08:04.0,99.749,24.244
15:08:05.0,86.284,24.255
15:08:06.0,79.283,24.242
15:08:07.0,81.265,24.629
15:08:08.0,82.828,24.625
15:08:09.0,79.187,24.653
15:08:10.0,84.09,24.654
15:08:11.0,80.2,24.669
15:08:12.0,83.333,24.75
15:08:13.0,76.649,24.483
15:08:14.0,34.683,24.499
15:08:15.0,74.494,24.507
15:08:16.0,93.417,24.513
15:08:17.0,99.498,24.515
15:08:18.0,99.498,24.513
15:08:19.0,98.564,24.512
15:08:20.0,99.251,24.514
15:08:21.0,98.999,24.513
15:08:22.0,99.497,24.511
15:08:23.0,99.25,24.511
15:08:24.0,99.002,24.51
15:08:25.0,99.496,24.509
15:08:26.0,99.253,24.508
