Elapsed time,192.168.5.50 CPU,192.168.5.50 Memory
14:52:37.0,2.568,46.623
14:52:38.0,60.15,46.631
14:52:39.0,99.244,46.633
14:52:40.0,99.002,46.617
14:52:41.0,100.0,46.617
14:52:42.0,99.0,46.615
14:52:43.0,99.5,46.615
14:52:44.0,100.0,46.613
14:52:45.0,99.5,46.615
14:52:46.0,99.75,46.615
14:52:47.0,99.501,46.613
14:52:48.0,99.498,46.612
14:52:49.0,99.501,46.61
14:52:50.0,98.75,46.61
14:52:51.0,99.499,46.609
14:52:52.0,78.25,46.614
14:52:53.0,84.732,46.615
14:52:54.0,87.212,46.61
14:52:55.0,97.014,46.618
14:52:56.0,99.497,46.618
14:52:57.0,98.743,46.617
14:52:58.0,99.499,46.613
14:52:59.0,99.248,46.611
14:53:00.0,99.251,46.61
14:53:01.0,99.25,46.608
14:53:02.0,99.0,46.608
14:53:03.0,99.501,46.61
14:53:05.0,98.994,46.61
14:53:06.0,99.004,46.608
14:53:07.0,99.497,46.608
14:53:08.0,98.999,46.608
14:53:09.0,83.585,46.611
14:53:10.0,85.5,46.617
14:53:11.0,85.969,46.612
14:53:12.0,95.979,46.618
14:53:13.0,99.0,46.619
14:53:14.0,99.248,46.617
14:53:15.0,99.251,46.615
14:53:16.0,99.497,46.619
14:53:17.0,99.498,46.617
14:53:18.0,99.501,46.617
14:53:19.0,99.502,46.616
14:53:20.0,99.251,46.616
14:53:21.0,98.992,46.615
14:53:22.0,98.746,46.614
14:53:23.0,99.748,46.614
14:53:24.0,99.502,46.613
14:53:25.0,99.5,46.614
14:53:26.0,84.52,46.621
14:53:27.0,88.0,46.616
14:53:28.0,84.496,46.618
14:53:29.0,89.42,46.623
14:53:30.0,99.253,46.626
14:53:31.0,99.5,46.626
14:53:32.0,99.749,46.625
14:53:33.0,99.248,46.625
14:53:34.0,99.248,46.624
14:53:35.0,99.502,46.622
14:53:36.0,99.251,46.622
14:53:37.0,99.501,46.62
14:53:38.0,99.748,46.618
14:53:39.0,99.503,46.619
14:53:40.0,99.246,46.617
14:53:41.0,99.749,46.617
14:53:42.0,99.25,46.616
14:53:43.0,84.328,46.625
14:53:44.0,86.432,46.618
14:53:45.0,83.673,46.62
14:53:46.0,92.518,46.635
14:53:47.0,99.251,46.635
14:53:48.0,98.989,46.637
14:53:49.0,99.253,46.639
14:53:50.0,98.753,46.637
14:53:51.0,99.248,46.635
14:53:52.0,99.499,46.634
14:53:53.0,99.246,46.633
14:53:54.0,99.0,46.633
14:53:55.0,99.75,46.633
14:53:56.0,98.746,46.633
14:53:57.0,99.497,46.632
14:53:58.0,99.004,46.632
14:53:59.0,99.246,46.638
14:54:00.0,92.23,46.633
14:54:01.0,81.772,46.636
14:54:02.0,84.771,46.645
14:54:03.0,91.979,46.65
14:54:04.0,99.251,46.652
14:54:05.0,99.75,46.651
14:54:06.0,99.75,46.649
14:54:07.0,99.498,46.648
14:54:08.0,99.5,46.648
14:54:09.0,99.5,46.647
14:54:10.0,100.0,46.647
14:54:11.0,99.5,46.646
14:54:12.0,100.0,46.646
14:54:13.0,99.007,46.644
14:54:14.0,99.5,46.644
14:54:15.0,99.5,46.644
14:54:16.0,99.5,46.644
14:54:17.0,78.894,46.647
14:54:18.0,83.037,46.65
14:54:19.0,85.138,46.649
14:54:20.0,99.75,46.649
14:54:21.0,98.997,46.649
14:54:22.0,99.498,46.648
14:54:23.0,99.248,46.648
14:54:24.0,99.5,46.645
14:54:25.0,100.0,46.645
14:54:26.0,99.502,46.644
14:54:27.0,99.501,46.642
14:54:28.0,99.0,46.645
14:54:29.0,99.004,46.647
14:54:30.0,99.499,46.648
14:54:31.0,99.498,46.646
14:54:32.0,99.25,46.646
14:54:33.0,99.253,46.645
14:54:34.0,87.281,46.65
14:54:35.0,85.858,46.653
14:54:36.0,86.768,46.644
14:54:37.0,96.75,46.652
14:54:38.0,99.497,46.652
14:54:39.0,99.002,46.649
14:54:40.0,99.749,46.65
14:54:41.0,98.997,46.65
14:54:42.0,99.501,46.649
14:54:43.0,99.748,46.648
14:54:44.0,99.002,46.647
14:54:45.0,99.25,46.646
14:54:46.0,99.5,46.647
14:54:47.0,99.5,46.647
14:54:48.0,99.002,46.647
14:54:49.0,89.949,46.652
14:54:50.0,84.499,46.652
14:54:51.0,87.719,46.652
14:54:52.0,99.248,46.655
14:54:53.0,99.5,46.654
14:54:54.0,99.25,46.654
14:54:55.0,99.244,46.654
14:54:56.0,99.25,46.655
14:54:57.0,99.5,46.654
14:54:58.0,99.751,46.654
14:54:59.0,99.494,46.655
14:55:00.0,99.255,46.654
14:55:01.0,99.5,46.653
14:55:02.0,99.501,46.653
14:55:03.0,99.749,46.652
14:55:04.0,99.259,46.65
14:55:05.0,99.242,46.651
14:55:06.0,88.778,46.659
14:55:07.0,84.556,46.659
14:55:08.0,84.987,46.652
14:55:09.0,96.259,46.657
14:55:11.0,99.248,46.657
14:55:12.0,99.253,46.658
14:55:13.0,99.748,46.657
14:55:14.0,99.007,46.656
14:55:15.0,99.248,46.655
14:55:16.0,99.253,46.654
14:55:17.0,99.747,46.654
14:55:18.0,99.502,46.653
14:55:19.0,99.497,46.653
14:55:20.0,99.999,46.652
14:55:21.0,98.997,46.651
14:55:22.0,99.251,46.651
14:55:23.0,74.5,46.658
14:55:24.0,85.496,46.653
14:55:25.0,82.951,46.658
14:55:26.0,86.294,46.662
14:55:27.0,99.246,46.664
14:55:28.0,99.25,46.664
14:55:29.0,99.248,46.663
14:55:30.0,98.245,46.661
14:55:31.0,99.499,46.659
14:55:32.0,100.0,46.659
14:55:33.0,99.251,46.658
14:55:34.0,99.501,46.658
14:55:35.0,99.497,46.659
14:55:36.0,99.253,46.659
14:55:37.0,99.496,46.658
14:55:38.0,99.503,46.659
14:55:39.0,99.748,46.658
14:55:40.0,93.034,46.657
14:55:41.0,82.205,46.659
14:55:42.0,83.418,46.66
14:55:43.0,91.392,46.663
14:55:44.0,99.251,46.662
14:55:45.0,99.501,46.663
14:55:46.0,99.749,46.661
14:55:47.0,99.497,46.659
14:55:48.0,99.498,46.659
14:55:49.0,99.251,46.662
14:55:50.0,100.0,46.664
14:55:51.0,99.25,46.664
14:55:52.0,99.5,46.663
14:55:53.0,99.75,46.662
14:55:54.0,99.514,46.662
14:55:55.0,99.741,46.662
14:55:56.0,92.929,46.685
14:55:57.0,86.802,46.678
14:55:58.0,85.353,46.677
14:55:59.0,89.223,46.683
14:56:00.0,99.497,46.684
14:56:01.0,99.251,46.683
14:56:02.0,99.497,46.681
14:56:03.0,99.75,46.687
14:56:04.0,98.762,46.686
14:56:05.0,99.498,46.685
