Elapsed time,192.168.5.50 Disks I/O,192.168.5.50 Network I/O
14:52:37.0,-1.0,0.0
14:52:38.0,-1.0,188266.0
14:52:39.0,-1.0,129101.0
14:52:40.0,-1.0,135248.0
14:52:41.0,-1.0,172519.0
14:52:42.0,-1.0,164899.0
14:52:43.0,-1.0,167744.0
14:52:44.0,-1.0,187133.0
14:52:45.0,-1.0,188074.0
14:52:46.0,-1.0,166569.0
14:52:47.0,-1.0,177027.0
14:52:48.0,-1.0,159800.0
14:52:49.0,-1.0,211078.0
14:52:50.0,-1.0,167938.0
14:52:51.0,-1.0,148442.0
14:52:52.0,-1.0,1.4361554E7
14:52:53.0,-1.0,3.2088561E7
14:52:54.0,-1.0,1382722.0
14:52:55.0,-1.0,386039.0
14:52:56.0,-1.0,154289.0
14:52:57.0,-1.0,173946.0
14:52:58.0,-1.0,164236.0
14:52:59.0,-1.0,185147.0
14:53:00.0,-1.0,176000.0
14:53:01.0,-1.0,162469.0
14:53:03.0,-1.0,137178.0
14:53:04.0,-1.0,179279.0
14:53:05.0,-1.0,187122.0
14:53:06.0,-1.0,183646.0
14:53:07.0,-1.0,153790.0
14:53:08.0,-1.0,175414.0
14:53:09.0,-1.0,2.2468177E7
14:53:10.0,-1.0,2.3859138E7
14:53:11.0,-1.0,1241912.0
14:53:12.0,-1.0,524966.0
14:53:13.0,-1.0,169612.0
14:53:14.0,-1.0,164568.0
14:53:15.0,-1.0,158766.0
14:53:16.0,-1.0,142578.0
14:53:17.0,-1.0,152201.0
14:53:18.0,-1.0,174885.0
14:53:19.0,-1.0,170862.0
14:53:20.0,-1.0,169646.0
14:53:21.0,-1.0,171980.0
14:53:22.0,-1.0,163776.0
14:53:23.0,-1.0,131828.0
14:53:24.0,-1.0,150975.0
14:53:25.0,-1.0,156199.0
14:53:26.0,-1.0,1.3428017E7
14:53:27.0,-1.0,2.5382121E7
14:53:28.0,-0.992,8227880.0
14:53:29.0,-1.0,1120093.0
14:53:30.0,-1.0,153110.0
14:53:31.0,-1.0,152238.0
14:53:32.0,-1.0,153375.0
14:53:33.0,-1.0,147367.0
14:53:34.0,-1.0,192040.0
14:53:35.0,-1.0,156464.0
14:53:36.0,-1.0,161223.0
14:53:37.0,-1.0,186147.0
14:53:38.0,-1.0,132070.0
14:53:39.0,-1.0,144589.0
14:53:40.0,-1.0,167690.0
14:53:41.0,-1.0,156903.0
14:53:42.0,-1.0,175076.0
14:53:43.0,-1.0,7346871.0
14:53:44.0,-1.0,3.0892662E7
14:53:45.0,-0.992,8816668.0
14:53:46.0,-1.0,945509.0
14:53:47.0,-1.0,121158.0
14:53:48.0,-1.0,164126.0
14:53:49.0,-1.0,143026.0
14:53:50.0,-1.0,159982.0
14:53:51.0,-1.0,157238.0
14:53:52.0,-1.0,186018.0
14:53:53.0,-1.0,156936.0
14:53:54.0,-1.0,151651.0
14:53:55.0,-1.0,155069.0
14:53:56.0,-1.0,163863.0
14:53:57.0,-1.0,153912.0
14:53:58.0,-1.0,175337.0
14:53:59.0,-1.0,151191.0
14:54:00.0,-1.0,196303.0
14:54:01.0,-1.0,3.0437135E7
14:54:02.0,-1.0,1.6739835E7
14:54:03.0,-1.0,852259.0
14:54:04.0,-1.0,131671.0
14:54:05.0,-1.0,175250.0
14:54:06.0,-1.0,178299.0
14:54:07.0,-1.0,169626.0
14:54:08.0,-1.0,159281.0
14:54:09.0,-1.0,187171.0
14:54:10.0,-1.0,164382.0
14:54:11.0,-1.0,175776.0
14:54:12.0,-1.0,141781.0
14:54:13.0,-1.0,153218.0
14:54:14.0,-1.0,154935.0
14:54:15.0,-1.0,174925.0
14:54:16.0,-1.0,154286.0
14:54:17.0,-1.0,1.8918561E7
14:54:18.0,-1.0,2.7524081E7
14:54:19.0,-1.0,1426673.0
14:54:20.0,-1.0,100560.0
14:54:21.0,-1.0,153139.0
14:54:22.0,-1.0,153393.0
14:54:23.0,-1.0,131111.0
14:54:24.0,-1.0,173948.0
14:54:25.0,-1.0,142910.0
14:54:26.0,-1.0,164032.0
14:54:27.0,-1.0,170187.0
