Elapsed time,192.168.5.50 Disks I/O,192.168.5.50 Network I/O
14:39:59.0,-0.999,0.0
14:40:00.0,-1.0,212227.0
14:40:01.0,-1.0,119525.0
14:40:02.0,-1.0,141740.0
14:40:03.0,-1.0,164777.0
14:40:04.0,-1.0,185750.0
14:40:05.0,-1.0,186873.0
14:40:06.0,-1.0,186493.0
14:40:07.0,-1.0,165271.0
14:40:08.0,-1.0,165446.0
14:40:09.0,-1.0,175495.0
14:40:10.0,-1.0,143063.0
14:40:11.0,-1.0,109309.0
14:40:12.0,-1.0,142237.0
14:40:13.0,-1.0,132913.0
14:40:14.0,-1.0,151105.0
14:40:15.0,-1.0,2.5840262E7
14:40:16.0,-1.0,2.0672811E7
14:40:17.0,-1.0,1376006.0
14:40:18.0,-1.0,99405.0
14:40:19.0,-1.0,202447.0
14:40:20.0,-1.0,154117.0
14:40:21.0,-1.0,152405.0
14:40:22.0,-1.0,142864.0
14:40:23.0,-1.0,175239.0
14:40:24.0,-1.0,178142.0
14:40:25.0,-1.0,155791.0
14:40:26.0,-1.0,171439.0
14:40:27.0,-1.0,161279.0
14:40:28.0,-1.0,142427.0
14:40:29.0,-1.0,164699.0
14:40:30.0,-1.0,141848.0
14:40:31.0,-1.0,182073.0
14:40:32.0,-1.0,1.4418798E7
14:40:33.0,-1.0,3.0558986E7
14:40:34.0,-1.0,2921395.0
14:40:35.0,-1.0,382596.0
14:40:36.0,-1.0,130713.0
14:40:37.0,-1.0,163558.0
14:40:38.0,-1.0,165028.0
14:40:39.0,-1.0,152773.0
14:40:40.0,-1.0,161550.0
14:40:41.0,-1.0,182125.0
14:40:42.0,-1.0,167245.0
14:40:43.0,-1.0,174271.0
14:40:44.0,-1.0,146962.0
14:40:45.0,-1.0,187169.0
14:40:46.0,-1.0,137306.0
14:40:47.0,-1.0,141797.0
14:40:48.0,-0.984,163469.0
14:40:49.0,-1.0,1.6232012E7
14:40:50.0,-1.0,2.8968723E7
14:40:51.0,-1.0,2475139.0
14:40:52.0,-1.0,495024.0
14:40:53.0,-1.0,142792.0
14:40:55.0,-1.0,143356.0
14:40:56.0,-1.0,187055.0
14:40:57.0,-1.0,162895.0
14:40:58.0,-1.0,151334.0
14:40:59.0,-1.0,144649.0
14:41:00.0,-1.0,175180.0
14:41:01.0,-1.0,203628.0
14:41:02.0,-1.0,196953.0
14:41:03.0,-1.0,162649.0
14:41:04.0,-1.0,173489.0
14:41:05.0,-1.0,181323.0
14:41:06.0,-1.0,175906.0
14:41:07.0,-1.0,2.4117724E7
14:41:08.0,-1.0,2.2781345E7
14:41:09.0,-1.0,1232538.0
14:41:10.0,-1.0,136723.0
14:41:11.0,-1.0,164947.0
14:41:12.0,-1.0,179228.0
14:41:13.0,-1.0,174449.0
14:41:14.0,-1.0,175590.0
14:41:15.0,-1.0,175988.0
14:41:16.0,-1.0,173988.0
14:41:17.0,-1.0,187050.0
14:41:18.0,-1.0,168901.0
14:41:19.0,-1.0,182212.0
14:41:20.0,-1.0,164452.0
14:41:21.0,-1.0,162904.0
14:41:22.0,-1.0,177963.0
14:41:23.0,-1.0,2.7406996E7
14:41:24.0,-1.0,1.95042E7
14:41:25.0,-0.984,1155417.0
14:41:26.0,-1.0,164385.0
14:41:27.0,-1.0,154741.0
14:41:28.0,-1.0,86095.0
14:41:29.0,-1.0,110027.0
14:41:30.0,-1.0,125959.0
14:41:31.0,-1.0,158561.0
14:41:32.0,-1.0,153186.0
14:41:33.0,-0.992,168513.0
14:41:34.0,-1.0,153524.0
14:41:35.0,-1.0,185403.0
14:41:36.0,-1.0,190957.0
14:41:37.0,-1.0,149157.0
14:41:38.0,-1.0,142650.0
14:41:39.0,-1.0,153737.0
14:41:40.0,-1.0,1486204.0
14:41:41.0,-1.0,2.5570548E7
14:41:42.0,-1.0,1.9534175E7
14:41:43.0,-1.0,953334.0
14:41:44.0,-1.0,743283.0
14:41:45.0,-1.0,165186.0
14:41:46.0,-1.0,144066.0
14:41:47.0,-1.0,174678.0
14:41:48.0,-1.0,142721.0
14:41:49.0,-1.0,142601.0
14:41:50.0,-1.0,109990.0
14:41:51.0,-1.0,140761.0
14:41:52.0,-1.0,142662.0
14:41:53.0,-1.0,156396.0
14:41:54.0,-0.992,170662.0
14:41:55.0,-1.0,170613.0
14:41:56.0,-1.0,163695.0
14:41:57.0,-1.0,186536.0
14:41:58.0,-1.0,163958.0
14:41:59.0,-1.0,1.1491627E7
14:42:00.0,-1.0,2.8799828E7
14:42:01.0,-1.0,6534293.0
14:42:02.0,-0.992,1082170.0
14:42:03.0,-1.0,99524.0
14:42:04.0,-1.0,153185.0
14:42:05.0,-1.0,153565.0
14:42:06.0,-1.0,152693.0
14:42:07.0,-1.0,153464.0
14:42:08.0,-1.0,142176.0
14:42:09.0,-1.0,154570.0
14:42:10.0,-1.0,150330.0
14:42:11.0,-1.0,176676.0
14:42:12.0,-1.0,162575.0
14:42:13.0,-1.0,175049.0
14:42:14.0,-1.0,165400.0
14:42:15.0,-1.0,164132.0
14:42:16.0,-1.0,174645.0
14:42:17.0,-1.0,1.8857499E7
14:42:18.0,-1.0,2.5647346E7
14:42:19.0,-0.992,2590042.0
14:42:20.0,-1.0,825514.0
14:42:21.0,-1.0,141595.0
14:42:22.0,-1.0,183008.0
14:42:23.0,-1.0,166967.0
14:42:24.0,-1.0,185770.0
14:42:25.0,-1.0,183404.0
14:42:26.0,-1.0,175235.0
14:42:27.0,-1.0,173058.0
14:42:28.0,-1.0,185908.0
14:42:29.0,-1.0,173971.0
14:42:30.0,-1.0,153080.0
