Elapsed time,192.168.5.50 CPU,192.168.5.50 Memory
14:08:26.0,2.964,46.519
14:08:27.0,18.829,46.527
14:08:28.0,98.994,46.527
14:08:29.0,98.997,46.526
14:08:30.0,99.501,46.525
14:08:31.0,99.251,46.527
14:08:32.0,99.497,46.525
14:08:33.0,98.999,46.527
14:08:34.0,99.5,46.526
14:08:35.0,99.749,46.525
14:08:36.0,99.25,46.523
14:08:37.0,99.248,46.522
14:08:38.0,99.251,46.521
14:08:39.0,99.748,46.52
14:08:40.0,99.253,46.519
14:08:41.0,99.749,46.518
14:08:42.0,99.002,46.516
14:08:43.0,77.078,46.521
14:08:44.0,84.711,46.527
14:08:45.0,85.858,46.516
14:08:46.0,96.992,46.523
14:08:47.0,99.501,46.522
14:08:48.0,99.002,46.522
14:08:49.0,99.25,46.522
14:08:50.0,99.748,46.524
14:08:51.0,98.5,46.523
14:08:52.0,99.248,46.522
14:08:53.0,99.5,46.522
14:08:54.0,99.251,46.522
14:08:55.0,99.498,46.52
14:08:56.0,99.75,46.519
14:08:57.0,99.5,46.518
14:08:58.0,99.246,46.517
14:08:59.0,99.251,46.516
14:09:00.0,82.835,46.52
14:09:01.0,88.664,46.523
14:09:02.0,83.846,46.527
14:09:03.0,91.392,46.532
14:09:04.0,99.002,46.531
14:09:05.0,99.75,46.53
14:09:06.0,98.746,46.529
14:09:07.0,99.5,46.528
14:09:08.0,98.496,46.525
14:09:09.0,99.75,46.525
14:09:10.0,98.737,46.525
14:09:11.0,99.501,46.524
14:09:12.0,98.997,46.523
14:09:13.0,99.004,46.523
14:09:14.0,99.497,46.525
14:09:15.0,99.25,46.524
14:09:16.0,99.251,46.523
14:09:17.0,99.5,46.521
14:09:18.0,99.75,46.522
14:09:19.0,79.396,46.53
14:09:20.0,88.131,46.524
14:09:21.0,83.544,46.527
14:09:22.0,83.846,46.516
14:09:23.0,85.933,46.524
14:09:24.0,99.5,46.524
14:09:25.0,99.5,46.523
14:09:26.0,99.499,46.531
14:09:27.0,99.498,46.526
14:09:28.0,99.75,46.525
14:09:29.0,99.5,46.521
14:09:30.0,99.002,46.521
14:09:31.0,99.246,46.52
14:09:32.0,99.75,46.521
14:09:33.0,99.248,46.52
14:09:34.0,99.502,46.52
14:09:35.0,98.997,46.518
14:09:36.0,98.753,46.519
14:09:37.0,99.499,46.519
14:09:38.0,80.246,46.528
14:09:39.0,87.022,46.523
14:09:40.0,85.025,46.522
14:09:41.0,90.977,46.528
14:09:42.0,99.497,46.528
14:09:44.0,99.25,46.53
14:09:45.0,98.999,46.527
14:09:46.0,99.253,46.527
14:09:47.0,99.746,46.527
14:09:48.0,98.267,46.523
14:09:49.0,99.246,46.522
14:09:50.0,99.503,46.521
14:09:51.0,99.25,46.519
14:09:52.0,99.498,46.518
14:09:53.0,98.75,46.519
14:09:54.0,99.498,46.518
14:09:55.0,99.248,46.518
14:09:56.0,99.253,46.517
14:09:57.0,98.783,46.521
14:09:58.0,78.865,46.542
14:09:59.0,88.04,46.539
14:10:00.0,83.462,46.539
14:10:01.0,86.386,46.548
14:10:02.0,99.236,46.548
14:10:03.0,99.248,46.548
14:10:04.0,99.501,46.546
14:10:05.0,98.75,46.544
14:10:06.0,99.248,46.543
14:10:07.0,99.748,46.542
14:10:08.0,99.007,46.539
14:10:09.0,99.75,46.532
14:10:10.0,99.248,46.533
14:10:11.0,99.5,46.535
14:10:12.0,99.246,46.534
14:10:13.0,99.246,46.533
14:10:14.0,98.507,46.533
14:10:15.0,99.25,46.532
14:10:16.0,99.25,46.53
14:10:17.0,98.753,46.528
14:10:18.0,78.696,46.534
14:10:19.0,87.088,46.529
14:10:20.0,82.352,46.533
14:10:21.0,89.086,46.538
14:10:22.0,98.997,46.538
14:10:23.0,99.251,46.537
14:10:24.0,99.497,46.535
14:10:25.0,99.502,46.533
14:10:26.0,99.5,46.532
14:10:27.0,99.5,46.532
14:10:28.0,99.248,46.533
14:10:29.0,99.251,46.531
14:10:30.0,99.246,46.53
14:10:31.0,99.999,46.532
14:10:32.0,99.5,46.531
14:10:33.0,99.498,46.532
