Elapsed time,192.168.5.50 Disks I/O,192.168.5.50 Network I/O
14:08:26.0,-1.0,0.0
14:08:27.0,-1.0,175520.0
14:08:28.0,-1.0,88335.0
14:08:29.0,-1.0,143185.0
14:08:30.0,-1.0,145962.0
14:08:31.0,-1.0,176314.0
14:08:32.0,-1.0,155411.0
14:08:33.0,-0.992,188170.0
14:08:34.0,-1.0,155398.0
14:08:35.0,-1.0,165490.0
14:08:36.0,-1.0,188985.0
14:08:37.0,-1.0,165599.0
14:08:38.0,-1.0,167537.0
14:08:39.0,-1.0,158475.0
14:08:40.0,-1.0,160127.0
14:08:41.0,-1.0,168125.0
14:08:42.0,-0.992,184946.0
14:08:43.0,-1.0,1.6556834E7
14:08:44.0,-1.0,2.9902717E7
14:08:45.0,-1.0,1473628.0
14:08:46.0,-1.0,404961.0
14:08:47.0,-1.0,166264.0
14:08:48.0,-1.0,174434.0
14:08:49.0,-1.0,174714.0
14:08:50.0,-1.0,174573.0
14:08:51.0,-1.0,167733.0
14:08:52.0,-1.0,172894.0
14:08:53.0,-1.0,204340.0
14:08:54.0,-1.0,152210.0
14:08:55.0,-1.0,175337.0
14:08:56.0,-1.0,174923.0
14:08:57.0,-1.0,176875.0
14:08:58.0,-1.0,174002.0
14:08:59.0,-1.0,165570.0
14:09:00.0,-1.0,1.1263983E7
14:09:01.0,-1.0,2.8872563E7
14:09:02.0,-0.992,7355337.0
14:09:03.0,-1.0,840554.0
14:09:04.0,-1.0,125311.0
14:09:05.0,-1.0,137342.0
14:09:06.0,-1.0,162627.0
14:09:07.0,-1.0,153558.0
14:09:08.0,-1.0,152186.0
14:09:09.0,-1.0,131607.0
14:09:10.0,-1.0,135259.0
14:09:11.0,-1.0,129096.0
14:09:12.0,-1.0,152825.0
14:09:13.0,-0.992,184835.0
14:09:14.0,-1.0,175225.0
14:09:15.0,-1.0,142418.0
14:09:16.0,-1.0,156905.0
14:09:17.0,-1.0,188102.0
14:09:18.0,-1.0,138925.0
14:09:19.0,-1.0,2636438.0
14:09:20.0,-1.0,2.3356904E7
14:09:21.0,-0.992,2.0435861E7
14:09:22.0,-1.0,907569.0
14:09:23.0,-1.0,758689.0
14:09:24.0,-1.0,129342.0
14:09:25.0,-1.0,166009.0
14:09:26.0,-1.0,175965.0
14:09:27.0,-1.0,130929.0
14:09:28.0,-1.0,142652.0
14:09:29.0,-1.0,184476.0
14:09:30.0,-1.0,173965.0
14:09:31.0,-1.0,183941.0
14:09:32.0,-1.0,188760.0
14:09:33.0,-1.0,188751.0
14:09:34.0,-1.0,162001.0
14:09:35.0,-1.0,120421.0
14:09:36.0,-1.0,164974.0
14:09:37.0,-1.0,173506.0
14:09:38.0,-1.0,8106744.0
14:09:39.0,-1.0,2.9673333E7
14:09:40.0,-1.0,9248241.0
14:09:41.0,-1.0,984963.0
14:09:42.0,-1.0,152639.0
14:09:44.0,-1.0,153468.0
14:09:45.0,-1.0,163961.0
14:09:46.0,-1.0,153307.0
14:09:47.0,-1.0,166080.0
14:09:48.0,-1.0,186047.0
14:09:49.0,-1.0,165605.0
14:09:50.0,-1.0,165045.0
14:09:51.0,-1.0,185669.0
14:09:52.0,-1.0,169956.0
14:09:53.0,-1.0,153011.0
14:09:54.0,-1.0,131963.0
14:09:55.0,-1.0,120093.0
14:09:56.0,-1.0,147413.0
14:09:57.0,-1.0,187872.0
14:09:58.0,-1.0,1.152385E7
14:09:59.0,-0.976,2.3578641E7
14:10:00.0,-1.0,1.1782522E7
14:10:01.0,-0.984,1211044.0
14:10:02.0,-1.0,95340.0
14:10:03.0,-1.0,137106.0
14:10:04.0,-1.0,142364.0
14:10:05.0,-1.0,159840.0
14:10:06.0,-1.0,158715.0
14:10:07.0,-1.0,165980.0
14:10:08.0,-1.0,179091.0
14:10:09.0,-1.0,154061.0
14:10:10.0,-1.0,158800.0
14:10:11.0,-1.0,158756.0
14:10:12.0,-1.0,172631.0
14:10:13.0,-1.0,143144.0
14:10:14.0,-1.0,141829.0
14:10:15.0,-1.0,152055.0
14:10:16.0,-1.0,121805.0
14:10:17.0,-1.0,171025.0
14:10:18.0,-0.984,1.7266531E7
14:10:19.0,-1.0,2.4841835E7
14:10:20.0,-1.0,4954813.0
14:10:21.0,-1.0,969572.0
14:10:22.0,-1.0,120357.0
14:10:23.0,-1.0,165938.0
14:10:24.0,-1.0,185695.0
14:10:25.0,-1.0,153188.0
14:10:26.0,-1.0,173994.0
14:10:27.0,-1.0,174951.0
14:10:28.0,-1.0,163516.0
14:10:29.0,-1.0,174220.0
14:10:30.0,-1.0,172043.0
14:10:31.0,-1.0,178265.0
14:10:32.0,-1.0,164052.0
14:10:33.0,-1.0,175095.0
14:10:34.0,-1.0,131837.0
14:10:35.0,-1.0,127689.0
14:10:36.0,-1.0,77363.0
14:10:37.0,-0.96,5377302.0
14:10:38.0,-0.984,2.1859814E7
14:10:39.0,-1.0,1.8967715E7
14:10:40.0,-1.0,1121862.0
14:10:41.0,-0.992,752637.0
14:10:42.0,-1.0,99555.0
14:10:43.0,-1.0,118026.0
14:10:44.0,-0.872,112139.0
14:10:45.0,-1.0,152447.0
14:10:46.0,-1.0,171510.0
14:10:47.0,-1.0,167763.0
14:10:48.0,-1.0,185034.0
14:10:49.0,-1.0,164878.0
14:10:50.0,-1.0,185631.0
14:10:51.0,-1.0,176254.0
14:10:52.0,-1.0,186945.0
14:10:53.0,-1.0,150746.0
14:10:54.0,-1.0,146842.0
14:10:55.0,-1.0,152805.0
14:10:56.0,-1.0,174544.0
14:10:57.0,-1.0,2.2192999E7
14:10:58.0,-1.0,2.3976124E7
14:10:59.0,-0.984,1142406.0
14:11:00.0,-1.0,732965.0
14:11:01.0,-1.0,142867.0
14:11:02.0,-1.0,165116.0
14:11:03.0,-1.0,164723.0
14:11:04.0,-1.0,174681.0
14:11:05.0,-1.0,173127.0
14:11:06.0,-1.0,175907.0
