Elapsed time,192.168.5.50 CPU,192.168.5.50 Memory
13:37:31.0,2.864,46.437
13:37:32.0,17.128,46.446
13:37:33.0,99.244,46.45
13:37:34.0,98.756,46.448
13:37:35.0,99.0,46.448
13:37:36.0,99.0,46.452
13:37:37.0,98.997,46.451
13:37:38.0,99.248,46.451
13:37:39.0,99.251,46.451
13:37:40.0,99.501,46.451
13:37:41.0,99.248,46.45
13:37:42.0,99.251,46.449
13:37:43.0,99.0,46.449
13:37:44.0,99.25,46.451
13:37:45.0,99.502,46.45
13:37:46.0,98.994,46.451
13:37:47.0,99.5,46.45
13:37:48.0,98.503,46.448
13:37:49.0,83.123,46.459
13:37:50.0,87.437,46.44
13:37:52.0,83.418,46.441
13:37:53.0,88.804,46.445
13:37:54.0,99.25,46.452
13:37:55.0,99.251,46.45
13:37:56.0,99.244,46.455
13:37:57.0,99.251,46.453
13:37:58.0,99.498,46.451
13:37:59.0,99.25,46.451
13:38:00.0,99.748,46.45
13:38:01.0,98.994,46.455
13:38:02.0,98.753,46.454
13:38:03.0,99.501,46.453
13:38:04.0,99.0,46.453
13:38:05.0,99.002,46.452
13:38:06.0,99.749,46.451
13:38:07.0,99.002,46.451
13:38:08.0,99.255,46.451
13:38:09.0,99.253,46.47
13:38:10.0,99.75,46.472
13:38:11.0,78.66,46.475
13:38:12.0,87.121,46.472
13:38:13.0,84.438,46.471
13:38:14.0,92.695,46.478
13:38:15.0,99.5,46.477
13:38:16.0,99.259,46.478
13:38:17.0,99.238,46.477
13:38:18.0,99.25,46.475
13:38:19.0,99.251,46.475
13:38:20.0,99.251,46.473
13:38:21.0,99.255,46.474
13:38:22.0,99.5,46.474
13:38:23.0,99.496,46.473
13:38:24.0,98.746,46.472
13:38:25.0,99.244,46.471
13:38:26.0,99.002,46.471
13:38:27.0,98.75,46.47
13:38:28.0,99.749,46.47
13:38:29.0,99.002,46.469
13:38:30.0,99.503,46.468
13:38:31.0,99.498,46.468
13:38:32.0,75.628,46.476
13:38:33.0,88.636,46.47
13:38:34.0,85.969,46.475
13:38:35.0,86.146,46.465
13:38:36.0,93.017,46.491
13:38:37.0,99.248,46.49
13:38:38.0,99.004,46.489
13:38:39.0,99.244,46.488
13:38:40.0,99.5,46.487
13:38:41.0,99.499,46.484
13:38:42.0,99.5,46.486
13:38:43.0,99.5,46.484
13:38:44.0,99.25,46.484
13:38:45.0,99.501,46.484
13:38:46.0,99.5,46.483
13:38:47.0,99.501,46.481
13:38:48.0,99.25,46.482
13:38:49.0,99.749,46.481
13:38:50.0,99.251,46.48
13:38:51.0,99.248,46.48
13:38:52.0,99.5,46.479
13:38:53.0,99.497,46.477
13:38:54.0,79.506,46.48
13:38:55.0,87.969,46.474
13:38:56.0,85.714,46.476
13:38:57.0,87.277,46.48
13:38:58.0,98.75,46.484
13:38:59.0,99.25,46.482
13:39:00.0,99.251,46.483
13:39:01.0,99.248,46.482
13:39:02.0,99.501,46.48
13:39:03.0,99.253,46.478
13:39:04.0,99.748,46.478
13:39:05.0,99.5,46.478
13:39:06.0,99.251,46.476
13:39:07.0,99.75,46.475
13:39:08.0,99.5,46.474
13:39:09.0,99.248,46.472
13:39:10.0,99.004,46.474
13:39:11.0,99.5,46.474
13:39:12.0,99.0,46.477
