Elapsed time,192.168.5.50 Disks I/O,192.168.5.50 Network I/O
13:37:31.0,-1.0,0.0
13:37:32.0,-1.0,197540.0
13:37:33.0,-1.0,88384.0
13:37:34.0,-1.0,178199.0
13:37:35.0,-1.0,158030.0
13:37:36.0,-1.0,155559.0
13:37:37.0,-1.0,151646.0
13:37:38.0,-1.0,144403.0
13:37:39.0,-1.0,154738.0
13:37:40.0,-1.0,167108.0
13:37:41.0,-1.0,190152.0
13:37:42.0,-1.0,171206.0
13:37:43.0,-1.0,205698.0
13:37:44.0,-1.0,187586.0
13:37:45.0,-1.0,184426.0
13:37:46.0,-1.0,182485.0
13:37:48.0,-1.0,187185.0
13:37:49.0,-1.0,197379.0
13:37:50.0,-1.0,1.1328498E7
13:37:51.0,-1.0,2.8388021E7
13:37:52.0,-1.0,7588747.0
13:37:53.0,-1.0,1072277.0
13:37:54.0,-1.0,143264.0
13:37:55.0,-1.0,131642.0
13:37:56.0,-1.0,186447.0
13:37:57.0,-1.0,143287.0
13:37:58.0,-1.0,209743.0
13:37:59.0,-1.0,169754.0
13:38:00.0,-1.0,175479.0
13:38:01.0,-1.0,141751.0
13:38:02.0,-1.0,131277.0
13:38:03.0,-1.0,144250.0
13:38:04.0,-1.0,190515.0
13:38:05.0,-1.0,170089.0
13:38:06.0,-1.0,177128.0
13:38:07.0,-1.0,164863.0
13:38:08.0,-1.0,154668.0
13:38:09.0,-1.0,133410.0
13:38:10.0,-1.0,144378.0
13:38:11.0,-1.0,1.8596309E7
13:38:12.0,-1.0,2.5590538E7
13:38:13.0,-1.0,3277871.0
13:38:14.0,-1.0,807135.0
13:38:15.0,-1.0,120870.0
13:38:16.0,-1.0,148446.0
13:38:17.0,-1.0,132383.0
13:38:18.0,-1.0,148172.0
13:38:19.0,-1.0,138269.0
13:38:20.0,-0.992,157691.0
13:38:21.0,-1.0,201149.0
13:38:22.0,-1.0,160367.0
13:38:23.0,-1.0,173306.0
13:38:24.0,-1.0,161781.0
13:38:25.0,-0.992,188239.0
13:38:26.0,-1.0,131862.0
13:38:27.0,-1.0,173852.0
13:38:28.0,-1.0,154161.0
13:38:29.0,-1.0,156574.0
13:38:30.0,-1.0,122953.0
13:38:31.0,-1.0,110395.0
13:38:32.0,-1.0,483808.0
13:38:33.0,-1.0,2.2847953E7
13:38:34.0,-1.0,2.3456402E7
13:38:35.0,-0.992,1122280.0
13:38:36.0,-1.0,671236.0
13:38:37.0,-1.0,132319.0
13:38:38.0,-1.0,141250.0
13:38:39.0,-1.0,183495.0
13:38:40.0,-1.0,145086.0
13:38:41.0,-1.0,172090.0
13:38:42.0,-1.0,164768.0
13:38:43.0,-1.0,174112.0
13:38:44.0,-1.0,174601.0
13:38:45.0,-1.0,155951.0
13:38:46.0,-1.0,164043.0
13:38:47.0,-1.0,180113.0
13:38:48.0,-1.0,170129.0
13:38:49.0,-1.0,142969.0
13:38:50.0,-1.0,152720.0
13:38:51.0,-1.0,125826.0
13:38:52.0,-1.0,152111.0
13:38:53.0,-1.0,176611.0
13:38:54.0,-1.0,1.6932655E7
13:38:55.0,-1.0,2.7252739E7
13:38:56.0,-1.0,3067713.0
13:38:57.0,-1.0,1022396.0
13:38:58.0,-1.0,99364.0
13:38:59.0,-1.0,130528.0
13:39:00.0,-1.0,120089.0
13:39:01.0,-1.0,141930.0
13:39:02.0,-1.0,154067.0
13:39:03.0,-1.0,163953.0
13:39:04.0,-1.0,163325.0
13:39:05.0,-1.0,155346.0
13:39:06.0,-1.0,151915.0
13:39:07.0,-1.0,163727.0
13:39:08.0,-1.0,175289.0
13:39:09.0,-1.0,175986.0
13:39:10.0,-1.0,152000.0
13:39:11.0,-1.0,156833.0
13:39:12.0,-1.0,140169.0
13:39:13.0,-1.0,120628.0
13:39:14.0,-1.0,154613.0
13:39:15.0,-1.0,165906.0
13:39:16.0,-1.0,1.3310519E7
13:39:17.0,-1.0,2.1655307E7
13:39:18.0,-0.92,1.1785618E7
13:39:19.0,-1.0,929209.0
13:39:20.0,-1.0,657222.0
13:39:21.0,-1.0,77616.0
13:39:22.0,-1.0,107591.0
13:39:23.0,-1.0,130484.0
13:39:24.0,-1.0,131783.0
13:39:25.0,-1.0,129575.0
13:39:26.0,-1.0,114462.0
13:39:27.0,-1.0,120034.0
13:39:28.0,-1.0,130756.0
13:39:29.0,-1.0,147633.0
13:39:30.0,-1.0,157360.0
13:39:31.0,-1.0,169986.0
13:39:32.0,-1.0,148081.0
13:39:33.0,-1.0,113814.0
13:39:34.0,-1.0,162999.0
13:39:35.0,-1.0,162829.0
13:39:36.0,-1.0,127870.0
13:39:37.0,-1.0,151097.0
13:39:38.0,-1.0,147215.0
13:39:39.0,-1.0,133881.0
13:39:40.0,-1.0,116074.0
13:39:41.0,-1.0,1.6675114E7
13:39:42.0,-1.0,2.5879881E7
13:39:44.0,-0.992,4795566.0
13:39:45.0,-1.0,995452.0
13:39:46.0,-1.0,131187.0
13:39:47.0,-1.0,110129.0
13:39:48.0,-1.0,164624.0
13:39:49.0,-1.0,141483.0
13:39:50.0,-1.0,176945.0
13:39:51.0,-1.0,208630.0
13:39:52.0,-1.0,169472.0
13:39:53.0,-1.0,174483.0
13:39:54.0,-1.0,153694.0
13:39:55.0,-1.0,131613.0
13:39:56.0,-1.0,142367.0
13:39:57.0,-1.0,131246.0
13:39:58.0,-1.0,125701.0
13:39:59.0,-1.0,169528.0
13:40:00.0,-1.0,153572.0
13:40:01.0,-1.0,157004.0
13:40:02.0,-1.0,131404.0
13:40:03.0,-1.0,154790.0
13:40:04.0,-1.0,2.0182062E7
13:40:05.0,-1.0,2.6039041E7
13:40:06.0,-1.0,1131648.0
13:40:07.0,-1.0,919266.0
13:40:08.0,-1.0,153442.0
13:40:09.0,-1.0,174364.0
13:40:10.0,-1.0,154075.0
13:40:11.0,-1.0,167447.0
13:40:12.0,-1.0,198398.0
13:40:13.0,-1.0,181520.0
13:40:14.0,-1.0,153097.0
13:40:15.0,-1.0,175386.0
13:40:16.0,-1.0,181116.0
13:40:17.0,-1.0,179589.0
13:40:18.0,-1.0,120798.0
13:40:19.0,-1.0,148223.0
13:40:20.0,-1.0,164713.0
13:40:21.0,-1.0,113817.0
13:40:22.0,-1.0,122577.0
13:40:23.0,-1.0,111181.0
13:40:24.0,-1.0,154799.0
13:40:25.0,-1.0,1.2702395E7
13:40:26.0,-1.0,1.9874732E7
13:40:27.0,-1.0,1.4099754E7
13:40:28.0,-1.0,1261798.0
13:40:29.0,-1.0,396744.0
13:40:30.0,-1.0,166221.0
13:40:31.0,-1.0,189171.0
13:40:32.0,-1.0,168058.0
13:40:33.0,-1.0,142101.0
13:40:34.0,-1.0,119757.0
13:40:35.0,-1.0,141467.0
13:40:36.0,-1.0,140018.0
13:40:37.0,-1.0,152681.0
13:40:38.0,-1.0,110304.0
13:40:39.0,-1.0,150748.0
13:40:40.0,-1.0,154267.0
13:40:41.0,-1.0,149830.0
13:40:42.0,-1.0,157172.0
13:40:43.0,-1.0,111525.0
13:40:44.0,-0.992,153357.0
13:40:45.0,-1.0,165208.0
13:40:46.0,-1.0,166321.0
13:40:47.0,-1.0,155797.0
13:40:48.0,-1.0,1.8166089E7
13:40:49.0,-1.0,2.4962253E7
13:40:50.0,-1.0,4158871.0
13:40:51.0,-0.992,1134211.0
13:40:52.0,-1.0,99112.0
13:40:53.0,-1.0,153255.0
13:40:54.0,-1.0,173910.0
13:40:55.0,-1.0,174041.0
13:40:56.0,-1.0,165327.0
13:40:57.0,-1.0,143381.0
13:40:58.0,-1.0,119830.0
13:40:59.0,-1.0,152774.0
13:41:00.0,-1.0,154116.0
13:41:01.0,-1.0,141505.0
13:41:02.0,-1.0,199169.0
13:41:03.0,-1.0,147855.0
