Elapsed time,192.168.5.50 Disks I/O,192.168.5.50 Network I/O
13:59:33.0,-0.999,0.0
13:59:34.0,-1.0,235734.0
13:59:35.0,-1.0,130074.0
13:59:36.0,-1.0,149634.0
13:59:37.0,-1.0,151426.0
13:59:38.0,-1.0,185339.0
13:59:39.0,-1.0,180274.0
13:59:40.0,-1.0,184246.0
13:59:41.0,-1.0,166743.0
13:59:42.0,-1.0,173573.0
13:59:43.0,-1.0,173292.0
13:59:44.0,-1.0,188864.0
13:59:45.0,-1.0,198756.0
13:59:46.0,-1.0,163101.0
13:59:47.0,-1.0,186662.0
13:59:48.0,-1.0,177599.0
13:59:49.0,-1.0,189034.0
13:59:50.0,-1.0,179585.0
13:59:51.0,-1.0,163845.0
13:59:52.0,-1.0,156298.0
13:59:53.0,-1.0,153694.0
13:59:54.0,-1.0,6075604.0
13:59:55.0,-1.0,2.4976932E7
13:59:56.0,-1.0,1.6016002E7
13:59:57.0,-1.0,1132431.0
13:59:58.0,-1.0,771553.0
13:59:59.0,-1.0,143734.0
14:00:00.0,-1.0,179332.0
14:00:01.0,-1.0,136461.0
14:00:02.0,-1.0,144407.0
14:00:03.0,-1.0,163246.0
14:00:04.0,-1.0,174897.0
14:00:05.0,-1.0,164312.0
14:00:06.0,-1.0,163843.0
14:00:07.0,-1.0,164039.0
14:00:08.0,-1.0,174961.0
14:00:09.0,-1.0,163551.0
14:00:10.0,-1.0,175262.0
14:00:11.0,-1.0,176115.0
14:00:12.0,-1.0,200499.0
14:00:13.0,-1.0,166003.0
14:00:14.0,-1.0,170072.0
14:00:15.0,-1.0,162927.0
14:00:16.0,-1.0,216443.0
14:00:17.0,-1.0,166100.0
14:00:18.0,-1.0,1.125695E7
14:00:19.0,-1.0,3.0161479E7
14:00:20.0,-0.992,6133279.0
14:00:21.0,-0.992,1113085.0
14:00:22.0,-1.0,109337.0
14:00:23.0,-0.992,141511.0
14:00:24.0,-1.0,148772.0
14:00:25.0,-1.0,115067.0
14:00:26.0,-1.0,109323.0
14:00:27.0,-1.0,131353.0
14:00:28.0,-1.0,174406.0
14:00:29.0,-1.0,158637.0
14:00:30.0,-1.0,168118.0
14:00:31.0,-1.0,145740.0
14:00:32.0,-1.0,151225.0
14:00:33.0,-1.0,153586.0
14:00:34.0,-1.0,141461.0
14:00:35.0,-1.0,168952.0
14:00:36.0,-1.0,175204.0
14:00:37.0,-1.0,188772.0
14:00:38.0,-1.0,185845.0
14:00:39.0,-1.0,196157.0
14:00:40.0,-1.0,176554.0
14:00:41.0,-1.0,189313.0
14:00:42.0,-1.0,195710.0
14:00:43.0,-1.0,1.363344E7
14:00:44.0,-1.0,2.8734175E7
14:00:45.0,-1.0,5094228.0
14:00:46.0,-0.992,1191320.0
14:00:47.0,-1.0,100858.0
14:00:48.0,-1.0,169148.0
14:00:49.0,-1.0,154333.0
14:00:50.0,-1.0,177863.0
14:00:51.0,-1.0,165149.0
14:00:52.0,-1.0,154138.0
14:00:53.0,-1.0,153967.0
14:00:54.0,-1.0,146954.0
14:00:55.0,-1.0,157669.0
14:00:56.0,-1.0,182497.0
14:00:57.0,-1.0,138299.0
14:00:58.0,-1.0,155641.0
14:00:59.0,-1.0,174850.0
14:01:00.0,-1.0,130773.0
14:01:01.0,-1.0,132959.0
14:01:02.0,-1.0,157465.0
14:01:03.0,-1.0,121401.0
14:01:04.0,-1.0,139213.0
14:01:05.0,-1.0,144130.0
14:01:06.0,-1.0,134125.0
14:01:07.0,-1.0,155964.0
14:01:08.0,-1.0,174118.0
14:01:09.0,-1.0,2.0906354E7
14:01:11.0,-0.984,2.4694274E7
14:01:12.0,-1.0,1799559.0
14:01:13.0,-1.0,1224622.0
14:01:14.0,-1.0,98679.0
14:01:15.0,-1.0,172992.0
14:01:16.0,-1.0,151927.0
14:01:17.0,-1.0,137929.0
14:01:18.0,-1.0,151806.0
14:01:19.0,-1.0,140755.0
14:01:20.0,-1.0,162679.0
14:01:21.0,-1.0,142643.0
14:01:22.0,-1.0,138085.0
14:01:23.0,-1.0,131556.0
14:01:24.0,-1.0,139059.0
14:01:25.0,-1.0,139994.0
14:01:26.0,-1.0,161606.0
14:01:27.0,-1.0,142668.0
14:01:28.0,-1.0,139342.0
14:01:29.0,-1.0,130538.0
14:01:30.0,-1.0,129202.0
14:01:31.0,-1.0,152829.0
14:01:32.0,-1.0,130980.0
14:01:33.0,-1.0,134210.0
14:01:34.0,-1.0,154969.0
14:01:35.0,-1.0,156335.0
14:01:36.0,-1.0,788529.0
14:01:37.0,-1.0,2.0702646E7
14:01:38.0,-1.0,2.5060468E7
14:01:39.0,-0.984,1400564.0
14:01:40.0,-1.0,889617.0
14:01:41.0,-1.0,131485.0
14:01:42.0,-1.0,153981.0
14:01:43.0,-1.0,178781.0
14:01:44.0,-1.0,163528.0
14:01:45.0,-1.0,174876.0
14:01:46.0,-1.0,110860.0
14:01:47.0,-1.0,140470.0
14:01:48.0,-1.0,140777.0
14:01:49.0,-1.0,171610.0
14:01:50.0,-1.0,131711.0
14:01:51.0,-1.0,140952.0
14:01:52.0,-1.0,176340.0
14:01:53.0,-1.0,120162.0
14:01:54.0,-1.0,121225.0
14:01:55.0,-1.0,121991.0
14:01:56.0,-1.0,140691.0
14:01:57.0,-1.0,120967.0
14:01:58.0,-1.0,131980.0
14:01:59.0,-1.0,143643.0
14:02:00.0,-1.0,154461.0
14:02:01.0,-1.0,143442.0
14:02:02.0,-1.0,133496.0
14:02:03.0,-1.0,144425.0
14:02:04.0,-1.0,9669345.0
14:02:05.0,-1.0,2.78776E7
14:02:06.0,-1.0,9730459.0
14:02:07.0,-1.0,1059548.0
14:02:08.0,-1.0,480513.0
14:02:09.0,-1.0,132108.0
14:02:10.0,-1.0,164179.0
14:02:11.0,-1.0,199462.0
14:02:12.0,-1.0,158465.0
14:02:13.0,-1.0,166353.0
14:02:14.0,-1.0,175293.0
14:02:15.0,-1.0,174605.0
14:02:16.0,-1.0,171980.0
14:02:17.0,-1.0,144429.0
14:02:18.0,-1.0,142425.0
14:02:19.0,-1.0,119433.0
14:02:20.0,-1.0,164623.0
14:02:21.0,-1.0,174690.0
14:02:22.0,-1.0,165699.0
14:02:23.0,-1.0,189506.0
14:02:24.0,-1.0,166661.0
14:02:25.0,-1.0,195782.0
14:02:26.0,-1.0,135264.0
14:02:27.0,-1.0,142803.0
14:02:28.0,-1.0,112735.0
14:02:29.0,-1.0,1.4587229E7
14:02:30.0,-1.0,2.556992E7
14:02:31.0,-0.992,7073672.0
14:02:32.0,-1.0,1413274.0
14:02:33.0,-1.0,99416.0
14:02:34.0,-1.0,166180.0
14:02:35.0,-1.0,144083.0
14:02:36.0,-1.0,135617.0
14:02:37.0,-1.0,142953.0
14:02:38.0,-1.0,130347.0
14:02:39.0,-1.0,164719.0
14:02:40.0,-1.0,149580.0
14:02:41.0,-1.0,152478.0
14:02:42.0,-1.0,169180.0
14:02:43.0,-1.0,192391.0
14:02:44.0,-1.0,175140.0
14:02:45.0,-1.0,141090.0
14:02:46.0,-1.0,152199.0
14:02:47.0,-1.0,128804.0
14:02:48.0,-1.0,153335.0
14:02:49.0,-1.0,194417.0
14:02:50.0,-1.0,150091.0
14:02:51.0,-1.0,150606.0
14:02:52.0,-1.0,134670.0
14:02:53.0,-1.0,110456.0
14:02:54.0,-1.0,135329.0
14:02:55.0,-1.0,6032436.0
14:02:56.0,-1.0,2.6829057E7
14:02:57.0,-1.0,1.4207E7
14:02:58.0,-1.0,1044022.0
14:02:59.0,-0.992,709375.0
14:03:00.0,-1.0,161549.0
14:03:01.0,-1.0,134462.0
14:03:02.0,-1.0,138663.0
14:03:03.0,-1.0,166267.0
14:03:04.0,-1.0,164566.0
14:03:05.0,-1.0,163217.0
14:03:06.0,-1.0,175920.0
14:03:07.0,-1.0,193907.0
14:03:08.0,-1.0,154779.0
14:03:09.0,-1.0,152684.0
14:03:10.0,-1.0,153048.0
14:03:11.0,-1.0,152042.0
14:03:12.0,-1.0,177164.0
14:03:13.0,-1.0,177206.0
14:03:14.0,-1.0,137883.0
14:03:15.0,-1.0,158716.0
14:03:16.0,-1.0,175546.0
14:03:17.0,-1.0,144300.0
14:03:18.0,-1.0,166439.0
14:03:19.0,-1.0,205516.0
14:03:20.0,-1.0,2.5108206E7
14:03:21.0,-1.0,2.1709562E7
14:03:22.0,-0.992,1231636.0
14:03:23.0,-1.0,691198.0
14:03:24.0,-1.0,120862.0
14:03:25.0,-1.0,143544.0
14:03:26.0,-1.0,130149.0
14:03:27.0,-1.0,173728.0
14:03:28.0,-1.0,117117.0
14:03:29.0,-1.0,165840.0
14:03:31.0,-1.0,143276.0
14:03:32.0,-1.0,153383.0
14:03:33.0,-1.0,152765.0
14:03:34.0,-1.0,120573.0
14:03:35.0,-1.0,135347.0
14:03:36.0,-1.0,120169.0
14:03:37.0,-1.0,122291.0
14:03:38.0,-1.0,143197.0
14:03:39.0,-1.0,152704.0
14:03:40.0,-1.0,165709.0
14:03:41.0,-1.0,164748.0
14:03:42.0,-1.0,154615.0
14:03:43.0,-1.0,154342.0
14:03:44.0,-1.0,166768.0
14:03:45.0,-1.0,144077.0
14:03:46.0,-1.0,122185.0
14:03:47.0,-1.0,7314768.0
14:03:48.0,-1.0,3.2236898E7
14:03:49.0,-0.992,8054528.0
14:03:50.0,-1.0,1199247.0
14:03:51.0,-1.0,142277.0
14:03:52.0,-1.0,147878.0
14:03:53.0,-1.0,162085.0
14:03:54.0,-1.0,145488.0
14:03:55.0,-1.0,164083.0
14:03:56.0,-1.0,151934.0
14:03:57.0,-1.0,145696.0
14:03:58.0,-1.0,127171.0
14:03:59.0,-1.0,141670.0
14:04:00.0,-1.0,141778.0
14:04:01.0,-1.0,153475.0
14:04:02.0,-1.0,137419.0
14:04:03.0,-1.0,152652.0
14:04:04.0,-1.0,142969.0
14:04:05.0,-1.0,142587.0
14:04:06.0,-1.0,134949.0
14:04:07.0,-1.0,156488.0
14:04:08.0,-1.0,153520.0
14:04:09.0,-1.0,167405.0
14:04:10.0,-1.0,133278.0
14:04:11.0,-1.0,177695.0
14:04:12.0,-1.0,208240.0
14:04:13.0,-1.0,1.5430637E7
14:04:14.0,-1.0,2.857151E7
